,SS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
0,0.5836771516786089,0.2421443717922239,0.7638745829236079,-0.20800147635698485,-0.4001443498222056,1,2
1,-2.1249855702543843,0.1102479641458004,-0.8597148409859586,-0.2506049897532333,-0.5765179390159936,1,3
2,0.3085785939822891,0.054478674158689865,-1.9988587755123521,-0.268618882136371,-0.700265298651384,1,4
3,-0.8552999193482937,-0.21123785790214544,-0.47295905286044604,-0.354447283646785,-0.5345039264284317,1,5
4,0.8728833277183294,-0.5213217500759734,-1.2600438761791377,-0.4546066700161435,-0.6200064390984135,1,6
5,-0.0776174581683135,0.5670437070456208,-1.4936744759538174,-0.10305659249777954,-0.6453861729282471,1,7
6,-1.460164055821612,0.607908172021478,1.0743038122566875,-0.08985706862828569,-0.3664218356435308,1,8
7,1.3331443761717874,0.3683793251927198,-0.08477427446052899,-0.16722665447790952,-0.4923346799252578,1,9
8,-2.2307927078298926,0.5842239283361788,1.1184607778258033,-0.09750725418778616,-0.36162498097655604,1,10
9,-0.8552999193482937,-0.3655200364456347,-1.3420415365360108,-0.40428156630594714,-0.6289139999938338,1,11
10,-0.0776174581683135,0.3499770504154902,-1.2808105351534114,-0.17317072508591902,-0.6222623605308384,1,12
11,-1.728208804346231,0.2878931028842253,0.4920774840266015,-0.1932242984738365,-0.4296701826214183,1,13
12,-1.9839093868203743,0.07320918432481469,0.7274833407586468,-0.2625687890745475,-0.40409759927144073,1,14
13,-1.460164055821612,0.4086945637529185,-0.6975489577599605,-0.15420453479534246,-0.5589015524787633,1,15
14,-0.8552999193482937,0.040373344982133685,0.16998858412933088,-0.2731750075931222,-0.4646593088609623,1,16
15,-0.8552999193482937,-0.2608860104588919,-0.010674759646127041,-0.3704840034505612,-0.4842851095148618,1,17
16,-1.728208804346231,-0.29683213522599794,1.1744879910569692,-0.38209486712293617,-0.3555386388603876,1,18
17,-2.0615012877090804,-3.2366045357338633,0.09548466400278521,-1.3316630553840094,-0.47275281058511376,1,19
18,-2.1937602096784636,0.0630688536462373,1.297187182429841,-0.26584419074481336,-0.3422095936874411,1,20
19,-2.1937602096784636,0.10925938810991447,0.29424200243458054,-0.2509243071109962,-0.45116142507743584,1,21
20,-2.2378465170015924,0.5551769892074953,0.4030602506202473,-0.10688962996564866,-0.4393402930106409,1,22
21,-0.8552999193482937,0.1280476944326317,-0.39736486991002273,-0.24485554546391275,-0.5262919873921248,1,23
22,-1.8922098675882677,0.2033700016661558,0.44079506726640644,-0.2205258841598522,-0.43524108852492405,1,24
23,-1.375518345761206,-0.5444642908666384,-0.9055129143163939,-0.4620818815415505,-0.5814930703222807,2,3
24,1.0580458184754677,-0.47792438087051015,-1.1882879366337482,-0.4405889993812979,-0.612211455700999,2,4
25,-0.10583269485511541,-0.8761317320597111,0.8981200626258414,-0.569212913584876,-0.38556100951495587,2,5
26,1.0439382001320667,-1.4667825750253292,0.5870101593201431,-0.7599974963481011,-0.4193574665943749,2,6
27,0.6718497663248651,-0.20226923585604933,-0.2921362285602282,-0.3515503525149605,-0.5148608011035629,2,7
28,-0.7106968313284338,0.1126224267623602,0.3373050434186544,-0.2498380207985922,-0.4464834055066559,2,8
29,0.5836771516786089,-0.37956798998217584,-1.6953904447090857,-0.4088191590073973,-0.6672989600424912,2,9
30,-1.4813254833367135,-0.08972780288508525,-0.04973823890975128,-0.3151986388271656,-0.488528649133106,2,10
31,-0.10583269485511541,-0.9662716670146994,1.0044700074875272,-0.5983287780342437,-0.37400801390560423,2,11
32,0.6718497663248651,-0.23572514529083027,0.7034292739263567,-0.36235685825095665,-0.40671063803570073,2,12
33,-0.9787415798530528,-0.3576681495591213,1.017218433850713,-0.4017453488749755,-0.37262312824354227,2,13
