,SS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
69,0.8105086064166811,0.3773329395843591,-0.5419269079879288,-0.037618702856452635,-0.5419960349434899,4,8
70,0.25935602901881566,0.6013204961942007,-0.5167649237085911,-0.023895917038017522,-0.5392626410119761,4,9
71,-1.2682686618353851,0.30390791768826975,-1.3461759176630606,-0.042117148504257296,-0.629363125633441,4,10
72,1.090865312699516,0.6349317404855321,-1.1572596634088785,-0.02183669592108528,-0.6088407957086606,4,11
73,1.0672118232405337,-0.13739370434394815,-0.4061362684105423,-0.06915386309740201,-0.5272448409972317,4,12
74,-0.06662433515165264,0.42816344740521417,-0.43131186941808747,-0.03450452909418911,-0.5299797141396788,4,13
75,-0.2589956122015778,0.06314914659638687,-0.7544200706923844,-0.056867436866742116,-0.5650795690152245,4,14
76,0.9247749176288778,0.41724874113796223,0.030274916137823175,-0.03517322774264808,-0.4798366688019716,4,15
77,0.4299309964106876,0.34903645754123924,-1.179470815668286,-0.039352310599535034,-0.611253635178068,4,16
78,1.0879187037876452,0.5051891836328535,1.3490198129884248,-0.029785482658050033,-0.3365789170186072,4,17
79,0.5138881201447796,0.3250927675956326,-0.953937543047105,-0.04081924087816169,-0.5867535293083007,4,18
80,-0.5012934622093338,-3.019326148239453,-0.6422515685334408,-0.24571787526556554,-0.5528944925242569,4,19
81,-0.9454725145362889,0.671571299473142,-2.64762218142052,-0.019591942560322928,-0.7707416941936004,4,20
82,-0.9152707998622425,0.5911566890130799,-2.245737260378565,-0.024518611223165232,-0.7270841752893754,4,21
83,-1.4500313021765097,0.597524423089741,-0.3647190078374056,-0.02412848664568712,-0.5227456056645277,4,22
84,0.6363757889230839,0.4530715876420096,1.2768239452919101,-0.03297851095827775,-0.3444216906429465,4,23
85,-0.08604516289090308,0.6310904156479588,-1.3454977501995435,-0.022072037914198206,-0.62928945501952,4,24
86,0.00848875561946314,0.01576437484782184,1.5026129329437747,-0.05977050471391565,-0.3198938059658599,5,6
87,0.7802008082828792,0.47661448950577695,-0.4809859062648136,-0.031536135298170564,-0.5353758986918699,5,7
88,0.7261558989408914,-0.07019720984155373,-0.37476704865018434,-0.06503701341270174,-0.5238371433380412,5,8
89,0.06811176834908299,0.6119945463748979,-0.7860722409802424,-0.0232419623868666,-0.5685180041252536,5,9
90,-1.057279809211623,-0.30266420926499404,1.1096101182052995,-0.07927929941834311,-0.3625864448670031,5,10
91,1.2676238382610732,0.26077366770279026,1.2370448077271465,-0.0447598045649269,-0.3487429735756946,5,11
92,1.1559577895207536,-0.6974893627354527,-0.4703029401669091,-0.10346859412208209,-0.5342153878840414,5,12
93,-0.7273652516927074,-0.12603347171887264,0.14117276050059926,-0.0684578689023626,-0.46778962627011145,5,13
94,-0.3843096049386272,-0.47650840936535604,0.20768560043851614,-0.08993001037685366,-0.4605642106973282,5,14
95,0.7842009450239977,-0.24596504221331214,-0.005998932841917445,-0.07580557731828375,-0.4837771656075154,5,15
96,-0.15392476423331092,-0.22199972315448457,1.3265315151686141,-0.07433732191386588,-0.33902186333430073,5,16
