,SS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
21,-0.08982793216932032,0.19481784542323535,0.5135874765246653,-0.026077123505417688,-0.09034117787867302,1,23
22,-1.3978691914971435,0.33899524162502864,0.3587553495287006,-0.010195049712003357,-0.10617628928514222,1,24
23,0.8807642268671672,0.31165460214709706,-0.12978575088848493,-0.013206798191216396,-0.15614074370322828,2,3
24,0.5545790158616176,0.37231498026654714,-2.917868410864416,-0.006524664743050135,-0.44128569641911075,2,4
25,-1.4569752193558634,0.32332284789690974,0.31337079101301923,-0.011921465365682171,-0.11081789406170106,2,5
26,0.7706298233695456,0.36848987269235933,0.2365231542946433,-0.006946025111328469,-0.11867731518036251,2,6
27,-0.14863351848799014,0.25594777984261263,-0.5873214545059199,-0.01934326539026432,-0.20293419012670977,2,7
28,1.2131316987021803,0.1874664388883746,0.11621897873142042,-0.02688692853829977,-0.13098115715210468,2,8
29,0.4192618342034369,0.3053081747191445,-0.37211052056531735,-0.013905898267862371,-0.1809239705362462,2,9
30,-1.1780312638431478,0.24981482622777862,0.0965071985071096,-0.020018849944073658,-0.13299713563104099,2,10
31,-0.7165288711794171,0.3470317483565892,0.3399180648978205,-0.009309776456178476,-0.1081028306723385,2,11
32,-1.7210645479236184,0.16421401093938814,0.2060960546376029,-0.029448334044922864,-0.12178917912096143,2,12
33,0.1745900780175424,0.4095097728788647,-0.05425349967992538,-0.0024274174868105236,-0.14841585071186525,2,13
34,1.318848000249994,0.40537113394449587,0.39481061584199934,-0.0028833153646439236,-0.10248881711810365,2,14
35,,0.40325595208648135,0.20637645987878123,-0.0031163163428864493,-0.12176050129860527,2,15
36,0.2874803818013009,0.32156641002071673,0.37063703741830223,-0.012114948371327539,-0.10496111608382308,2,16
37,-1.1780312638431478,0.42507028219939613,0.03824838715366088,-0.0007133266251202475,-0.13895542598130128,2,17
38,0.8807642268671672,0.3769817882435557,0.4879884297067297,-0.006010585625080722,-0.09295926345384564,2,18
39,-1.5103987356781607,-3.2298655260355873,0.13495242767181762,-0.40332817295883727,-0.12906523532919822,2,19
40,-0.14863351848799014,0.4128028125173011,0.33109722001723585,-0.0020646678469912194,-0.10900496296292495,2,20
41,1.4237975109476382,0.24925312218302598,0.19448076642084078,-0.020080725281843903,-0.12297710688827468,2,21
42,,0.0921199459887979,-0.36156560864144816,-0.03738996213487611,-0.17984551312352703,2,22
43,-0.5847474187772812,0.40410405015609496,0.14569187090883384,-0.003022892848770886,-0.12796688265910905,2,23
44,0.8807642268671672,0.3195188634504778,0.32854703240219557,-0.012340498884658158,-0.10926577772905299,2,24
45,1.1803132563066725,0.3845534625362343,-3.236487290668087,-0.005176516672360076,-0.4738717336698103,3,4
46,-0.3134690789828305,0.4230635898215572,0.5021449811001182,-0.0009343767846120565,-0.09151143364749315,3,5
47,1.125345724905587,0.30901038881861154,0.6308287062210893,-0.013498075411605082,-0.07835059188276594,3,6
48,1.6343356776639917,0.38911233706811305,-0.41825983813060613,-0.004674327122280553,-0.1856437893436047,3,7
49,-0.14863351848799014,0.33931042444157167,0.3487507619202143,-0.010160330283836227,-0.10719948623031039,3,8
50,0.06601074921641441,0.38802579813257354,0.3085057885826349,-0.004794016421770353,-0.11131545136439114,3,9
51,-0.5377092948280388,0.40249131306089375,0.6945689869669093,-0.0032005462828744724,-0.0718316964424418,3,10
52,-0.3632777861923944,0.3938353514164063,0.7825575924409583,-0.004154056508557158,-0.06283285752435508,3,11
