,SS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
0,-1.2534253951602665,0.1499958359167386,0.7638745829236079,-0.1266007582726576,-0.4001443498222056,1,2
1,-1.2534253951602665,0.2567959087452623,-0.8597148409859586,-0.09479704436261516,-0.5765179390159936,1,3
2,-1.2534253951602665,0.365991101376067,-1.9988587755123521,-0.0622800940009991,-0.700265298651384,1,4
3,-1.2534253951602665,0.285651708360396,-0.47295905286044604,-0.08620415138698301,-0.5345039264284317,1,5
4,-1.2534253951602665,0.15554346312012912,-1.2600438761791377,-0.12494874490053676,-0.6200064390984135,1,6
5,-1.2534253951602665,0.35660276476392716,-1.4936744759538174,-0.06507582216668184,-0.6453861729282471,1,7
6,-1.2534253951602665,0.37135677789557814,1.0743038122566875,-0.060682263246385704,-0.3664218356435308,1,8
7,-1.2534253951602665,0.4083422049004705,-0.08477427446052899,-0.04966846982704076,-0.4923346799252578,1,9
8,-1.2534253951602665,0.3718078265244691,1.1184607778258033,-0.060547946656772544,-0.36162498097655604,1,10
9,-1.2534253951602665,0.27568123745982076,-1.3420415365360108,-0.08917323179743764,-0.6289139999938338,1,11
10,-1.2534253951602665,0.2581697183581671,-1.2808105351534114,-0.09438794119687255,-0.6222623605308384,1,12
11,-1.2534253951602665,0.25284910136956307,0.4920774840266015,-0.09597235379181679,-0.4296701826214183,1,13
12,-1.2534253951602665,0.2664998869798186,0.7274833407586468,-0.09190732210505992,-0.40409759927144073,1,14
13,-1.2534253951602665,0.33407807569893216,-0.6975489577599605,-0.07178339031680803,-0.5589015524787633,1,15
14,-1.2534253951602665,0.3249590635003721,0.16998858412933088,-0.07449891707090339,-0.4646593088609623,1,16
15,-1.2534253951602665,0.2664842215896249,-0.010674759646127041,-0.09191198706056802,-0.4842851095148618,1,17
16,-1.2534253951602665,0.07102075657394948,1.1744879910569692,-0.1501185402640024,-0.3555386388603876,1,18
17,-1.2534253951602665,-3.411874993204744,0.09548466400278521,-1.1872809416634198,-0.47275281058511376,1,19
18,-1.2534253951602665,0.43721696358058454,1.297187182429841,-0.04106993108111401,-0.3422095936874411,1,20
19,-1.2534253951602665,0.3527116358030875,0.29424200243458054,-0.06623455126657973,-0.45116142507743584,1,21
20,-1.2534253951602665,0.3565341296273365,0.4030602506202473,-0.06509626084420794,-0.4393402930106409,1,22
21,-1.2534253951602665,0.1519807692499509,-0.39736486991002273,-0.12600967017516773,-0.5262919873921248,1,23
22,-1.2534253951602665,0.37883689854611124,0.44079506726640644,-0.05845477771307417,-0.43524108852492405,1,24
23,-0.7978744219389954,-0.10535934632449445,-0.9055129143163939,-0.20264230905405312,-0.5814930703222807,2,3
24,-0.7978744219389954,0.18791582573789226,-1.1882879366337482,-0.11530866384047478,-0.612211455700999,2,4
25,-0.7978744219389954,-0.026658347082841656,0.8981200626258414,-0.17920614465803497,-0.38556100951495587,2,5
26,-0.9800948112275037,-0.1998089040194598,0.5870101593201431,-0.23076819541635596,-0.4193574665943749,2,6
27,-0.7978744219389954,0.08752061643999297,-0.2921362285602282,-0.14520509021815853,-0.5148608011035629,2,7
28,-0.7978744219389954,0.2784413316771896,0.3373050434186544,-0.08835131057089596,-0.4464834055066559,2,8
29,-1.2534253951602665,0.13859161224629574,-1.6953904447090857,-0.1299967921645374,-0.6672989600424912,2,9
30,-0.7978744219389954,0.18524025442935696,-0.04973823890975128,-0.11610541521141438,-0.488528649133106,2,10
31,-0.7978744219389954,0.0033959928933392637,1.0044700074875272,-0.17025634148802882,-0.37400801390560423,2,11
32,-0.7978744219389954,0.16145239557785712,0.7034292739263567,-0.12318913938321585,-0.40671063803570073,2,12
33,-0.7978744219389954,0.1705471766783967,1.017218433850713,-0.12048082834432328,-0.37262312824354227,2,13
34,-0.7978744219389954,0.20528583067405362,1.2383464498223749,-0.11013609557366588,-0.34860157373359146,2,14
35,-0.7978744219389954,0.3576308184104539,0.4828415797121674,-0.06476968076441136,-0.43067349637143315,2,15
36,-0.7978744219389954,0.17132949431476624,1.5074604991192406,-0.12024786402477805,-0.31936720568586885,2,16
37,-0.7978744219389954,0.2504510505748753,0.25145199957919756,-0.09668646305594109,-0.4558097840000034,2,17
38,-0.7978744219389954,-0.15198146057880005,2.0929167087746845,-0.2165257863247656,-0.25576799058130373,2,18
39,-0.7978744219389954,-3.5648641774144254,0.19318407429651527,-1.232839190052891,-0.4621395389033308,2,19
40,-0.7978744219389954,0.2498443694519638,2.411504845494166,-0.09686712503824779,-0.22115915886541915,2,20
41,-0.7978744219389954,0.1783406936869275,0.8290598970734862,-0.1181600173305487,-0.3930631458860194,2,21
42,-0.7978744219389954,0.13640911688549803,-0.2501233768146287,-0.13064671174068088,-0.5102968655755802,2,22
43,-0.7978744219389954,-0.25493664213069556,0.3401705856939347,-0.24718454013376545,-0.4461721162307867,2,23
44,-0.7978744219389954,0.3034003854823037,1.281927075585771,-0.08091881932196487,-0.34386732794952335,2,24
45,-0.6156540326504865,0.3941017957082193,-1.5545203874436275,-0.05390908397567962,-0.6519959793480153,3,4
46,0.2954479137920565,0.5039654782348535,-0.7307093490692732,-0.021193065759186225,-0.5625038284902752,3,5
47,-0.9800948112275037,0.20617919834530937,-0.4987556002273492,-0.10987006195514282,-0.5373062541480546,3,6
48,-0.34232344871772413,0.33273545253493897,-0.338807344400093,-0.07218320655162647,-0.5199307726685012,3,7
49,0.9332192763018361,0.3233290497024889,-0.5384678323378391,-0.07498431460972843,-0.5416202690147922,3,8
50,-1.2534253951602665,0.26400745183443036,-1.540312311531459,-0.09264953783772645,-0.6504525291953698,3,9
51,2.117651806677142,0.3398449115624002,-0.30077528651017105,-0.0700660993720501,-0.5157992783044155,3,10
52,0.2954479137920565,0.45340999169064744,0.9374200824030092,-0.036247851660095365,-0.3812917740534467,3,11
53,-0.34232344871772413,0.21200431781626647,0.8289938125601801,-0.1081354148875927,-0.39307032477166026,3,12
54,1.2976600548788535,0.45301703520235675,-0.7269483148667762,-0.036364869143339584,-0.5620952602330507,3,13
55,1.7532110281001247,0.4043091279006883,1.0118377725299441,-0.05086946926160285,-0.3732076396572068,3,14
