,OS,RA_MMS,RA_rsFC,Subject_left,Subject_right
172,-0.8463720170003591,0.15379020196705337,-2.064458094900175,10,12
173,-3.930182930427408,-2.581150050453316,0.31464741888764247,10,13
174,-0.07541928864359615,0.37779730100623893,0.3184166652556588,10,14
175,-0.07541928864359615,0.42604986793407124,-0.46766130052653593,10,15
176,0.310057075534785,0.3059101305510124,0.5307890130328858,10,16
177,-0.8463720170003587,0.01905739458144772,-0.8835939867351923,10,17
178,-0.07541928864359615,0.3522947090387842,0.7000702138043366,10,18
179,-0.07541928864359615,-0.015220388901891025,-2.0219995614917705,10,19
180,-0.4608956528219778,0.4623087715818688,-0.9428410936831375,10,20
181,-2.0028011095355023,0.3882919248525741,-1.1107088358429635,10,21
182,-0.0754192886435964,-0.7649435944903508,0.8159104955250973,10,22
183,-1.23184838117874,0.4737443650421979,-0.7988564919774286,10,23
184,-0.4608956528219778,0.41013915845639526,-1.9623285876967538,10,24
185,1.0810098038915472,0.4623146643933754,1.9981725303099211,11,12
186,-1.231848381178741,-3.0779967034768863,-0.9601214897167518,11,13
187,0.310057075534785,0.3367142284796892,1.5132103771327987,11,14
188,0.310057075534785,0.611884430760284,0.815255588011778,11,15
189,-0.07541928864359615,0.5089089781169531,1.8094433247701134,11,16
190,0.310057075534785,0.5150972909863574,-1.3897296525802785,11,17
191,0.310057075534785,0.5735741930798999,1.0395953313743058,11,18
192,1.0810098038915472,0.5050297607039024,0.37790343565086326,11,19
193,0.6955334397131662,0.6743291284289966,1.0288988319148231,11,20
194,0.6955334397131662,0.2414148318175717,1.0409636464824685,11,21
195,-0.46089565282197725,-0.4360788535548087,-1.2634415108227364,11,22
196,0.6955334397131662,0.5551028638611605,1.0088408499411525,11,23
197,1.4664861680699284,0.6920318411912784,1.2046686032744323,11,24
198,-0.8463720170003591,-3.1159985159810963,-1.1066190097919304,12,13
199,0.6955334397131662,0.399781768010254,1.7678400570468602,12,14
200,1.4664861680699284,0.5854506247300358,0.8621777433803574,12,15
201,0.310057075534785,0.5142172971840997,1.0882905813786896,12,16
202,0.6955334397131662,0.5378630354319721,-1.272835407737998,12,17
203,0.6955334397131662,0.531608408602349,0.4434231981473335,12,18
204,0.6955334397131662,0.48852859388979825,0.08485991925115405,12,19
205,1.0810098038915472,0.6081012432269252,0.0663334406570163,12,20
206,1.0810098038915472,0.23219650428838393,0.09297325056378998,12,21
207,-0.07541928864359615,-0.7607967980658344,-1.7414464676633996,12,22
208,1.0810098038915472,0.3722811569929868,0.9136261363146765,12,23
209,1.0810098038915472,0.5744150072871627,1.3661371003810074,12,24
210,-2.3882774737138837,-2.5386158273082096,0.21688910981090673,13,14
211,-1.6173247453571213,-2.4386699745759275,0.19016828876859893,13,15
212,-2.0028011095355027,-2.9975667069115857,0.5242618758317519,13,16
213,-0.8463720170003591,-3.6360365346395973,-1.8550356356599476,13,17
214,-1.6173247453571213,-2.5767264742519034,0.9001988291362385,13,18
215,-1.6173247453571213,-3.492270995509675,-0.6277667857108381,13,19
216,-1.2318483811787406,-2.8001809971706506,-1.410912803173561,13,20
217,0.31005707553478473,-2.244592371304833,-2.098806440300448,13,21
218,-1.6173247453571213,-4.556098555458086,0.027766798118196732,13,22
219,-0.4608956528219778,-2.272647785450184,0.5195690160363264,13,23
220,-1.231848381178741,-2.7582074743133727,-0.24989499317373476,13,24
221,0.6955334397131662,0.5804097217012251,1.4737729045395584,14,15
222,0.310057075534785,0.5371175836918984,1.8065925043492643,14,16
223,-0.07541928864359615,0.23749582944477154,0.4173559701443559,14,17
224,-0.07541928864359615,0.5200484760072112,1.0424769107701393,14,18
225,-0.07541928864359615,0.4493976322081486,-0.4853473389202803,14,19
226,0.310057075534785,0.5153017471930542,-0.2033819446786715,14,20
227,-0.46089565282197725,0.5810049829490436,0.3809674747318281,14,21
228,-0.07541928864359615,-0.8571276643719372,-0.7121871840031088,14,22
229,-0.4608956528219778,0.3864372739382785,1.1022620346410534,14,23
230,1.0810098038915472,0.4466707699448841,0.5713518943575739,14,24
231,1.0810098038915472,0.5650489796485043,1.2674422677389863,15,16
232,-0.0754192886435964,0.4582893661090517,0.5867866775192585,15,17
233,1.4664861680699284,0.7484766334133187,0.6918706665408811,15,18
234,0.6955334397131662,0.49652388315460455,-0.4505704537658608,15,19
235,1.8519625322483098,0.721342273747103,-0.945530548564891,15,20
236,0.31005707553478473,0.5844451517355472,-0.48158389548210706,15,21
237,-0.0754192886435964,-0.6674158834683114,-0.6313402041500754,15,22
238,1.0810098038915472,0.6327345254207686,0.48277632841007867,15,23
239,1.0810098038915472,0.70369296427681,0.3782658660846769,15,24
240,1.0810098038915472,0.4086633192815771,-0.26520317689068157,16,17
241,1.0810098038915472,0.6137973327830561,1.5433382459490936,16,18
242,1.0810098038915472,0.5487864937140059,0.6877022424654831,16,19
243,0.6955334397131662,0.6115179828788719,1.1361535253732566,16,20
244,-0.07541928864359615,0.3018693504035297,1.336507988859831,16,21
245,-1.23184838117874,-0.8583347600403035,0.5545149637764248,16,22
246,-0.0754192886435964,0.24600208998141956,1.3479783612613203,16,23
247,0.6955334397131662,0.590169270456956,1.0326402292369674,16,24
248,-0.0754192886435964,0.49825449062885624,-1.8537046919381488,17,18
249,0.6955334397131662,0.553421446974465,-1.8951505390449954,17,19
250,-0.46089565282197725,0.45169509616499603,-2.4450174221354843,17,20
251,0.310057075534785,0.17727736552121476,-0.9626891809446827,17,21
252,-0.8463720170003587,-0.03580207492688806,-1.7749864962318522,17,22
253,-0.4608956528219778,0.3273790519744619,-1.8652906348720995,17,23
254,0.310057075534785,0.5926921502444407,-1.914767122304967,17,24
255,1.4664861680699284,0.5193491159274558,0.425633814807027,18,19
256,1.8519625322483098,0.6648587244336615,0.293275143231701,18,20
257,0.310057075534785,0.4983516965551424,0.34988898983417627,18,21
258,-0.8463720170003587,-0.6059114286638981,0.7646159237750904,18,22
259,1.0810098038915472,0.5519116422061943,0.8898352936016338,18,23
260,1.0810098038915472,0.6928346298500181,0.5914892811391558,18,24
261,1.0810098038915472,0.5560622007429752,0.7149519232981643,19,20
262,0.310057075534785,0.22572278221095046,0.7042698101472376,19,21
263,-1.617324745357121,-0.6154687574893479,-1.1083007389998762,19,22
264,1.0810098038915472,0.1758036354694924,0.9937092387019463,19,23
265,1.0810098038915472,0.4882993581758512,0.37391822940357605,19,24
