,OS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
247,0.5238120584916719,0.6505303896246587,-0.9286115326878096,-0.057272975603924414,-0.5961074417161554,16,24
248,0.02999678029852352,0.47248454703936876,-1.1131239647806317,-0.07374587869841742,-0.618020288814511,17,18
249,0.36184215392073493,-0.13916396216172383,0.14429015513006976,-0.1303359482763361,-0.4686887611966032,17,19
250,-0.015116734027416987,0.4661344215217186,0.3153308675012129,-0.07433339593988297,-0.44837582653268204,17,20
251,0.7127825093206893,-0.3466402029637373,-1.4632421733694916,-0.14953176863088358,-0.6596006131543815,17,21
252,-0.5541848113409096,-0.5327952556167456,-0.5566607298711117,-0.16675494047458606,-0.5519342606584547,17,22
253,0.09383989961605908,0.07506558437292066,1.241395414514563,-0.11051530821644884,-0.33839564475445416,17,23
254,0.5382837368824095,-0.5229966278237671,-0.8632952443605874,-0.16584836583207274,-0.5883504259806167,17,24
255,0.9185075125452871,0.2765969801844584,0.12824365370969257,-0.09186950831740837,-0.4705944568080045,18,19
256,1.1652995582467316,1.0032832037396229,-1.0644407323943788,-0.02463608367289316,-0.6122386283841883,18,20
257,1.0762629015202378,0.4319475395677792,-2.2819208826196777,-0.07749638579324247,-0.7568275651543077,18,21
258,-0.7746104269135936,-0.15864557090881498,-1.0735812786386618,-0.13213839784974823,-0.613324167119842,18,22
259,0.8795606035187955,0.5776625101552589,0.6121298736731243,-0.06401475345041141,-0.4131277342094656,18,23
260,0.7535324848890234,0.26482929366705465,-2.3305957119822143,-0.09295826139826002,-0.7626082276346724,18,24
261,0.8218069632010546,0.3919729207780296,0.7779297051174345,-0.08119486036586498,-0.393437210843839,19,20
262,1.076262901520236,0.7254949640555987,0.3580995173642074,-0.05033721034150762,-0.44329658675235417,19,21
263,-1.398039328452962,-0.44509609926216726,1.4424669180466543,-0.15864096441583186,-0.3145162288107163,19,22
264,0.8795606035187945,0.24924459587297546,0.9549860166088003,-0.09440016654353656,-0.37240985871638277,19,23
265,0.7535324848890215,0.4057001701003796,-0.24420652163339257,-0.07992480741457131,-0.5148269437546998,19,24
266,1.0649947194417535,0.4461978879048159,-0.38976099735966996,-0.07617793542220208,-0.532113112143975,20,21
267,-0.19355829316490802,-0.3960662797863749,0.8621172015710759,-0.15410469750143696,-0.3834390350219846,20,22
268,1.1724494528493759,0.8285232198037038,0.5002587002964918,-0.04080497724754939,-0.4264136461077086,20,23
269,0.9898178794222272,0.2571545834111887,-1.8749295638104906,-0.09366832997659613,-0.7084929438051224,20,24
270,-0.5235794148140157,-0.5906251920651168,-2.031328617774708,-0.17210539923982437,-0.7270670231610397,21,22
271,0.9644386485772563,0.4246560984349468,-1.7431563201542926,-0.07817099409330885,-0.692843445789509,21,23
272,1.1458957302501391,0.8420152859563016,-2.5627009902758133,-0.039556683577508966,-0.7901732400096124,21,24
273,-0.09121135717129183,-0.8250421353951896,1.0919210798253158,-0.19379378878665554,-0.35614733879491944,22,23
274,0.027827068161359037,-0.61026067574095,0.4057987803622021,-0.17392208540957055,-0.43763178333003794,22,24
275,0.9785904613326772,0.3104799234646659,0.3973606309784318,-0.0887346390438184,-0.4386339048409973,23,24
276,0.15637395822284994,0.5197605220870478,1.0000713273307034,-0.06937187847268889,-0.3670554904007892,2,1
277,-2.956611582301383,-2.7834184677628895,0.5150721544409749,-0.37498388610773203,-0.4246543881976331,3,1
278,0.05752370655732897,0.4594515239330162,-0.826941004984189,-0.07495170144351404,-0.5840329668273425,4,1
279,0.24036167094711997,0.4068685500917094,-0.20297651839302358,-0.07981670823014075,-0.5099304349036518,5,1
280,0.9346203433539076,0.8220442736025791,-1.0051310327761853,-0.04140441305226039,-0.6051949600283939,6,1
281,-1.7260960033980117,0.4838832755514722,-1.7412497267180238,-0.0726912618230452,-0.6926170171961952,7,1
282,-0.03247083739171961,0.6052395436483724,0.36885322811490806,-0.0614633105536303,-0.44201946728269426,8,1
283,0.17628757178661142,0.6236167772134603,0.48685945994762586,-0.059763038403116364,-0.428004950832645,9,1
284,-1.449543937872027,-0.8910828849238503,0.36702161101419467,-0.19990391666988416,-0.4422369916251758,10,1
285,1.071196120660834,0.37066187134505163,0.3886603233906419,-0.0831665708369097,-0.4396671604743304,11,1
286,0.9346203433539076,0.3845196347070037,0.9483060788863045,-0.08188444265209405,-0.3732031735747873,12,1
287,0.9187052176598182,0.41935183280244015,-0.10114929254854939,-0.07866174778057833,-0.4978373504156798,13,1
288,0.46109658579461177,0.4397103375093966,1.2977757415672524,-0.0767781672918858,-0.33169987107650845,14,1
289,0.6785723524309217,0.40651442209434324,-0.667001399790092,-0.07984947235481199,-0.5650384087163395,15,1
