,OS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,-0.25357938947360736,0.5827024890630172,1.0000713273307034,-0.04170366611621423,-0.3670554904007892,1,2
1,-1.1554854654364373,-3.516761444355964,0.5150721544409749,-0.5355428747150747,-0.4246543881976331,1,3
2,-0.7045324274550226,0.8218362629255365,-0.826941004984189,-0.012896574371651814,-0.5840329668273425,1,4
3,-0.25357938947360736,0.6078888465502243,-0.20297651839302358,-0.03866960823670096,-0.5099304349036518,1,5
4,-0.25357938947360736,0.17838580938158652,-1.0051310327761853,-0.09040940724726809,-0.6051949600283939,1,6
5,-0.9751042502438715,0.5298624096135833,-1.7412497267180238,-0.048069011303151,-0.6926170171961952,1,7
6,-0.25357938947360736,0.37420543504868525,0.36885322811490806,-0.06682012568798046,-0.44201946728269426,1,8
7,-0.25357938947360736,0.10582621603791859,0.48685945994762586,-0.09915025061973493,-0.428004950832645,1,9
8,-1.3358666806290036,-0.2793992828141774,0.36702161101419467,-0.14555618529192005,-0.4422369916251758,1,10
9,-0.25357938947360736,0.41333856509312755,0.3886603233906419,-0.06210597908612803,-0.4396671604743304,1,11
10,-0.25357938947360736,0.351348819132612,0.9483060788863045,-0.06957353279158385,-0.3732031735747873,1,12
11,-0.25357938947360736,0.5487028803406047,-0.10114929254854939,-0.0457994064707693,-0.4978373504156798,1,13
12,-0.7045324274550226,-0.2963060664692724,1.2977757415672524,-0.1475928497914223,-0.33169987107650845,1,14
13,-0.25357938947360736,0.2867148835913166,-0.667001399790092,-0.07735961704424432,-0.5650384087163395,1,15
14,-0.25357938947360736,0.6308611143924463,0.6366942125405327,-0.035902269200383974,-0.41021045326764305,1,16
15,-0.25357938947360736,-0.49448400408387727,0.4882946126435308,-0.17146622383809385,-0.4278345109266102,1,17
16,-0.25357938947360736,0.25501696357719444,-1.6715501403883102,-0.08117808599243892,-0.6843394374107132,1,18
17,-0.25357938947360736,0.8739533681673785,0.25895257228906665,-0.006618321793971593,-0.45507135890758577,1,19
18,-0.25357938947360736,0.2180303811577712,1.2225954284826321,-0.08563365015581259,-0.3406283464466723,1,20
19,-0.25357938947360736,0.6317898770463611,-1.647045356645156,-0.0357903864221879,-0.6814292292840767,1,21
20,-0.25357938947360736,0.5609628955792809,0.696967484779076,-0.04432251185205549,-0.4030523502406539,1,22
21,-0.25357938947360736,0.03870740679985691,0.23349892490875154,-0.10723567353711094,-0.458094254854563,1,23
22,-0.25357938947360736,0.5759831528355754,-1.0245293552874843,-0.04251310650616835,-0.6074987206494714,1,24
23,-1.1554854654364373,-3.2734926845703516,0.9603919170916593,-0.5062376646289454,-0.3717678495608684,2,3
24,-0.7045324274550226,0.4881157686374476,-0.5030148222297125,-0.053097992769057356,-0.5455632288625749,2,4
25,-0.25357938947360736,0.6516274263988515,0.2810176437129087,-0.03340066917332696,-0.4524508930081297,2,5
26,1.7306139776446179,0.46488381502755804,1.6610158062644904,-0.05589661467944573,-0.2885611843905991,2,6
27,-0.9751042502438715,0.5186351050172219,0.6336924911384835,-0.0494215011180672,-0.41056694015239603,2,7
28,1.7306139776446179,0.6328145415577193,0.46208100537522634,-0.035666950890228866,-0.43094766033042775,2,8
29,1.7306139776446179,0.3660659732328387,1.0911079178897665,-0.06780064056671631,-0.35624391057036997,2,9
30,-1.3358666806290036,-0.3139311064739567,0.038868862484899326,-0.14971603856654037,-0.4812086799925491,2,10
31,1.009089116874354,0.60347491216016,1.753301682221317,-0.0392013299206575,-0.2776012384062416,2,11
32,1.7306139776446179,0.4751143923582688,1.375380597152076,-0.05466419495468089,-0.32248345505926834,2,12
33,1.7306139776446179,0.6581779944269102,0.8557246083180238,-0.03261155933277482,-0.38419822461656783,2,13
34,-0.7045324274550226,-0.12426499863394128,1.2876211763717802,-0.1268680364582202,-0.3329058355307991,2,14
35,0.37775486370037314,0.41539029108039965,1.5489307619527495,-0.06185881927346171,-0.30187249577573116,2,15
36,-0.25357938947360736,0.7605729209227144,0.5307967305394621,-0.020276622305275827,-0.4227869247003265,2,16
37,1.7306139776446179,-0.44254625807816755,0.9585834889247783,-0.16520957765204558,-0.3719826199666332,2,17
38,0.37775486370037314,0.36390175953783,0.47398061785443363,-0.06806135113662015,-0.42953445263580814,2,18
39,0.37775486370037314,0.6090600200899611,0.4930310784711196,-0.03852852359163783,-0.42727200437738033,2,19
40,1.009089116874354,0.2793157652613491,1.0461971513302875,-0.07825094693511447,-0.3615775498787106,2,20
