,OS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,-1.3221570290923421,0.5719423696990887,1.0000713273307034,-0.0002663487160226421,-0.3670554904007892,1,2
1,-1.739814405245047,-3.517353649401162,0.5150721544409749,-0.007124321787240888,-0.4246543881976331,1,3
2,0.581387526977209,0.6783861354217319,-0.826941004984189,-8.783669940283102e-05,-0.5840329668273425,1,4
3,-0.09965259561522587,0.6177184094692256,-0.20297651839302358,-0.00018957979379634462,-0.5099304349036518,1,5
4,1.1228518378618906,0.15393937543664535,-1.0051310327761853,-0.0009673625983512605,-0.6051949600283939,1,6
5,-1.739814405245047,0.496722077247848,-1.7412497267180238,-0.00039249726032716315,-0.6926170171961952,1,7
6,-0.8999696104477963,0.410925963907038,0.36885322811490806,-0.0005363820346644153,-0.44201946728269426,1,8
7,-0.848280613192515,0.07019595803209075,0.48685945994762586,-0.0011078048893396707,-0.428004950832645,1,9
8,-0.09965259561522587,-0.03130227368966509,0.36702161101419467,-0.0012780229749644,-0.4422369916251758,1,10
9,1.540509214014595,0.38389640128225255,0.3886603233906419,-0.0005817120894566755,-0.4396671604743304,1,11
10,1.1228518378618906,0.3792317992697598,0.9483060788863045,-0.0005895348821428026,-0.3732031735747873,1,12
11,1.5405092140145953,0.546431181029153,-0.10114929254854939,-0.0003091323746514154,-0.4978373504156798,1,13
12,0.789850035033956,-0.3801349087524789,1.2977757415672524,-0.001863034381927607,-0.33169987107650845,1,14
13,0.7898500350339558,0.18127625240543943,-0.667001399790092,-0.0009215171605968067,-0.5650384087163395,1,15
14,-1.158372491245512,0.6744480832005826,0.6366942125405327,-9.444102835322955e-05,-0.41021045326764305,1,16
15,-1.3221570290923421,-0.6021578842313225,0.4882946126435308,-0.0022353790544369537,-0.4278345109266102,1,17
16,-0.09965259561522587,0.1175842005387049,-1.6715501403883102,-0.001028332214951519,-0.6843394374107132,1,18
17,-0.09965259561522587,0.7104531037388825,0.25895257228906665,-3.405863976433743e-05,-0.45507135890758577,1,19
18,0.7204283091996847,0.055343950475294224,1.2225954284826321,-0.0011327125182817425,-0.3406283464466723,1,20
19,-0.09965259561522587,0.5437253507204133,-1.647045356645156,-0.00031367020006340556,-0.6814292292840767,1,21
20,1.4116624900944779,0.6466782122222542,0.696967484779076,-0.0001410126207424945,-0.4030523502406539,1,22
