,SO,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,0.21860303094699055,0.10411144287130916,0.5376468130659825,-0.011769435988736143,-0.14928667046344501,1,2
1,-1.1576589678370974,-1.1889841136447896,0.4463337752497127,-0.032594084269141455,-0.16281666952099394,1,3
2,-0.6323644833421812,0.1423082656756693,0.06062598315190771,-0.011154295524969604,-0.21996761081453553,1,4
3,0.14226828058922236,0.35883943212964153,0.27218239908692055,-0.007667170880215068,-0.1886209578428265,1,5
4,-1.4327064683346724,-0.399734184965266,-0.0810978139424116,-0.019883614352774193,-0.24096705281072262,1,6
5,-0.09329079699402654,0.6331891531436634,-0.19599278707544285,-0.003248907730864281,-0.25799122499229954,1,7
6,-0.9011348476011802,0.4385544768231789,0.016563502696693728,-0.00638340050451891,-0.22649641911277496,1,8
7,-1.8841997424056758,0.21080615082720758,0.18426209629267593,-0.010051171816095716,-0.20164824991845598,1,9
8,-0.9635175611503669,-0.9013088512689568,0.3459211975369511,-0.027961220032804213,-0.17769496197856516,1,10
9,0.05239570820916316,0.1829817283762331,0.42294319748935727,-0.01049927003144191,-0.16628248888941655,1,11
10,0.30441826069827316,0.2094025077449691,0.553445761300099,-0.01007377677622534,-0.14694571500045883,1,12
11,-0.3078568346567431,0.6437661030283552,-2.0494221900907834,-0.003078571315958012,-0.5326168280358434,1,13
12,-0.11473678305901533,-0.7272272462600124,0.662160101616702,-0.02515772405129546,-0.13083733708201428,1,14
13,0.5789643577158525,0.30420609978449775,0.11773983887727044,-0.008547012996090397,-0.21150495933981417,1,15
14,-0.8508013979790254,0.47047537827340863,0.35463059768055205,-0.005869330571987796,-0.1764044762105652,1,16
15,-0.9011348476011802,0.4329660294640389,0.3800188907914914,-0.006473399615645081,-0.17264265215916363,1,17
16,-0.10378847881190216,0.7485126081726962,-0.15996255547223642,-0.0013916819617717513,-0.2526525678706788,1,18
17,0.05239570820916316,0.51400637684303,-0.8092524475878142,-0.005168285912187431,-0.34885889106929824,1,19
18,-0.10378847881190216,0.27308939359526285,0.3768179406337908,-0.009048131771706158,-0.17311694207057904,1,20
19,-1.616356101044966,-0.48968155839720756,-0.05844025050194351,-0.021332171194553995,-0.23760984534805218,1,21
20,-0.04024234128915512,0.5941151156161649,0.16959813985603764,-0.0038781752929598623,-0.20382103182903988,1,22
21,-4.249324946161352,-2.3329734487474845,0.3934905431414424,-0.05101745245720757,-0.17064653585466383,1,23
22,-0.03838017420044261,0.6973284374324141,-1.3832174499721466,-0.0022159770788799937,-0.43390420471828095,1,24
23,-0.6595099564342893,-0.6906207076795852,0.7738406977605886,-0.024568194308610125,-0.11428944428697185,2,3
24,-0.9079263078231641,0.6481015970159775,0.36171279387227817,-0.0030087503835767304,-0.1753550958581972,2,4
25,-0.4182986901555,0.6115275415066102,0.6055804944831553,-0.0035977570028730144,-0.13922082808724923,2,5
26,-2.2899910739492917,0.4937277945494953,0.8646936880017208,-0.005494862197876538,-0.10082761121542994,2,6
27,0.3294284551538032,0.6055414336802989,0.6502670496234748,-0.003694160234191335,-0.1325995496434178,2,7
28,0.3294284551538032,0.740564848897814,0.10725531292102715,-0.0015196765950242774,-0.21305846834246334,2,8
29,-2.1660822315887334,0.5889040516523573,0.46902552252126345,-0.003962096835854467,-0.15945439698532415,2,9
30,-0.09773060969019533,-1.742715123983286,0.5891966679021338,-0.04151164142425268,-0.1416484459116205,2,10
31,0.6276086398690763,0.7703499782239536,0.9271443883544269,-0.0010400021896196376,-0.09157419092493957,2,11
32,-0.31706927203308644,0.794758867375948,0.8605454371882282,-0.00064690940622536,-0.10144226418218327,2,12
33,-1.2929184414667596,0.48608139558312735,-1.7604538257719111,-0.005618003576163599,-0.4897999226913673,2,13
34,-0.6595099564342882,0.549980686036948,0.8287301922606715,-0.00458893790320325,-0.10615637997747263,2,14
35,0.7035559402518362,0.7018095072485644,0.8864550749219872,-0.0021438117215937247,-0.0976031916630481,2,15
