,OS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
0,0.15637395822284994,0.6047714873951253,1.1627506689144906,-3310.3160370819414,-0.3497304770153057,1,2
1,-2.956611582301383,-0.41615028268626153,0.022278556343784454,-5339.322233019445,-0.47946130775147255,1,3
2,0.05752370655732897,-0.3779826607863873,-1.7490399156447316,-5263.466919136902,-0.6809520889257832,1,4
3,0.24036167094711997,0.9730576953235119,-0.9889726532763679,-2578.374550805815,-0.5944930196723044,1,5
4,0.9346203433539076,0.7160990757814218,-1.1093694273413124,-3089.0607232721786,-0.6081883773625447,1,6
5,-1.7260960033980117,0.3264869106505813,-2.051441157685799,-3863.385965646118,-0.715350794438369,1,7
6,-0.03247083739171961,0.309800149671442,-0.3115179042367566,-3896.5496637951965,-0.5174312779511788,1,8
7,0.17628757178661142,0.7571591377950934,0.1328893739378035,-3007.456899480003,-0.46687912086876693,1,9
8,-1.449543937872027,-2.0734821285739113,0.5929045255947271,-8633.146189543075,-0.4145515390560406,1,10
9,1.071196120660834,0.9610487254634711,-0.6474926858329245,-2602.2414865171645,-0.5556490362307973,1,11
10,0.9346203433539076,0.61281072297626,0.32930985416018,-3294.3386534245988,-0.4445359247555293,1,12
11,0.9187052176598182,0.988492900798018,0.6633127957308231,-2547.6982262713263,-0.4065424669579397,1,13
12,0.46109658579461177,0.26487364283961745,0.6675175367645815,-3985.8377595092625,-0.4060641698200024,1,14
13,0.6785723524309217,0.23968945210006923,-0.6516279435727207,-4035.8894682176992,-0.5561194295144022,1,15
14,-0.29246720459429715,0.566996835512332,0.693651785605049,-3385.3903522407413,-0.4030913502522382,1,16
15,0.1563739582228504,0.5250157437300706,0.3909519536724163,-3468.8246542946968,-0.4375240209221086,1,17
16,0.2241743605893841,0.4034625829399491,-0.0373626132136577,-3710.4025338214337,-0.4862456020691329,1,18
17,0.22417436058938361,0.8306952227321862,0.6636792529330678,-2861.309392065744,-0.4065007817674362,1,19
18,0.6684153503646119,0.6942749137079268,0.32163092230903445,-3132.4346245503693,-0.44540941758120656,1,20
19,0.5901117995061246,0.6576403455518901,0.4106222680351165,-3205.243107974293,-0.43528648596181696,1,21
20,0.6985643488356965,-0.3344918823180782,0.8845558289234744,-5177.032226916253,-0.3813756591295786,1,22
21,0.8990832343630304,-1.0041449145018577,-0.5518386056265786,-6507.917894405652,-0.5447682061327235,1,23
22,0.958865013590804,-0.3054048453121764,-1.4184823937711164,-5119.2239011111005,-0.6433505540473106,1,24
23,-0.7553983968610278,-0.6138065895985565,0.2421959620141575,-5732.149463414581,-0.45444529252717103,2,3
24,-1.1222672611010867,-0.24090269924130478,-1.631731830845881,-4991.030676258396,-0.6676080754025414,2,4
25,0.1563739582228504,0.5549331274614085,-1.4246014431328515,-3409.366076041159,-0.6440466073293362,2,5
26,0.7376686214524427,1.111538928255786,1.0142180479959895,-2303.153385115275,-0.36662633978194803,2,6
27,0.18863373735750422,0.4636463932622096,-0.5371240301663892,-3590.7916805537448,-0.5430943957191768,2,7
28,1.0474330359660733,1.055949749742201,-1.0170789091329482,-2413.632748898602,-0.5976901587175885,2,8
29,0.5793050395663037,1.0892143580475784,-0.1864857497698644,-2347.5218103967577,-0.5032086370913682,2,9
30,-0.7553983968610274,-1.9842932176651622,0.5962850298118567,-8455.88985301854,-0.41416700039388354,2,10
31,0.2790327507999796,0.252816671019888,0.4824621742927008,-4009.8000955504704,-0.42711456258370195,2,11
32,1.0218440217411986,0.8434734493380219,0.7234853830225573,-2835.913615703499,-0.39969772288146654,2,12
33,0.9741262488421082,0.7454238655428156,0.3187786431730615,-3030.7798815229726,-0.4457338696548019,2,13
34,-0.04468024664564128,0.19363399148265853,1.0206930534143688,-4127.421275735167,-0.36588979583432435,2,14
35,0.6936875275429477,0.35089436992146217,1.0051480139196303,-3814.877953045151,-0.3676580730813087,2,15
36,0.9346203433539086,0.6216804668365178,2.189976561557471,-3276.710696242917,-0.23288161509452598,2,16
37,1.0218440217411995,0.46114913196402707,1.4155894552251902,-3595.7548019165924,-0.3209695933173471,2,17
38,0.6936875275429468,0.6447140389952429,1.6136390664569502,-3230.9331822411327,-0.2984410805121046,2,18
39,0.6936875275429468,0.9622224765700962,0.9428874266346576,-2599.9087433652176,-0.3747403310528734,2,19
40,0.5731822356273757,0.9316515020925124,-0.5892020284533921,-2660.6662846858617,-0.5490183651932052,2,20
41,0.9286292205925758,0.2826221869226166,1.1027333512734068,-3950.563846298063,-0.35655755887931007,2,21
42,-0.5541848113409096,-0.45805437413015015,-0.3927761535798938,-5422.603502619567,-0.526674555428337,2,22
43,0.5631401276033584,0.22183394754923177,0.7007532134840069,-4071.375957414958,-0.4022835495809236,2,23
44,0.5382837368824095,-0.9778109812653232,-0.9922762233917265,-6455.581157873848,-0.5948688069368387,2,24
45,-2.956611582301383,0.9158269825854715,-1.1608129475529487,-2692.1163419463314,-0.6140401737716696,3,4
46,-1.449543937872027,-0.06709903407781358,-2.596673743045855,-4645.608799844439,-0.7773720183363824,3,5
47,-1.8560049895812054,-0.11535296313788758,-0.4949008034263176,-4741.50990011524,-0.5382914248959763,3,6
48,0.5238120584916728,0.7134305048269383,-0.2089156061376519,-3094.364309854052,-0.5057600751035849,3,7
49,-0.8889318324318777,-1.5885281299094263,-0.7120632614008552,-7669.336133894573,-0.5629940596796024,3,8
50,-1.345488501116496,-1.3074113086750458,-0.34936153075353643,-7110.637329752761,-0.5217360610773745,3,9
51,-2.956611582301383,-0.08575656654563166,0.4234975188334902,-4682.689259961467,-0.4338219021604257,3,10
52,-2.956611582301383,-1.3211803862178206,1.1314942645810337,-7138.002348763382,-0.3532859513274875,3,11
53,-1.8560049895812054,-0.1858228695973159,-0.5229705561953948,-4881.563605524929,-0.5414844116469482,3,12
54,-1.7387170096352866,-0.03698389546313739,-0.82838835519051,-4585.757198447181,-0.5762262561414504,3,13
55,-1.3454885011164956,0.5488044282806995,-0.9168068090239779,-3421.546410494899,-0.5862840202391342,3,14
56,-1.6713799767465785,-1.780957842695089,0.3398263952710397,-8051.77589663316,-0.44333964858205266,3,15
57,0.05752370655732897,0.3321251620320034,0.2493065359373969,-3852.1803597687485,-0.4536364514762544,3,16
58,-0.7553983968610278,-1.6647562606674609,-0.620356072410663,-7820.833882444354,-0.5525621958216085,3,17
59,-1.6713799767465785,-0.3388442849293934,0.4264804381921984,-5185.682303860806,-0.4334825895177413,3,18
60,-1.671379976746579,-0.36204256996909207,0.8679534353858802,-5231.787172480584,-0.38326421237178454,3,19
61,-1.8173755262693847,-0.8789069284257309,-1.0260816464776206,-6259.016698288599,-0.5987142368881553,3,20
