,OS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
269,1.2395339141157549,1.0848075941047182,-0.8041633029270154,-74.69554205367545,-0.2533876819271237,20,24
270,-1.1071959860883618,1.0036702084625693,0.4195973968612331,-86.71237690556765,-0.14407624970977428,21,22
271,1.1970091667982055,0.7286369831472845,0.07728299463605119,-127.4461129169008,-0.17465320612154267,21,23
272,1.1970091667982055,0.895948830718328,-1.401956597447971,-102.66642812531013,-0.30678508323713505,21,24
273,0.3116752711135964,0.2681790453547642,0.530131685888966,-195.64213563692752,-0.1342028639695404,22,23
274,0.3116752711135961,0.5482072161254261,-0.7340182721996804,-154.16862431540375,-0.24712203393478194,22,24
275,1.223747273922632,1.155581062820422,-1.559692390832118,-64.21365286386195,-0.3208747050804779,23,24
276,-1.3221570290923421,0.6759199604685748,0.7655945595889994,-135.253756093962,-0.11317033370229357,2,1
277,-1.739814405245047,1.0578873141569842,0.4374074799551363,-78.6825642597567,-0.14248537847878817,3,1
278,0.581387526977209,-0.3442442595991171,-0.2475805232361898,-286.34495600556613,-0.20367137643860367,4,1
279,-0.09965259561522587,0.7660018459659912,0.2593004790382648,-121.91219803657273,-0.15839464191691688,5,1
280,1.1228518378618906,-0.11101523540121211,0.6217800280687692,-251.80262210766116,-0.12601645011775264,6,1
281,-1.739814405245047,0.8992638038462378,0.0903710442954816,-102.17546475125903,-0.17348412669821123,7,1
282,-0.8999696104477963,1.1355461989046762,0.11312866198342206,-67.18091202621022,-0.17145132095134086,8,1
283,-0.848280613192515,-1.643077362606288,-1.963267134590842,-478.70835021012283,-0.35692369182653805,9,1
284,-0.09965259561522587,0.5974225675882258,1.2967879170631285,-146.87959539210715,-0.06572191776616587,10,1
285,1.540509214014595,-1.279530442081411,0.8192632344834644,-424.8653126228729,-0.1083764228348042,11,1
286,1.1228518378618906,1.0965587979118383,1.0871200381209496,-72.95513256989082,-0.08445033104264155,12,1
287,1.5405092140145953,0.03374210280413638,-0.20396681453748583,-230.36336801972155,-0.19977561727344129,13,1
288,0.789850035033956,0.07220673864540364,0.9043186925468417,-224.66657149510482,-0.10077891301084985,14,1
289,0.7898500350339558,-0.8871394733344004,0.8019693246713325,-366.7503335477112,-0.10992118730593725,15,1
290,-1.158372491245512,1.253023713722759,0.7918071500313677,-49.78193024725744,-0.11082891531561234,16,1
291,-1.3221570290923421,-2.690771757252708,-0.721325192813547,-633.87690063947,-0.24598823491084953,17,1
292,-0.09965259561522587,0.8021263448590045,1.2002525873888659,-116.56198698566112,-0.07434485781326294,18,1
293,-0.09965259561522587,0.17151403995123896,0.4558711713230598,-209.9586852360805,-0.14083612421870606,19,1
294,0.7204283091996847,0.04887528523926853,1.26665014967685,-228.1220713268679,-0.06841394940061651,20,1
295,-0.09965259561522587,0.861367654388151,1.1509699672990015,-107.78806572374941,-0.07874698789178136,21,1
296,1.4116624900944779,0.7244429599143066,0.8852155670686322,-128.06726781555597,-0.10248528420434555,22,1
297,1.1970091667982057,0.08017954256735851,0.36524559652826577,-223.48576110445205,-0.1489311802031429,23,1
298,1.1970091667982055,0.21832328740478857,-1.3768654499401047,-203.02601182370898,-0.30454383683125175,24,1
299,0.8472952666890954,0.2205852500810785,0.18508873021772249,-202.691004333549,-0.1650235462054198,3,2
300,-2.065646086153617,0.4960971680077677,-0.7524216286889264,-161.88637165712683,-0.24876589883074895,4,2
301,-1.3221570290923421,0.07713293738873751,-0.4664947389538353,-223.9369779017479,-0.22322571125011892,5,2
302,-0.8054658593687503,0.6947099969628638,0.7077500940270574,-132.47086182609937,-0.11833724368519882,6,2
303,0.8472952666890949,1.2492218241880106,0.009893637070900104,-50.34500826983147,-0.1806727058431209,7,2
304,1.2865371362366405,0.5355194589586104,-0.5598860795498478,-156.04774183081125,-0.23156781702211737,8,2
305,-0.9640937705575137,-0.8020202510656473,-1.8659798827701746,-354.14376964834696,-0.34823358694341244,9,2
306,0.8472952666890949,-0.01333958805750826,0.5291723657916453,-237.33639160378831,-0.13428855445936505,10,2
307,-1.0466004579195467,-0.4439548115777875,0.5309766354950338,-301.1125656177774,-0.13412738953110914,11,2
308,0.606160668138298,0.3915329968523394,0.617410262839547,-177.3728254817745,-0.12640677585361138,12,2
309,-1.0466004579195471,0.8783496201367964,-0.3652082042008913,-105.2729553803869,-0.21417837366190218,13,2
310,-0.6132071788654114,0.8245698351387639,0.6571284935975333,-113.23799873958416,-0.1228589770968398,14,2
311,0.41390198763495945,-0.07412809752590377,0.7107201818234188,-246.33946057616254,-0.11807194300109636,15,2
312,1.1228518378618906,0.7753615459433486,1.1199699651996227,-120.52598170730596,-0.08151603794283324,16,2
313,0.6061606681382983,-1.8493215950587234,0.000579436723236901,-509.25410739617524,-0.18150468923671947,17,2
314,0.41390198763495967,0.638646565166949,0.7404106999807025,-140.77412419756843,-0.11541986154137185,18,2
315,0.41390198763495967,0.8413500782450319,0.40350188395752395,-110.75276448429317,-0.14551396834878738,19,2
316,-0.09965259561522563,0.7347691046063237,0.22048566058377495,-126.53791640204122,-0.1618617441022141,20,2
317,-0.09965259561522587,1.2060660415443507,0.7400360397860971,-56.73658607121945,-0.11545332775946027,21,2
318,-0.9722107671800659,0.6272589606418584,0.012389887975002411,-142.46068288877657,-0.18044973025520694,22,2
319,-0.09965259561522587,0.9518797861765078,0.4520464307800898,-94.38278613302563,-0.14117776606640076,23,2
320,-1.5969086307698042,0.9523154175376609,-1.3552247476525057,-94.31826704503861,-0.3026107986468616,24,2
321,-0.9788716132484121,-0.8402006922877141,-0.4830240302979059,-359.79847559070373,-0.22470217679658633,4,3
322,-0.09965259561522587,1.1629409013427379,-0.9174928144417057,-63.12362558039327,-0.26351074864948776,5,3
323,-1.0466004579195467,-0.5361863979324106,0.21386435351649646,-314.77250465303007,-0.16245318698708555,6,3
324,1.594299237393232,0.48601245757873524,0.19351400247235645,-163.37996550163794,-0.1642709655929402,7,3
325,0.5202702984113698,1.1323803492146065,-0.3708460174031916,-67.64978950593665,-0.21468196675475437,8,3
326,-0.09965259561522587,-2.1449216265409663,-1.9821280578256002,-553.0338857612668,-0.35860842850102814,9,3
327,-0.5231405538673403,0.9713441666744711,0.5554938841424067,-91.50001829317907,-0.13193740617559124,10,3
