,OS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
391,-0.07541928864359615,0.1352541973795471,-0.008609230689742257,-4243.446780748471,-0.18232545950271628,17,6
392,1.4664861680699284,0.689501233312162,1.3650329909509573,-3141.9219598039413,-0.05962598187792545,18,6
393,0.6955334397131662,0.9462326804921319,0.40238642595329704,-2631.6872755355917,-0.14561360573054138,19,6
394,1.8519625322483098,0.9154916717889933,1.1498238085208705,-2692.7827472513773,-0.0788493675952705,20,6
395,1.0810098038915472,0.7647668349499273,0.7671676402080523,-2992.3371663953185,-0.11302981955153535,21,6
396,-0.07541928864359615,-0.5923347647518242,0.5652591595187731,-5689.475806207103,-0.13106513087080973,22,6
397,1.0810098038915472,-0.2296782011880316,1.0060494287551272,-4968.722820001629,-0.09169189748781725,23,6
398,1.8519625322483098,-0.19687195022798964,-0.849488880843902,-4903.522832682229,-0.25743635242212426,24,6
399,0.310057075534785,-0.4205877123183581,-0.11312244402561811,-5348.1412948529905,-0.19166101753898823,8,7
400,-0.8463720170003587,-0.08017036340591263,-1.682573492435278,-4671.587096098949,-0.33185095984254964,9,7
401,0.310057075534785,-0.7711016732414803,0.682468954852015,-6044.76176012029,-0.12059546094269713,10,7
402,-0.8463720170003591,-0.3396966970242374,1.0679063442675778,-5187.376409592132,-0.08616657866659383,11,7
403,-0.4608956528219778,0.9935903429682992,0.6164477049084636,-2537.5674385361317,-0.12649275556031148,12,7
404,-2.7737538378922655,1.1854875269990686,-0.5522249372538354,-2156.186037147903,-0.2308834916985938,13,7
405,0.310057075534785,1.3785362485337542,-0.15134086933720736,-1772.5160404933451,-0.1950748473903836,14,7
406,0.310057075534785,-0.473713306077851,0.9229446079963622,-5453.724466903751,-0.09911516821621913,15,7
407,1.4664861680699284,1.5662783132979954,0.18546048367799597,-1399.392630053799,-0.16499033962901866,16,7
408,0.310057075534785,-0.47072128703725535,-1.4416894678259384,-5447.778051272661,-0.31033418966609083,17,7
409,0.310057075534785,0.8765266888426702,0.8449989379959758,-2770.2227569951074,-0.10607760198644678,18,7
410,0.310057075534785,0.710098891680568,-0.15360223133311446,-3100.9856435493,-0.19527684171703363,19,7
411,-0.0754192886435964,0.4210685651028252,0.5781350660633175,-3675.4119518386506,-0.1299150009591984,20,7
412,-0.8463720170003587,1.3391348806322423,0.25539713975295325,-1850.823332925955,-0.15874330453353913,21,7
413,-2.002801109535502,-0.4802394748153057,-0.133654483138156,-5466.6947425821445,-0.19349502528423002,22,7
414,-0.8463720170003587,-0.9474816403395618,0.5797316961167274,-6395.3038452917435,-0.1297723832743114,23,7
415,-0.07541928864359615,0.4317826247607594,-2.223730639789217,-3654.1185539832404,-0.38018938323051266,24,7
416,0.31005707553478473,1.3999227818519853,-1.374121224347352,-1730.0118938643086,-0.30429871110534534,9,8
417,-0.8463720170003591,-3.0800608268045817,0.38363067534317064,-10633.64659541249,-0.14728894794561587,10,8
418,0.310057075534785,0.3506287790444028,0.6346597874596366,-3815.40579518833,-0.12486597605376759,11,8
419,0.6955334397131662,0.41438461194756343,0.6956475165005851,-3688.695812329059,-0.11941829660932779,12,8
420,-0.8463720170003591,0.11917147497777451,-0.49961366348252223,-4275.409997085936,-0.22618403232903206,13,8
421,-0.8463720170003587,-0.5359665841691789,-0.5344611890630239,-5577.448233666659,-0.2292967592952555,14,8
422,0.6955334397131662,1.0342025182243355,0.22426348071876953,-2456.853756410979,-0.1615242933819162,15,8
423,1.0810098038915472,-0.2634183055015602,0.1774035784732612,-5035.7787715054055,-0.16571001615345793,16,8
424,0.6955334397131662,0.6666492225090346,-0.9538127002358614,-3187.3386340957236,-0.2667549929979267,17,8
425,1.4664861680699284,0.3336542071571484,0.17720546773922607,-3849.1414961420674,-0.16572771223413674,18,8
426,1.4664861680699284,0.6461373938119436,-0.33683117764849524,-3228.104370253048,-0.21164361877473437,19,8
427,1.0810098038915472,0.9358449861904234,0.3369261998367122,-2652.3320464840954,-0.15146078734972035,20,8
428,1.0810098038915472,-0.44167923134745424,-1.013806280666458,-5390.059122492574,-0.2721138709238562,21,8
429,-1.6173247453571213,-0.8116147996963589,0.5286644070468876,-6125.278590109326,-0.13433392746236017,22,8
430,1.0810098038915472,-0.11807405984018583,0.46750974202197526,-4746.917877719899,-0.13979651832820683,23,8
431,0.310057075534785,-1.674643291552594,-0.8409880551767357,-7840.483622035822,-0.256677023062333,24,8
432,-2.0028011095355027,-2.738624386427732,-2.144248915140495,-9955.067028059111,-0.37308974262433847,10,9
433,-0.8463720170003591,1.0113176994491209,-1.745664262571833,-2502.3356341106933,-0.33748649172759526,11,9
434,-0.4608956528219778,0.5000643496470378,-1.1783998767325208,-3518.4136969377155,-0.28681606043108454,12,9
435,0.31005707553478445,0.6622798677821148,-1.1060268413053795,-3196.022402111036,-0.2803513977255191,13,9
436,-1.23184838117874,-0.2441540947996444,-2.6594803418259136,-4997.492583455055,-0.41911237203555973,14,9
437,-0.46089565282197725,1.1123773847299785,-2.0775067899840787,-2301.487015143534,-0.3671280564128595,15,9
438,-0.0754192886435964,0.14536686509329533,-1.535444825260116,-4223.348604717788,-0.3187088109469939,16,9
439,0.310057075534785,1.2777377736971114,-3.4279799845932484,-1972.8455231022767,-0.48775797948475674,17,9
440,0.31005707553478473,0.39733762245341303,-2.373966049748948,-3722.5754378981715,-0.3936090394061853,18,9
441,-0.46089565282197725,0.7366157228964665,-1.6263994405460849,-3048.285410867027,-0.3268332582065011,19,9
442,-0.0754192886435964,1.1667391194062917,-2.839608216720363,-2193.4471048266473,-0.4352021484031019,20,9
443,0.6955334397131658,-0.04101658503459985,-2.9107056044499346,-4593.771869469562,-0.44155286491244594,21,9
444,-1.2318483811787406,-0.3010681480412798,-1.165493653642279,-5110.605037364221,-0.2856632225186111,22,9
445,-0.8463720170003591,-0.4914294843257012,-1.1301271320338857,-5488.934055421347,-0.2825041366530262,23,9
446,-0.0754192886435964,-1.0890856293607356,-3.7297809029819553,-6676.731256787262,-0.5147161018033517,24,9
447,-0.4608956528219778,-2.8845113933519535,1.171740246059594,-10245.006619544583,-0.07689169958315467,11,10
448,-0.8463720170003591,-1.8605177322386943,1.282857404712491,-8209.895268325283,-0.06696624948627516,12,10
449,-3.930182930427408,-1.5495458657646624,-0.2936664053759571,-7591.861779052387,-0.20778796049181736,13,10
