,SS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
430,0.9147092801971988,-1.9045683088754988,0.1792592874543472,-1.1999576903279046,-1.9621513200458303,23,8
431,0.8269720594872628,-0.28999683655810543,0.33844556662378333,-0.6697266305013986,-1.7529915407461867,24,8
432,-2.6732754685361027,-0.8402632585437564,-2.0339876150906107,-0.8504360962134467,-4.870204929234056,10,9
433,0.0973670345628634,0.6354698331543387,-1.3009004194638532,-0.3658000583246842,-3.906978972545402,11,9
434,0.11133300326760007,0.804282941482057,-0.7881855194315759,-0.3103612283466348,-3.233306995953465,12,9
435,-1.6227990097115734,0.9813177287776388,0.18757889539656913,-0.252222369520419,-1.9512199296638582,13,9
436,-1.6227113064662129,0.5375994432850959,0.4041297032218003,-0.39794104522786455,-1.666687120629012,14,9
437,-0.4590632241309292,0.8959998985097725,-0.27993461287618276,-0.2802410508489689,-2.5655003985593563,15,9
438,-0.8376213187890873,0.6055635183979531,1.1386100565183837,-0.37562139930627825,-0.701630650957262,16,9
439,0.04261871602164981,0.6222118563339595,0.4083718240539868,-0.37015402544299025,-1.6611132667664052,17,9
440,-0.7655048759320928,0.60314406645671,0.41241149250351683,-0.37641595599763567,-1.6558054213556328,18,9
441,-1.7726338282299023,0.6549659985063738,0.7134576489876558,-0.35939744772837223,-1.260251558436283,19,9
442,-2.356919770372753,0.2692556113626311,-2.060833118154202,-0.4860661216569271,-4.905478066625452,20,9
443,-2.351060148025922,0.8331527727784431,-0.8620108391620913,-0.3008802722491484,-3.3303083685725503,21,9
444,-2.9113133185345057,-1.5549102154833296,1.2110474487513936,-1.085128718916598,-0.6064529192359778,22,9
445,-0.2606606304330362,-1.6793275799863643,-0.1108253298590567,-1.1259878274617143,-2.3433024773695865,23,9
446,-1.4715837627819721,0.005972289046274086,0.48915097078527586,-0.5725293085891701,-1.5549750456176699,24,9
447,-0.9292227953023575,-1.05397677142178,0.7092636110368147,-0.9206203800159566,-1.2657622347128392,11,10
448,-0.9608880934654079,-0.9700102674148162,0.36130599160748283,-0.8930454790760576,-1.722954520789226,12,10
449,-0.4153385790488578,-0.6502651620448974,-3.4732934554599764,-0.7880400401707789,-6.761353421975165,13,10
450,0.7139872306314108,-1.5523875662271065,-0.8579148160239942,-1.0843002718570336,-3.3249264769921916,14,10
451,-0.21060920459903087,-0.6931033893130771,-0.2474142843007363,-0.8021082675827832,-2.5227709322819747,15,10
452,-0.3696419997974564,-0.9540681039511212,-1.6446187326971908,-0.8878100154411466,-4.3586011029967935,16,10
453,-0.7272495910658392,-0.046917166146097145,-0.9468951634302619,-0.5898983952856212,-3.4418405095495523,17,10
454,0.11512907933474191,0.027331279471990214,-0.8577519512754032,-0.5655149395603425,-3.3247124839580637,18,10
455,1.0005496395551248,-0.8727609378350895,-2.8951336101390495,-0.8611084505984857,-6.001691306130828,19,10
456,1.5446127768163647,-0.1032168340595133,1.4252240470947386,-0.6083874080654423,-0.3250396575253947,20,10
457,1.422908671582432,-0.7265778009395638,0.26416152354451644,-0.8131013843683197,-1.8505956441715015,21,10
458,1.6683470978362158,-3.5256220030576517,-2.121890985765997,-1.732317535053879,-4.985703888730363,22,10
459,-0.7805276285810255,0.3935192285049942,-0.31408867275695834,-0.445257504296247,-2.610376474965704,23,10
460,0.527207005272455,0.12410356905137526,-2.7737765250312183,-0.5337345727290945,-5.842236475789674,24,10
461,1.1729591032471098,1.285407461970311,1.0280441042281068,-0.15235821096342084,-0.8469066778846471,12,11
462,-0.3542193187844945,0.7651481612120018,-2.7353727281747724,-0.3232132304874169,-5.791776538434063,13,11
463,-0.11685034447307495,0.5807827555693513,-0.11641810943543152,-0.3837594906594344,-2.3506510035614765,14,11
464,1.090865312699516,1.0949091701959317,0.4841881493578669,-0.21491853292779406,-1.5614958502993066,15,11
465,0.11512907933474191,1.2819187227474902,-0.9347546342232078,-0.1535039254314955,-3.4258886924533973,16,11
466,1.5146024878737923,0.4993504068683748,-0.2913382832513181,-0.4105021659117768,-2.5804840340291597,17,11
467,0.6836803497591023,0.25499614453539116,-0.1678661994156433,-0.4907489816838767,-2.4182502413965135,18,11
468,-0.1156678285522869,1.017489793893477,-2.154382249566087,-0.24034333365776006,-5.028395165899798,19,11
469,-0.6423419818719632,0.044949319042670854,0.7521067610174091,-0.5597291122037998,-1.2094692938815217,20,11
470,-0.6212692840740385,0.08022151718024957,0.9371190928771539,-0.5481455958828684,-0.9663758645897432,21,11
471,-1.1158335863199518,-1.2763265389330198,-1.4059163774488914,-0.9936408408014087,-4.044962690172923,22,11
472,0.9978485296569629,-1.8184006173663882,0.3968544306706959,-1.171659911520936,-1.676246326416554,23,11
473,-0.043513138026460896,-0.24666116553333062,-2.0026245583759352,-0.6554950407763683,-4.828996038274167,24,11
474,0.014766600361764458,0.8456751247111512,-2.2430910176483927,-0.2967678869812046,-5.14495236197754,13,12
475,-0.1287876911793191,0.7097519618718567,0.365891027004941,-0.34140554094879694,-1.7169301008654922,14,12
476,1.2180511707273485,1.1060576772631203,0.9144669751256694,-0.21125732323898772,-0.9961391832268165,15,12
477,0.5372715419440071,1.263039976121219,-0.4000490495158071,-0.15970377350479037,-2.7233224746159497,16,12
478,1.625744718573825,0.37946016792337334,0.20979855412839657,-0.4498745501936692,-1.9220248323180893,17,12
479,0.860564646289195,0.26137172432484485,0.3346029268155904,-0.48865521842425563,-1.7580405041267189,18,12
480,0.0001997749718327364,1.0923983065400884,-1.669765707595332,-0.2157431095539416,-4.391642491659132,19,12
481,-0.7207649776861967,-0.03127675373455914,0.3522613125483154,-0.5847620277780308,-1.7348386045539956,20,12
482,-0.6824781993680209,0.18007495231551188,0.9280544561359229,-0.5153533698050132,-0.978286171370702,21,12
483,-1.1454671553651607,-1.0642309411911277,-0.8945162859882118,-0.9239878861299091,-3.373018281258876,22,12
484,1.421430912229134,-1.8776303498963411,0.9137129723908917,-1.1911111680252524,-0.9971298907577688,23,12
485,0.11777415537088079,-0.3793511446615438,-1.5432370480400497,-0.6990709056221203,-4.22539256958203,24,12
486,0.19213593911402085,0.21344188856482874,-1.0002846542533494,-0.5043955483186437,-3.511990614041858,14,13
487,0.3833810656342294,0.7487011356457692,-1.681500211862585,-0.32861449264675646,-4.407060820019687,15,13
