,SS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,-2.0478687052070095,-0.5539118799246887,0.5376468130659825,-0.2990502602427606,-0.14928667046344501,1,2
1,-0.36756617785766793,-1.646278893696549,0.4463337752497127,-0.4623716170343486,-0.16281666952099394,1,3
2,-1.942849797247676,1.4274478659892722,0.06062598315190771,-0.0028143267925700988,-0.21996761081453553,1,4
3,-1.4177552574510064,-1.7142000482764248,0.27218239908692055,-0.4725266061368969,-0.1886209578428265,1,5
4,-2.1528876131663433,-1.6115338283121277,-0.0810978139424116,-0.45717683254447083,-0.24096705281072262,1,6
5,-1.7853214353086753,-1.1649320575791748,-0.19599278707544285,-0.3904047621486644,-0.25799122499229954,1,7
6,-1.0501890795933382,-2.0768103140948035,0.016563502696693728,-0.5267409863345622,-0.22649641911277496,1,8
7,-2.3104159751053444,-1.0393951783979047,0.18426209629267593,-0.3716355635397903,-0.20164824991845598,1,9
8,-0.052509453979667005,-0.9625362991472103,0.3459211975369511,-0.3601442824204889,-0.17769496197856516,1,10
9,-1.4177552574510064,-1.5509525676675173,0.42294319748935727,-0.44811924149688087,-0.16628248888941655,1,11
10,-1.7853214353086753,-0.352916960756794,0.553445761300099,-0.2689992219993338,-0.14694571500045883,1,12
11,-0.8401512636746702,-1.2606527945619288,-2.0494221900907834,-0.4047161066327254,-0.5326168280358434,1,13
12,-0.577603993776336,-0.8427823801159792,0.662160101616702,-0.34223970246639723,-0.13083733708201428,1,14
13,-1.0501890795933382,-0.23707709025935014,0.11773983887727044,-0.25167983704749597,-0.21150495933981417,1,15
14,-1.4177552574510064,-0.6219576287536656,0.35463059768055205,-0.3092238776099444,-0.1764044762105652,1,16
15,-1.4177552574510064,0.1359837229323851,0.3800188907914914,-0.1959029805440532,-0.17264265215916363,1,17
16,-0.8401512636746702,0.25079639595986714,-0.15996255547223642,-0.17873717335717165,-0.2526525678706788,1,18
17,-0.4725850858170025,1.347155792518878,-0.8092524475878142,-0.014818909696913796,-0.34885889106929824,1,19
18,-0.2100378159186672,0.5065062022325586,0.3768179406337908,-0.14050563397631277,-0.17311694207057904,1,20
19,-0.2100378159186672,-0.0909255074878682,-0.05844025050194351,-0.22982850457906456,-0.23760984534805218,1,21
20,0.052509453979667005,-2.3378822372787376,0.16959813985603764,-0.5657742234948107,-0.20382103182903988,1,22
21,-1.4177552574510064,0.1352162698210391,0.3934905431414424,-0.19601772355792924,-0.17064653585466383,1,23
22,-0.6826229017356694,-0.8720668240415681,-1.3832174499721466,-0.34661806162089037,-0.43390420471828095,1,24
23,-0.10501890795933373,1.177325355031364,0.7738406977605886,-0.040210501648410224,-0.11428944428697185,2,3
24,-1.6803025273493413,-0.6969287453729573,0.36171279387227817,-0.3204329166344424,-0.1753550958581972,2,4
25,-1.1552079875526717,-1.2483739740407334,0.6055804944831553,-0.40288028259003705,-0.13922082808724923,2,5
26,-1.8903403432680086,1.0713044600380457,0.8646936880017208,-0.05606183750921967,-0.10082761121542994,2,6
27,-1.5227741654103404,0.08591375968663124,0.6502670496234748,-0.20338901246254293,-0.1325995496434178,2,7
28,-0.787641809695004,0.2924498100519031,0.10725531292102715,-0.17250951175741014,-0.21305846834246334,2,8
29,-2.0478687052070095,0.8139496780906395,0.46902552252126345,-0.09453931955925154,-0.15945439698532415,2,9
30,0.21003781591866774,-0.3440543064727734,0.5891966679021338,-0.2676741538636318,-0.1416484459116205,2,10
31,-1.1552079875526717,0.6580143831878881,0.9271443883544269,-0.11785342884132899,-0.09157419092493957,2,11
32,-1.5227741654103404,0.008414387428646837,0.8605454371882282,-0.21497605460872204,-0.10144226418218327,2,12
33,-0.577603993776336,0.33671626434618745,-1.7604538257719111,-0.16589117077443605,-0.4897999226913673,2,13
34,-0.31505672387800177,1.141405703267237,0.8287301922606715,-0.04558090023024053,-0.10615637997747263,2,14
35,-0.787641809695004,0.9435950777501699,0.8864550749219872,-0.07515585016916948,-0.0976031916630481,2,15
36,-1.1552079875526717,0.7069172511511729,0.434104165931998,-0.11054189101011469,-0.1646287503201872,2,16
37,-1.1552079875526717,1.1411414679465162,0.6610180679854382,-0.04562040643149734,-0.13100655403420658,2,17
38,-0.577603993776336,1.1423262336627238,0.6200729385564173,-0.045443270412364845,-0.137073459438236,2,18
39,-0.2100378159186672,-0.6823499267019489,-0.772745286551479,-0.3182532165741613,-0.34344956654973446,2,19
40,0.052509453979667005,0.9387309906053964,0.6581307557339559,-0.075883086804862,-0.13143437171474426,2,20
41,0.052509453979667005,1.3686383284756374,0.5223775564706661,-0.011607024977265179,-0.15154914066797143,2,21
42,0.31505672387800177,-1.8192048400930538,-0.053807659325759184,-0.48822602295642725,-0.23692342689405332,2,22
43,-1.1552079875526717,0.7294376537092558,0.9686340297724467,-0.10717483336839884,-0.08542660430742555,2,23
44,-0.4200756318373352,0.8097324761214051,-1.2587871358545917,-0.09516983946583613,-0.41546716579150167,2,24
45,2.7982658312986207e-16,-1.8042895714040559,0.6109144563157798,-0.48599601977206985,-0.13843048641979072,3,4
46,0.5250945397966692,-1.2597571258943374,0.8720978868911909,-0.404582193927396,-0.09973051920762699,3,5
47,-0.2100378159186672,1.3658100704698353,0.7323888630783447,-0.01202988188253673,-0.12043142901989579,3,6
48,0.15752836193900102,-0.34192691634830824,0.9974838106101377,-0.26735608471912975,-0.08115188607573287,3,7
49,0.8926607176543374,0.5037027187368857,0.06653873629835838,-0.14092478680909115,-0.21909150871113203,3,8
50,-0.36756617785766793,1.0602102550572856,0.3855899032070919,-0.05772054798577031,-0.17181718632717224,3,9
51,1.8903403432680093,-0.7330775299480597,1.1840582301698783,-0.32583757319102125,-0.05350685551738854,3,10
52,0.5250945397966692,0.3790839673518296,1.108377236322754,-0.15955671481614797,-0.0647206295842011,3,11
53,0.15752836193900102,-0.5728876995183148,1.1104501701635505,-0.30188736220866697,-0.06441347965705957,3,12
54,1.1026985335730055,0.17195156507296183,-2.5593901022644348,-0.19052537695001837,-0.6081795903324265,3,13
55,1.3652458034713397,1.0952195240386982,0.9024758280330026,-0.05248626203769602,-0.09522937101621554,3,14
56,0.8926607176543374,0.6351357749426886,1.012575841325318,-0.12127404232837224,-0.07891567571370606,3,15
57,0.5250945397966692,0.7044416263475853,0.6245026117227427,-0.11091202522025778,-0.13641710767074555,3,16
58,0.5250945397966692,0.7759040820529858,0.5972248189387387,-0.10022757111433922,-0.14045890191487298,3,17
59,1.1026985335730055,0.6895877407750194,0.761206843045065,-0.11313285092696035,-0.11616142277418617,3,18
60,1.4702647114306737,-1.6262748871348116,-1.2116891570485802,-0.4593807893622004,-0.4084885828410585,3,19
61,1.7328119813290084,0.46927331106358483,1.1814941128451268,-0.14607237686247276,-0.053886784888012906,3,20
62,1.7328119813290084,0.9294142206374342,0.7924348155638391,-0.07727605042688557,-0.1115343240722646,3,21
63,1.9953592512273426,-1.3506462032408992,0.11177591252661385,-0.4181711500590174,-0.21238864385884237,3,22
64,0.5250945397966692,0.4820416508867824,1.1746787938918035,-0.14416336408781916,-0.05489662161254394,3,23
65,1.2602268955120062,0.5572396688421576,-1.4608627181602076,-0.13292040071957978,-0.4454090284601149,3,24
66,-1.0501890795933382,-1.735783880533282,0.5223810420295463,-0.4757536358114566,-0.15154862420712978,4,5
67,-1.7853214353086753,-1.7634867862230954,0.42122470462509404,-0.479895536919132,-0.16653712072940274,4,6
68,-1.4177552574510064,-1.1896725737450702,0.41374640903830484,-0.3941037521556824,-0.16764519176351855,4,7
69,-0.6826229017356694,-2.1918278624368055,-0.2134504312625798,-0.5439374247231541,-0.2605779520911641,4,8
70,-1.942849797247676,-1.222562291123886,-0.06922960670675828,-0.3990211409078861,-0.23920852153683947,4,9
71,0.31505672387800177,-0.9508096972901889,0.6248181186917431,-0.3583910213812065,-0.13637035849784196,4,10
72,-1.0501890795933382,-1.5994909859426658,0.6367308094203452,-0.4553762899332322,-0.1346052360335651,4,11
73,-1.4177552574510064,-0.4046903545579586,0.6375166902546556,-0.27673993625993243,-0.1344887908117014,4,12
74,-0.4725850858170025,-1.3235777478373818,-2.3879807772115083,-0.4141241065223491,-0.5827815961151322,4,13
75,-0.2100378159186672,-0.9789887675560816,0.6763882474821125,-0.36260411453664687,-0.12872912992175078,4,14
76,-0.6826229017356694,-0.33902572737820263,0.2951072924671785,-0.2669223238009285,-0.18522413967482954,4,15
77,-1.0501890795933382,-0.8041580781773816,0.17766378508981617,-0.33646492776319736,-0.2026259322570475,4,16
78,-1.0501890795933382,-0.01523342808380931,0.19114709846119307,-0.21851167337600397,-0.20062808812032706,4,17
79,-0.4725850858170025,0.10524741292928393,0.5676554269741745,-0.20049841027525683,-0.14484024607974277,4,18
80,-0.10501890795933373,1.328978204895601,-0.9705424742156599,-0.017536666857650984,-0.3727574926321735,4,19
81,0.15752836193900102,0.3546520877105455,0.6578461628334836,-0.16320956013432109,-0.13147654030060296,4,20
82,0.15752836193900102,-0.2421255226039592,0.6881821930087378,-0.25243463539804767,-0.1269816021242297,4,21
83,0.4200756318373352,-2.4564970869040135,0.043139597444356255,-0.583508499550565,-0.22255859659051147,4,22
84,-1.0501890795933382,-0.050558091714358475,0.7040275043382344,-0.22379311442980043,-0.12463377696714728,4,23
85,-0.31505672387800177,-0.9946547502633646,-0.9763839436513797,-0.3649463580491019,-0.3736230325139921,4,24
86,-1.2602268955120062,-1.3368959397836642,0.40537966612295845,-0.41611532847546084,-0.16888490546121815,5,6
87,-0.8926607176543374,-1.4486596297944772,0.3687607432129111,-0.4328252778445587,-0.17431078991660443,5,7
88,-0.15752836193900102,-1.6267468461263355,0.0032954968311329183,-0.459451352626995,-0.22846236079152837,5,8
89,-1.4177552574510064,-1.2531347225676592,0.08348502586239921,-0.40359206892096655,-0.21658054984574238,5,9
90,0.8401512636746707,-1.481825744263302,0.9240013969181354,-0.4377839911215644,-0.09203989299977877,5,10
91,-0.5250945397966686,-1.707156508049111,0.6809882084206699,-0.47147351634927237,-0.12804754634232074,5,11
92,-0.8926607176543374,-0.5662182281120333,0.894465397973124,-0.3008901999862419,-0.09641628926746015,5,12
93,0.052509453979667005,-1.5509515353912322,-2.6819983605437936,-0.448119087159775,-0.6263466523275085,5,13
94,0.31505672387800177,-1.3001900049818176,0.3753956303858003,-0.4106273715904929,-0.17332768805795462,5,14
95,-0.15752836193900102,-1.2478345130356898,0.46445489074447155,-0.40279962700252014,-0.16013163481588266,5,15
96,-0.5250945397966686,-1.2165710142484347,0.668753787738213,-0.3981253765211219,-0.1298603400491336,5,16
97,-0.5250945397966686,-1.1510131680535631,0.3973934225463705,-0.38832372904010704,-0.1700682399624972,5,17
98,0.052509453979667005,-1.137416484875931,0.6662852832843335,-0.38629086946412206,-0.13022610230755005,5,18
