,SS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,0.5836771516786089,-0.15452600204375644,0.5376468130659825,-0.08221116381774726,-0.14928667046344501,1,2
1,-2.1249855702543843,-0.15163650933234274,0.4463337752497127,-0.08201745209397802,-0.16281666952099394,1,3
2,0.3085785939822891,-0.13911047965681816,0.06062598315190771,-0.0811777064905903,-0.21996761081453553,1,4
3,-0.8552999193482937,-0.4149491332516533,0.27218239908692055,-0.09966994246646826,-0.1886209578428265,1,5
4,0.8728833277183294,-0.4770827206444659,-0.0810978139424116,-0.10383538101223283,-0.24096705281072262,1,6
5,-0.0776174581683135,0.11930755564471675,-0.19599278707544285,-0.06385334956330496,-0.25799122499229954,1,7
6,-1.460164055821612,0.30199619110649245,0.016563502696693728,-0.0516058950711853,-0.22649641911277496,1,8
7,1.3331443761717874,-0.1858356102190883,0.18426209629267593,-0.08431016138442243,-0.20164824991845598,1,9
8,-2.2307927078298926,-0.04863831113046234,0.3459211975369511,-0.07511244816716403,-0.17769496197856516,1,10
9,-0.8552999193482937,-0.22546878669404746,0.42294319748935727,-0.0869671713512891,-0.16628248888941655,1,11
10,-0.0776174581683135,-0.14605986441737295,0.553445761300099,-0.08164359356335753,-0.14694571500045883,1,12
11,-1.728208804346231,-0.3298886873203189,-2.0494221900907834,-0.09396748627377643,-0.5326168280358434,1,13
12,-1.9839093868203743,0.36972107922300124,0.662160101616702,-0.04706561546871169,-0.13083733708201428,1,14
13,-1.460164055821612,0.48883878164465083,0.11773983887727044,-0.03907995924041143,-0.21150495933981417,1,15
14,-0.8552999193482937,-0.32855614963446833,0.35463059768055205,-0.09387815288626036,-0.1764044762105652,1,16
15,-0.8552999193482937,-0.5169199137060563,0.3800188907914914,-0.10650606826041527,-0.17264265215916363,1,17
16,-1.728208804346231,-0.22676500466685584,-0.15996255547223642,-0.08705406986357866,-0.2526525678706788,1,18
17,-2.0615012877090804,-0.005892578645629617,-0.8092524475878142,-0.07224677230277865,-0.34885889106929824,1,19
18,-2.1937602096784636,-0.23725822327007043,0.3768179406337908,-0.08775753571953566,-0.17311694207057904,1,20
19,-2.1937602096784636,0.11155595128598673,-0.05844025050194351,-0.06437301747469142,-0.23760984534805218,1,21
20,-2.2378465170015924,-2.7812133567253974,0.16959813985603764,-0.2583044044299725,-0.20382103182903988,1,22
21,-0.8552999193482937,-0.13617454150952432,0.3934905431414424,-0.08098088106267154,-0.17064653585466383,1,23
22,-1.8922098675882677,0.3238229180933491,-1.3832174499721466,-0.05014263029388951,-0.43390420471828095,1,24
23,-1.375518345761206,0.18538287698061162,0.7738406977605886,-0.05942365699338658,-0.11428944428697185,2,3
24,1.0580458184754677,0.9010813290093692,0.36171279387227817,-0.011443199976197279,-0.1753550958581972,2,4
25,-0.10583269485511541,0.8173910576686851,0.6055804944831553,-0.01705379960155074,-0.13922082808724923,2,5
26,1.0439382001320667,0.4027898025665197,0.8646936880017208,-0.04484868674055893,-0.10082761121542994,2,6
27,0.6718497663248651,0.8095297923585794,0.6502670496234748,-0.017580819188142072,-0.1325995496434178,2,7
28,-0.7106968313284338,0.05537637322793614,0.10725531292102715,-0.06813929896184184,-0.21305846834246334,2,8
29,0.5836771516786089,0.03190019775357356,0.46902552252126345,-0.06971314284131748,-0.15945439698532415,2,9
30,-1.4813254833367135,0.7066560935169951,0.5891966679021338,-0.024477476672137274,-0.1416484459116205,2,10
31,-0.10583269485511541,0.7540968733254505,0.9271443883544269,-0.021297044620049953,-0.09157419092493957,2,11
32,0.6718497663248651,0.3126875465843616,0.8605454371882282,-0.050889146110072864,-0.10144226418218327,2,12
33,-0.9787415798530528,0.23073247759901977,-1.7604538257719111,-0.05638341769001751,-0.4897999226913673,2,13
34,-1.2344421623271962,0.31818661045197194,0.8287301922606715,-0.050520488616422096,-0.10615637997747263,2,14
35,-0.7106968313284338,-0.05446550878165728,0.8864550749219872,-0.07550310376470135,-0.0976031916630481,2,15
36,-0.10583269485511541,0.5712448559991974,0.434104165931998,-0.03355545223985031,-0.1646287503201872,2,16
37,-0.10583269485511541,0.8132359367748085,0.6610180679854382,-0.017332359096663162,-0.13100655403420658,2,17
38,-0.9787415798530528,0.6075929376180332,0.6200729385564173,-0.03111867518266063,-0.137073459438236,2,18
39,-1.3120340632159013,0.12067364016160577,-0.772745286551479,-0.06376176719469896,-0.34344956654973446,2,19
40,-1.444292985185286,0.5335804501190181,0.6581307557339559,-0.03608047573583421,-0.13143437171474426,2,20
41,-1.444292985185286,-0.039305649741845576,0.5223775564706661,-0.0744867861200502,-0.15154914066797143,2,21
42,-1.4883792925084136,-3.6426815926212313,-0.053807659325759184,-0.3160572744367573,-0.23692342689405332,2,22
43,-0.10583269485511541,0.7350948226901625,0.9686340297724467,-0.022570942965310398,-0.08542660430742555,2,23
44,-1.1427426430950895,0.7475714028163677,-1.2587871358545917,-0.02173451246197482,-0.41546716579150167,2,24
45,-1.100419788064886,0.19476209710710585,0.6109144563157798,-0.058794873646352136,-0.13843048641979072,3,4
46,0.06345872526569667,-0.007414836601710472,0.8720978868911909,-0.07234882454590391,-0.09973051920762699,3,5
47,-1.6647245218009263,-0.0769801437246688,0.7323888630783447,-0.07701248592289758,-0.12043142901989579,3,6
48,-0.7142237359142836,0.35538353860289207,0.9974838106101377,-0.04802680484882749,-0.08115188607573287,3,7
49,0.6683228617390148,0.06377207967541527,0.06653873629835838,-0.067576450416913,-0.21909150871113203,3,8
50,-2.1249855702543843,-0.0016153800581399328,0.3855899032070919,-0.07196002871349283,-0.17181718632717224,3,9
51,1.2273372385962797,0.43107763030018353,1.1840582301698783,-0.04295226947315065,-0.05350685551738854,3,10
52,0.06345872526569667,0.1527471326720728,1.108377236322754,-0.06161155878719528,-0.0647206295842011,3,11
53,-0.7142237359142836,0.030998175106525732,1.1104501701635505,-0.06977361448090609,-0.06441347965705957,3,12
54,0.9363676102636341,0.05513361416258197,-2.5593901022644348,-0.06815557354070637,-0.6081795903324265,3,13
55,1.1920681927377772,0.23781976941196503,0.9024758280330026,-0.05590828532213915,-0.09522937101621554,3,14
