,SS,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,-1.2534253951602665,1.007248312855742,0.5376468130659825,-0.05348247470712997,-0.14928667046344501,1,2
1,-1.2534253951602665,0.10390691647128432,0.4463337752497127,-0.18587138714831752,-0.16281666952099394,1,3
2,-1.2534253951602665,0.3383776065316066,0.06062598315190771,-0.15150860937608113,-0.21996761081453553,1,4
3,-1.2534253951602665,-0.294916349793947,0.27218239908692055,-0.2443208047089679,-0.1886209578428265,1,5
4,-1.2534253951602665,0.16712255046598382,-0.0810978139424116,-0.17660683991585946,-0.24096705281072262,1,6
5,-1.2534253951602665,0.0026590461133920115,-0.19599278707544285,-0.2007097367438485,-0.25799122499229954,1,7
6,-1.2534253951602665,-1.2688644964047986,0.016563502696693728,-0.3870574670826744,-0.22649641911277496,1,8
7,-1.2534253951602665,-3.0860581128630526,0.18426209629267593,-0.6533757024041836,-0.20164824991845598,1,9
8,-1.2534253951602665,0.1091746550294416,0.3459211975369511,-0.18509937539115662,-0.17769496197856516,1,10
9,-1.2534253951602665,-1.206643643860666,0.42294319748935727,-0.37793870973085764,-0.16628248888941655,1,11
10,-1.2534253951602665,-1.3632672131577508,0.553445761300099,-0.40089262735811226,-0.14694571500045883,1,12
11,-1.2534253951602665,1.2360546388460487,-2.0494221900907834,-0.019949836018413603,-0.5326168280358434,1,13
12,-1.2534253951602665,1.1465653439134351,0.662160101616702,-0.033064911314060974,-0.13083733708201428,1,14
13,-1.2534253951602665,1.302810888303002,0.11773983887727044,-0.010166395007483398,-0.21150495933981417,1,15
14,-1.2534253951602665,-0.1739002834801294,0.35463059768055205,-0.22658533341171494,-0.1764044762105652,1,16
15,-1.2534253951602665,-0.1018844307058875,0.3800188907914914,-0.21603107290127455,-0.17264265215916363,1,17
16,-1.2534253951602665,-0.6013698944827884,-0.15996255547223642,-0.28923300695884213,-0.2526525678706788,1,18
17,-1.2534253951602665,0.21074803986893142,-0.8092524475878142,-0.17021332012379986,-0.34885889106929824,1,19
18,-1.2534253951602665,-0.010182434268351045,0.3768179406337908,-0.20259171583688929,-0.17311694207057904,1,20
19,-1.2534253951602665,-1.2265207052840876,-0.05844025050194351,-0.3808517861767128,-0.23760984534805218,1,21
20,-1.2534253951602665,-2.6947992814030877,0.16959813985603764,-0.596034888192289,-0.20382103182903988,1,22
21,-1.2534253951602665,0.6637158253102013,0.3934905431414424,-0.10382876969194865,-0.17064653585466383,1,23
22,-1.2534253951602665,1.2874519778069835,-1.3832174499721466,-0.01241731527415968,-0.43390420471828095,1,24
23,-0.7978744219389954,0.6105405759342174,0.7738406977605886,-0.11162185153437465,-0.11428944428697185,2,3
24,-0.7978744219389954,0.9923364944981573,0.36171279387227817,-0.055667871526961954,-0.1753550958581972,2,4
25,-0.7978744219389954,0.3569998077132808,0.6055804944831553,-0.14877943857579423,-0.13922082808724923,2,5
26,-0.9800948112275037,0.31260499718266066,0.8646936880017208,-0.15528570598223113,-0.10082761121542994,2,6
27,-0.7978744219389954,0.7960872603893138,0.6502670496234748,-0.08442911591925184,-0.1325995496434178,2,7
28,-0.7978744219389954,-0.49094545950622653,0.10725531292102715,-0.2730497888399883,-0.21305846834246334,2,8
29,-1.2534253951602665,-2.1108579991152654,0.46902552252126345,-0.5104555583829689,-0.15945439698532415,2,9
30,-0.7978744219389954,0.9201591968758407,0.5891966679021338,-0.06624579253601492,-0.1416484459116205,2,10
31,-0.7978744219389954,-0.4582019829320158,0.9271443883544269,-0.26825107899390666,-0.09157419092493957,2,11
32,-0.7978744219389954,-1.0361244989315619,0.8605454371882282,-0.35294833041477724,-0.10144226418218327,2,12
33,-0.7978744219389954,1.2495994371774803,-1.7604538257719111,-0.017964782385855083,-0.4897999226913673,2,13
34,-0.7978744219389954,1.1800221603314416,0.8287301922606715,-0.028161658172942583,-0.10615637997747263,2,14
35,-0.7978744219389954,1.1375927594625392,0.8864550749219872,-0.03437988558845506,-0.0976031916630481,2,15
36,-0.7978744219389954,0.10366740970848606,0.434104165931998,-0.18590648798613596,-0.1646287503201872,2,16
37,-0.7978744219389954,0.44699635116391256,0.6610180679854382,-0.13559002363413197,-0.13100655403420658,2,17
38,-0.7978744219389954,0.15418513585775717,0.6200729385564173,-0.17850287861909953,-0.137073459438236,2,18
39,-0.7978744219389954,0.27887856051680504,-0.772745286551479,-0.1602284732334387,-0.34344956654973446,2,19
40,-0.7978744219389954,0.5969068229915375,0.6581307557339559,-0.11361994188183067,-0.13143437171474426,2,20
41,-0.7978744219389954,-1.7251990602282277,0.5223775564706661,-0.4539354346547436,-0.15154914066797143,2,21
42,-0.7978744219389954,-2.38347872907255,-0.053807659325759184,-0.5504094031778852,-0.23692342689405332,2,22
43,-0.7978744219389954,1.0349042879307844,0.9686340297724467,-0.0494293620330738,-0.08542660430742555,2,23
44,-0.7978744219389954,1.1463852936205385,-1.2587871358545917,-0.033091298527750834,-0.41546716579150167,2,24
45,-0.6156540326504865,0.9790651904292805,0.6109144563157798,-0.05761284329443217,-0.13843048641979072,3,4
46,0.2954479137920565,0.9106347379692387,0.8720978868911909,-0.06764164659659777,-0.09973051920762699,3,5
47,-0.9800948112275037,0.4408881456665302,0.7323888630783447,-0.13648520975756473,-0.12043142901989579,3,6
48,-0.34232344871772413,1.057412495621723,0.9974838106101377,-0.04613067877873578,-0.08115188607573287,3,7
49,0.9332192763018361,0.6658122190347834,0.06653873629835838,-0.1035215333731474,-0.21909150871113203,3,8
50,-1.2534253951602665,-0.6509635731489738,0.3855899032070919,-0.2965011928394543,-0.17181718632717224,3,9
51,2.117651806677142,1.0730755437987465,1.1840582301698783,-0.04383518571047884,-0.05350685551738854,3,10
52,0.2954479137920565,0.6338005527529972,1.108377236322754,-0.10821299299343945,-0.0647206295842011,3,11
53,-0.34232344871772413,0.14867891913693576,1.1104501701635505,-0.17930984046791176,-0.06441347965705957,3,12
54,1.2976600548788535,0.4748224156057268,-2.5593901022644348,-0.13151198356676153,-0.6081795903324265,3,13
55,1.7532110281001247,0.8038631917522372,0.9024758280330026,-0.08328951675942697,-0.09522937101621554,3,14
56,0.9332192763018361,0.29889144324374833,1.012575841325318,-0.15729549153943312,-0.07891567571370606,3,15
57,0.2954479137920565,0.6643809035521131,0.6245026117227427,-0.10373129936070136,-0.13641710767074555,3,16
58,0.2954479137920565,0.8926786679068884,0.5972248189387387,-0.07027319276152144,-0.14045890191487298,3,17
59,1.2976600548788535,0.8530867907098112,0.761206843045065,-0.07607556779338076,-0.11616142277418617,3,18
60,1.9354314173886331,0.2181777589756902,-1.2116891570485802,-0.16912445999160164,-0.4084885828410585,3,19
61,2.117651806677142,1.0771795805928228,1.1814941128451268,-0.04323371989704328,-0.053886784888012906,3,20
62,2.117651806677142,-0.7064901252680341,0.7924348155638391,-0.30463886911120874,-0.1115343240722646,3,21
63,2.117651806677142,-0.9189771386193004,0.11177591252661385,-0.3357798361011438,-0.21238864385884237,3,22
64,0.2954479137920565,0.9053363566401045,1.1746787938918035,-0.06841814919536082,-0.05489662161254394,3,23
65,1.5709906388116164,0.2252896717279945,-1.4608627181602076,-0.16808217586909535,-0.4454090284601149,3,24
66,-0.6156540326504865,1.1655043611864373,0.5223810420295463,-0.030289309631781225,-0.15154862420712978,4,5
