,SO,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
115,-1.368860758969836,0.004191704525845813,-0.008609230689742257,-0.0017471865285176142,-0.18232545950271628,6,17
116,-0.8950243424033543,-1.0353916333577824,1.3650329909509573,-0.002576650012840383,-0.05962598187792545,6,18
117,-1.7900486848067088,-1.7560114749153295,0.40238642595329704,-0.003151618678524552,-0.14561360573054138,6,19
118,-0.8950243424033543,-1.9516748221089082,1.1498238085208705,-0.0033077346875093065,-0.0788493675952705,6,20
119,-0.5264849072960903,-0.4079766236522908,0.7671676402080523,-0.0020760476839052334,-0.11302981955153535,6,21
120,0.1579454721888275,-0.04201487743579055,0.5652591595187731,-0.0017840538686103955,-0.13106513087080973,6,22
121,-2.2638851013731904,1.7699533029104364,1.0060494287551272,-0.0003383194232972568,-0.09169189748781725,6,23
122,-0.5264849072960903,0.2769069693656445,-0.849488880843902,-0.0015295922813237947,-0.25743635242212426,6,24
123,-0.6317818887553093,1.0633494025905144,-0.11312244402561811,-0.0009021050399353618,-0.19166101753898823,7,8
124,0.2105939629184364,1.2963695838466507,-1.682573492435278,-0.0007161827339317676,-0.33185095984254964,7,9
125,0.737078870214527,0.572733238584646,0.682468954852015,-0.00129355820971186,-0.12059546094269713,7,10
126,-1.0529698145921815,-1.9158631043037044,1.0679063442675778,-0.0032791612089359003,-0.08616657866659383,7,11
127,0.737078870214527,0.7953633386547423,0.6164477049084636,-0.001115925948987862,-0.12649275556031148,7,12
128,-0.3685394351072631,1.5043878876673302,-0.5522249372538354,-0.0005502089434694507,-0.2308834916985938,7,13
129,0.5264849072960909,0.8702000153593807,-0.15134086933720736,-0.001056215208778293,-0.1950748473903836,7,14
130,-0.1579454721888275,1.0891922257555393,0.9229446079963622,-0.0008814855500243007,-0.09911516821621913,7,15
131,-1.0529698145921815,0.4055607510091807,0.18546048367799597,-0.001426941911599137,-0.16499033962901866,7,16
132,-0.6317818887553093,0.05399418177989039,-1.4416894678259384,-0.0017074500929614785,-0.31033418966609083,7,17
133,-0.1579454721888275,0.7876030928496957,0.8449989379959758,-0.0011221176993652384,-0.10607760198644678,7,18
134,-1.0529698145921815,-0.26377624533940275,-0.15360223133311446,-0.001960992984702793,-0.19527684171703363,7,19
135,-0.1579454721888275,0.8626008095355684,0.5781350660633175,-0.001062278468462252,-0.1299150009591984,7,20
136,0.2105939629184364,-0.1825557523159514,0.25539713975295325,-0.0018961887206417752,-0.15874330453353913,7,21
137,0.8950243424033543,-0.24450008571967716,-0.133654483138156,-0.0019456129089167678,-0.19349502528423002,7,22
