,SO,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
71,-0.8599750613419888,-0.9398891370088683,-1.6804135309415469,-0.04915898860055923,-3.375592897696943,4,10
72,0.7522347895059356,-0.34060542768389995,-0.6272551710572627,-0.03440193687814941,-2.4311099163914127,4,11
73,-0.8599750613419888,0.038273292391286434,-0.38265873904565134,-0.025072244143855338,-2.211753382632895,4,12
74,1.0209364313139229,0.06406006897662914,0.7639894914933644,-0.024437258093170322,-1.1834277475335409,4,13
75,-0.5017062055980055,-0.31310303719609534,0.5971707969554149,-0.033724704721487586,-1.3330324261423787,4,14
76,0.6626675755699397,-0.14766833126878187,-0.3998013612089839,-0.02965096055981009,-2.227127058145472,4,15
77,0.7522347895059356,0.02023450901497034,1.0259646866632437,-0.02551643986476604,-0.9484857646494735,4,16
78,1.4687725009939019,-0.18738935796278203,0.8022445160218511,-0.030629070320295382,-1.149120257802793,4,17
79,0.6626675755699397,-0.2378885021792957,-1.0771477278246755,-0.03187258565626194,-2.8345780741426756,4,18
80,0.7522347895059356,0.28989715566318963,1.1928213997317534,-0.01887613651216513,-0.7988469906410679,4,19
81,0.6626675755699397,0.07895961078489468,-1.9700698031050614,-0.024070364573984815,-3.6353595480959404,4,20
82,0.03569707801796922,0.013016715143385246,-0.593630987915667,-0.025694174309783158,-2.40095541166809,4,21
83,-1.128676703149976,-2.2719593394452513,1.242422485393828,-0.08196052912195384,-0.7543642394741357,4,22
84,-0.05387013591802658,-0.45913709144605847,0.6467241807529787,-0.03732071785895019,-1.2885924544860339,4,23
85,0.03569707801796922,-1.5881385636446634,0.7926711155955175,-0.06512179581362754,-1.1577057793352705,4,24
86,-1.7556472007019466,0.4602969153129554,1.0294731708625073,-0.014680130467765506,-0.9453393208262029,5,6
87,-0.5017062055980055,0.8442441700852669,0.9180769090381722,-0.005225627685211398,-1.0452406058387433,5,7
88,-0.5017062055980055,0.4363328128578209,1.1481559319969734,-0.015270234109678094,-0.8389034301419482,5,8
89,0.9313692173779271,0.701892062814499,-0.849696027574418,-0.00873097478058793,-2.6305971078054013,5,9
90,1.1105036452499186,-1.0836975408043765,-0.622686045397552,-0.052700196245462405,-2.4270122786671893,5,10
91,-1.2182439170859718,0.6298834742823397,0.30237012424673787,-0.010504149069980429,-1.5974126265534168,5,11
92,1.1105036452499186,0.6538448603651117,0.6481105231574319,-0.009914112317333856,-1.287349168711412,5,12
93,-0.05387013591802658,0.9175876897105439,-0.20613500787634345,-0.0034195814073425534,-2.0534451298224794,5,13
94,1.4687725009939019,0.7327528731729783,0.6043379903647907,-0.007971043269737188,-1.3266048151992111,5,14
95,0.3043987198259566,0.8250295543173214,0.3900799651109101,-0.005698777671272581,-1.5187535614548602,5,15
96,-1.2182439170859718,0.872503456963903,0.7768687212786755,-0.004529757345975605,-1.1718775250713784,5,16
97,-0.5017062055980055,0.7344382038173141,-0.3629071440415329,-0.007929542873345907,-2.1940399541062687,5,17
98,0.3043987198259566,0.5103897145641306,-0.10216742594867867,-0.013446621166632422,-1.9602059594578658,5,18
99,-1.2182439170859718,0.6117580863254195,-0.017806856301660807,-0.01095047738394428,-1.8845505543831695,5,19
100,0.3043987198259566,0.7671683631408207,-0.9401945792517478,-0.007123579610029851,-2.71175711673457,5,20
101,0.9313692173779271,0.9387602821051515,-0.003324102910837047,-0.002898217258437752,-1.871562275866745,5,21
102,0.8418020034419313,-0.5589989990280327,0.8899908641137618,-0.0397797657395369,-1.070428452656199,5,22
103,-2.024348842509934,-2.676116729712792,1.364010444551423,-0.09191269604951857,-0.6453229380608914,5,23
104,0.9313692173779271,0.5869704323945147,-0.20187164298922056,-0.011560860555460128,-2.0496217014261786,5,24
105,0.2148315058899608,0.7097346011609978,1.1671597774153288,-0.008537856325650073,-0.8218605909444604,6,7
106,0.2148315058899608,0.7064220208784421,0.9163974855616366,-0.008619426903664573,-1.0467467296586854,6,8
107,-1.2182439170859718,0.7599824778804062,-0.992362739546983,-0.007300528321982469,-2.7585420461826753,6,9
108,-2.11391605644593,-0.92153620005704,-0.3945123624213144,-0.04870705701015887,-2.2223838309790955,6,10
109,0.9313692173779271,0.35955644664962344,0.6062869589184036,-0.017160812461072372,-1.3248569606503575,6,11
110,-2.11391605644593,0.37326122130400663,0.7852990156920284,-0.01682333946577519,-1.1643171524777622,6,12
111,-0.23300456379001816,0.6059121525559135,-0.27926466712700315,-0.011094430482718742,-2.119028541797208,6,13
112,-1.7556472007019466,0.010910630651832467,1.2138888872587377,-0.025746035552279833,-0.7799534565003055,6,14
113,-0.5912734195340014,0.5436163128680508,0.874564899303116,-0.012628433349908708,-1.0842626126352108,6,15
114,0.9313692173779271,0.6888266914526424,1.1786919113959375,-0.009052702800154133,-0.8115184575125833,6,16
115,0.2148315058899608,0.43899394153184645,-0.21594774272397296,-0.015204705190951406,-2.0622452888647227,6,17
116,-0.5912734195340014,0.1637653668935568,0.237950585771297,-0.02198206664467306,-1.6551847148462884,6,18
117,0.9313692173779271,0.5373587898330302,0.1775823399768169,-0.012782521621699017,-1.7093235632246275,6,19
118,-0.5912734195340014,0.6926899238568207,-0.7081781629214271,-0.008957572698138905,-2.5036824672283324,6,20
119,-1.2182439170859718,0.4301868626607338,0.5905921805262128,-0.015421574957978357,-1.33893219534575,6,21
120,-2.382617698253917,-1.607380167290738,0.9991465853491684,-0.06559561036224437,-0.9725365069185229,6,22
121,1.2000708591859146,-0.8069848085172017,1.320756281875427,-0.04588628817642648,-0.6841137050283467,6,23
122,-1.2182439170859718,-0.3669580189110872,0.022593731531941618,-0.03505085582206191,-1.8483189019583914,6,24
123,1.4687725009939019,0.8158117493536535,0.6184306361169868,-0.005925761356127213,-1.3139663891262516,7,8
124,0.03569707801796922,0.8551358811258848,-1.1706012983490333,-0.004957424928034859,-2.918388173615456,7,9
125,-0.8599750613419888,-0.8335242635865565,-0.2650763003282457,-0.04653980854590922,-2.106304272129521,7,10
126,0.7522347895059356,0.48455933989588396,0.8492028873227945,-0.014082680797584013,-1.1070075193838147,7,11
127,-0.8599750613419888,0.8397243920564195,0.7607534073155955,-0.0053369248840300365,-1.1863299002851087,7,12
128,1.0209364313139229,0.8900861209546468,-0.5272758707674501,-0.004096793329280701,-2.3414474770058122,7,13
