,SO,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
47,-0.16293793753121918,0.24515571859719498,-0.4949008034263176,-0.019977871284267534,-0.5382914248959763,3,6
48,-0.16293793753121918,0.4829340264395459,-0.2089156061376519,-0.014122703301728712,-0.5057600751035849,3,7
49,-0.16293793753121918,0.43984084228908915,-0.7120632614008552,-0.015183850697355283,-0.5629940596796024,3,8
50,-0.16293793753121918,0.3319014274720182,-0.34936153075353643,-0.017841803020364977,-0.5217360610773745,3,9
51,-1.0677844316683718,-0.9445220130915225,0.4234975188334902,-0.04927307078052079,-0.4338219021604257,3,10
52,-0.16293793753121918,0.30837966579528403,1.1314942645810337,-0.018421014249144663,-0.3532859513274875,3,11
53,-1.0677844316683718,0.40951956434582093,-0.5229705561953948,-0.015930496501230684,-0.5414844116469482,3,12
54,-0.16293793753121918,0.28313280119868406,-0.82838835519051,-0.019042705246052227,-0.5762262561414504,3,13
55,-0.7058458340135106,0.4498605874848343,-0.9168068090239779,-0.014937119648607888,-0.5862840202391342,3,14
56,-0.16293793753121918,0.10017771484168414,0.3398263952710397,-0.02354787972391237,-0.44333964858205266,3,15
57,-0.16293793753121918,0.23851487451704265,0.2493065359373969,-0.02014139863875153,-0.4536364514762544,3,16
58,-0.16293793753121918,0.057494981050459706,-0.620356072410663,-0.024598919991501877,-0.5525621958216085,3,17
59,-0.16293793753121918,0.12747060844298516,0.4264804381921984,-0.022875806319844205,-0.4334825895177413,3,18
60,-0.16293793753121918,0.47413844630893853,0.8679534353858802,-0.01433928991821154,-0.38326421237178454,3,19
61,-0.16293793753121918,0.29154626018735214,-1.0260816464776206,-0.0188355281652669,-0.5987142368881553,3,20
62,-0.16293793753121918,0.6595828715932858,-0.4787681622761391,-0.009772816755381553,-0.5364563068643187,3,21
63,-1.3392383799095176,-1.8517428593191103,-1.365588881629547,-0.0716129154035442,-0.637333818350712,3,22
64,-0.16293793753121918,-1.4821869008488975,-1.7526064042330978,-0.0625127908571711,-0.6813577836571842,3,23
65,-0.16293793753121918,-0.5904919022411136,-1.3329744852830796,-0.04055526221036165,-0.633623869913263,3,24
66,-0.7058458340135106,-0.14540978873638588,-0.04042039180608429,-0.029595345116825045,-0.48659343008932765,4,5
67,1.2848164530882247,0.36136171412910506,0.643202557438469,-0.017116358682080945,-0.4088300440860544,4,6
68,1.2848164530882247,0.03779565363326513,-0.8487005933068136,-0.025084005751499716,-0.5785368111264374,4,7
69,1.2848164530882247,0.41479744215465375,0.7099472197109168,-0.01580053148700189,-0.4012377142181264,4,8
70,-0.16293793753121918,0.2995134173505627,-0.47329513640415566,-0.018639341036351786,-0.5358337399596247,4,9
71,-1.0677844316683718,-0.9398891370088683,-0.30085258761879435,-0.04915898860055923,-0.5162180782861789,4,10
72,1.2848164530882247,-0.34060542768389995,-0.500548548473416,-0.03440193687814941,-0.5389338664328365,4,11
73,-1.0677844316683718,0.038273292391286434,0.5600269606988764,-0.025072244143855338,-0.41829142340701064,4,12
