,OS,LA_MMS,LA_rsFC,Subject_left,Subject_right
232,-0.25705760933918276,0.4993686281794303,0.7590196682688091,15,17
233,1.114357986877593,0.24915246029230154,1.001170195978303,15,18
234,1.114357986877593,-3.354039415504346,0.6953355897884768,15,19
235,0.47436404197643084,0.4641272613997731,0.9632870913365043,15,20
236,-1.0799069670692483,0.21014852600510509,0.27452361051316326,15,21
237,1.114357986877593,0.34180860180736844,-0.17709574915626264,15,22
238,-0.8056238478258931,0.08951155276566258,0.597202102561504,15,23
239,0.47436404197643084,0.4580012812792267,0.16116440230052984,15,24
240,-0.25705760933918276,0.44487574527529294,0.284632171900026,16,17
241,1.114357986877593,0.38763810188880227,0.36784457070170296,16,18
242,1.114357986877593,-3.232593207282627,0.03642957977050464,16,19
243,0.47436404197643084,0.45371089258864133,0.20468879681892738,16,20
244,-1.0799069670692483,0.0745782425671843,0.22919295488728864,16,21
245,1.114357986877593,0.3805801268919023,-0.3687474924423965,16,22
246,-0.8056238478258931,0.21228490769904762,0.11066927825839228,16,23
247,0.47436404197643084,0.47244868190461037,0.42008295000827767,16,24
248,-0.25705760933918276,0.2666162527671543,0.5127774157208117,17,18
249,-0.25705760933918276,-3.3061401663470704,0.2584775377556213,17,19
250,-0.25705760933918276,0.4474556139107719,0.2765691260578863,17,20
251,-1.0799069670692483,0.139159942669426,-0.1348358750629333,17,21
252,-0.25705760933918276,0.3344842208605097,-0.019688047170617836,17,22
253,-0.8056238478258931,0.13736838413967117,0.6522404013318042,17,23
254,-0.25705760933918276,0.39605059139654464,0.2244104338969792,17,24
255,1.114357986877593,-2.9211411474218054,0.8630949526395474,18,19
256,0.47436404197643084,0.23711790830501234,1.2035530062679296,18,20
257,-1.0799069670692483,-0.35736993829879327,0.5369636960418006,18,21
258,1.114357986877593,0.2273019959662964,-0.2709611369392938,18,22
259,-0.8056238478258931,0.15955788841836582,0.693106936042143,18,23
260,0.47436404197643084,0.21414211318154017,0.6022178058792013,18,24
261,0.47436404197643084,-3.393211522811393,0.8824045416636276,19,20
262,-1.0799069670692483,-3.5543544948678236,0.49586151243197796,19,21
263,1.114357986877593,-3.31367842036534,-0.13956194537389743,19,22
264,-0.8056238478258931,-3.029759792947725,0.5410614348245708,19,23
265,0.47436404197643084,-3.3486487740632644,0.24245611742547182,19,24
266,-1.0799069670692483,0.30752819315052465,0.46569261613353025,20,21
267,0.47436404197643084,0.4178404706000348,-0.15791034275654245,20,22
268,-0.8056238478258931,0.19684017685834304,0.6255697754147632,20,23
269,0.47436404197643084,0.4738448790153174,0.379773498777571,20,24
270,-1.0799069670692483,0.11726837116981632,-0.3904936980169399,21,22
