,SO,RH_MMS,RH_rsFC,Subject_left,Subject_right
417,-0.8599750613419888,-0.8243326015627864,-1.7381780873943982,10,8
418,0.7522347895059356,1.3147874747794996,-1.0472085655232926,11,8
419,-0.8599750613419888,1.377766018350267,-0.5284699314323328,12,8
420,1.0209364313139229,0.9835296778598936,-0.19215299378314715,13,8
421,-0.5017062055980055,0.4484566053931108,0.5912822546676837,14,8
422,0.6626675755699397,1.1343289939931291,0.011031124341558863,15,8
423,0.7522347895059356,1.4046354647151373,1.1582883585420747,16,8
424,1.4687725009939019,0.5087571929420046,0.6951880271459318,17,8
425,0.6626675755699397,0.4361366462824615,0.6108611311304493,18,8
426,0.7522347895059356,1.2508299502771592,0.318616792358999,19,8
427,0.6626675755699397,-0.04454657360009004,-1.772877017151049,20,8
428,0.03569707801796922,-0.05868893113203126,-0.6652553282134372,21,8
429,-1.128676703149976,-1.1108234279684173,1.0413979854683082,22,8
430,-0.05387013591802658,-1.9045683088754988,0.1792592874543472,23,8
431,0.03569707801796922,-0.28999683655810543,0.33844556662378333,24,8
432,0.573100361633944,-0.8402632585437564,-2.0339876150906107,10,9
433,-0.6808406334699971,0.6354698331543387,-1.3009004194638532,11,9
434,0.573100361633944,0.804282941482057,-0.7881855194315759,12,9
435,0.4835331476979482,0.9813177287776388,0.18757889539656913,13,9
436,0.9313692173779271,0.5375994432850959,0.4041297032218003,14,9
437,0.8418020034419313,0.8959998985097725,-0.27993461287618276,15,9
438,-0.6808406334699971,0.6055635183979531,1.1386100565183837,16,9
439,0.03569707801796922,0.6222118563339595,0.4083718240539868,17,9
440,0.8418020034419313,0.60314406645671,0.41241149250351683,18,9
441,-0.6808406334699971,0.6549659985063738,0.7134576489876558,19,9
442,0.8418020034419313,0.2692556113626311,-2.060833118154202,20,9
443,1.4687725009939019,0.8331527727784431,-0.8620108391620913,21,9
444,0.3043987198259566,-1.5549102154833296,1.2110474487513936,22,9
445,-1.4869455588939593,-1.6793275799863643,-0.1108253298590567,23,9
446,1.4687725009939019,0.005972289046274086,0.48915097078527586,24,9
447,-1.576512772829955,-1.05397677142178,0.7092636110368147,11,10
448,1.4687725009939019,-0.9700102674148162,0.36130599160748283,12,10
449,-0.41213899166200973,-0.6502651620448974,-3.4732934554599764,13,10
450,1.1105036452499186,-1.5523875662271065,-0.8579148160239942,14,10
451,-0.05387013591802658,-0.6931033893130771,-0.2474142843007363,15,10
452,-1.576512772829955,-0.9540681039511212,-1.6446187326971908,16,10
453,-0.8599750613419888,-0.046917166146097145,-0.9468951634302619,17,10
454,-0.05387013591802658,0.027331279471990214,-0.8577519512754032,18,10
455,-1.576512772829955,-0.8727609378350895,-2.8951336101390495,19,10
456,-0.05387013591802658,-0.1032168340595133,1.4252240470947386,20,10
457,0.573100361633944,-0.7265778009395638,0.26416152354451644,21,10
458,1.2000708591859146,-3.5256220030576517,-2.121890985765997,22,10
459,-2.382617698253917,0.3935192285049942,-0.31408867275695834,23,10
460,0.573100361633944,0.12410356905137526,-2.7737765250312183,24,10
461,-1.576512772829955,1.285407461970311,1.0280441042281068,12,11
462,0.3043987198259566,0.7651481612120018,-2.7353727281747724,13,11
463,-1.2182439170859718,0.5807827555693513,-0.11641810943543152,14,11
464,-0.05387013591802658,1.0949091701959317,0.4841881493578669,15,11
465,1.4687725009939019,1.2819187227474902,-0.9347546342232078,16,11
466,0.7522347895059356,0.4993504068683748,-0.2913382832513181,17,11
467,-0.05387013591802658,0.25499614453539116,-0.1678661994156433,18,11
468,1.4687725009939019,1.017489793893477,-2.154382249566087,19,11
469,-0.05387013591802658,0.044949319042670854,0.7521067610174091,20,11
470,-0.6808406334699971,0.08022151718024957,0.9371190928771539,21,11
471,-1.8452144146379423,-1.2763265389330198,-1.4059163774488914,22,11
472,0.6626675755699397,-1.8184006173663882,0.3968544306706959,23,11
473,-0.6808406334699971,-0.24666116553333062,-2.0026245583759352,24,11
474,-0.41213899166200973,0.8456751247111512,-2.2430910176483927,13,12
475,1.1105036452499186,0.7097519618718567,0.365891027004941,14,12
476,-0.05387013591802658,1.1060576772631203,0.9144669751256694,15,12
477,-1.576512772829955,1.263039976121219,-0.4000490495158071,16,12
478,-0.8599750613419888,0.37946016792337334,0.20979855412839657,17,12
479,-0.05387013591802658,0.26137172432484485,0.3346029268155904,18,12
480,-1.576512772829955,1.0923983065400884,-1.669765707595332,19,12
481,-0.05387013591802658,-0.03127675373455914,0.3522613125483154,20,12
482,0.573100361633944,0.18007495231551188,0.9280544561359229,21,12
483,1.2000708591859146,-1.0642309411911277,-0.8945162859882118,22,12
484,-2.382617698253917,-1.8776303498963411,0.9137129723908917,23,12
485,0.573100361633944,-0.3793511446615438,-1.5432370480400497,24,12
486,-0.05387013591802658,0.21344188856482874,-1.0002846542533494,14,13
487,1.1105036452499186,0.7487011356457692,-1.681500211862585,15,13
488,0.3043987198259566,0.8635425189355618,-0.21104759914367036,16,13
