,SO,RH_MMS,RH_rsFC,Subject_left,Subject_right
348,1.2848164530882247,0.9052894485623363,-0.4220796922399627,11,4
349,-1.0677844316683718,0.43746704337536524,0.05291950764032019,12,4
350,0.8323932060196483,0.40269617382642764,-0.721968165804727,13,4
351,-0.7058458340135106,1.3040121759985301,1.164852085532471,14,4
352,0.4704546083647872,-0.3194661824626845,0.4961585377805375,15,4
353,1.2848164530882247,0.5902708417828038,0.9350640890368983,16,4
354,1.2848164530882247,-0.2572639124658093,1.0533630620290089,17,4
355,0.4704546083647872,-0.24705242624353987,1.073741204825108,18,4
356,1.2848164530882247,0.7076365504641282,-0.1463882944320047,19,4
357,0.4704546083647872,0.7227769391217975,-1.1597020523635138,20,4
358,-0.16293793753121918,0.800297020143036,0.05453151358360269,21,4
359,-1.3392383799095176,-2.6485595766287813,0.5727390841717915,22,4
360,1.2848164530882247,1.3781592002187464,0.7153854280023301,23,4
361,-0.16293793753121918,0.8539956125834136,-0.07582113973361554,24,4
362,-0.7058458340135106,-0.2187991719376315,0.5746501357351979,6,5
363,-0.7058458340135106,-0.38338845986390074,0.9267846239067953,7,5
364,-0.7058458340135106,0.41293076205574575,0.22354619880238363,8,5
365,-0.7058458340135106,-0.6591664060524559,-0.040547272073067075,9,5
366,-1.0677844316683718,-1.8668469635777223,-0.3986823901565409,10,5
367,-0.7058458340135106,0.14095848465116645,0.21219483561834304,11,5
368,-1.0677844316683718,0.4028711366287632,0.7476112815271516,12,5
369,-0.7058458340135106,-0.5206480184690089,-1.4579365737479275,13,5
370,-0.7058458340135106,-0.9692028088601398,0.9070772761118892,14,5
371,-0.7058458340135106,-0.453954237383604,0.9372733106688198,15,5
372,-0.7058458340135106,0.8304509209892337,0.37254397199683664,16,5
373,-0.7058458340135106,-0.5284689757181734,0.8638578938323073,17,5
374,-0.7058458340135106,-0.13592120182563938,1.018902546345679,18,5
375,-0.7058458340135106,0.877507557503187,-0.9043836828972581,19,5
376,-0.7058458340135106,-0.18615465454096713,-0.4253567575075482,20,5
377,-0.7058458340135106,-1.1702759589400917,0.5669445677433504,21,5
378,-1.3392383799095176,-0.40130280367066073,-0.1339734882855997,22,5
379,-0.7058458340135106,-0.4166404685102538,1.170262313951561,23,5
380,-0.7058458340135106,0.015237975376200997,-0.8607205529075089,24,5
381,1.2848164530882247,0.10675899395134389,0.9782059949042137,7,6
382,1.2848164530882247,0.49492969870435494,0.9177950557516243,8,6
383,-0.16293793753121918,0.1122168925210508,0.8972055638533978,9,6
384,-1.0677844316683718,-0.8308831064492085,-1.3554794030723354,10,6
385,2.0086936483979465,0.6336730808364213,-0.6270410606875529,11,6
386,-1.0677844316683718,0.1024288779744052,-0.14111375323934552,12,6
387,0.8323932060196483,0.10956240399705998,-0.4932821373806817,13,6
388,-0.7058458340135106,0.4042510409691845,0.9440302321065621,14,6
389,0.4704546083647872,-0.34464429348435904,0.38598159024671447,15,6
390,2.0086936483979465,0.7886878589904983,1.0791284783537907,16,6
