,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
0,-2.0478687052070095,0.38108407261089366,0.7655945595889994,-194.07375598811953,-0.11317033370229357,1,2
1,-0.36756617785766793,1.3568893175016452,0.4374074799551363,-29.45872701630056,-0.14248537847878817,1,3
2,-1.942849797247676,-0.5618594465714539,-0.2475805232361898,-353.1451234989279,-0.20367137643860367,1,4
3,-1.4177552574510064,1.0194614416061485,0.2593004790382648,-86.38166308091996,-0.15839464191691688,1,5
4,-2.1528876131663433,-0.2833698855314107,0.6217800280687692,-306.1648808747059,-0.12601645011775264,1,6
5,-1.7853214353086753,0.7009766920442196,0.0903710442954816,-140.108958102878,-0.17348412669821123,1,7
6,-1.0501890795933382,1.3273994900181456,0.11312866198342206,-34.433560704670136,-0.17145132095134086,1,8
7,-2.3104159751053444,-1.9359749751921056,-1.963267134590842,-584.9537438551749,-0.35692369182653805,1,9
8,-0.052509453979667005,1.046389918394648,1.2967879170631285,-81.83892055118281,-0.06572191776616587,1,10
9,-1.4177552574510064,-0.8350095956633066,0.8192632344834644,-399.22462547111303,-0.1083764228348042,1,11
10,-1.7853214353086753,0.8778376311413476,1.0871200381209496,-110.27311866063728,-0.08445033104264155,1,12
11,-0.8401512636746702,-0.20896224895356624,-0.20396681453748583,-293.6125654253687,-0.19977561727344129,1,13
12,-0.577603993776336,-0.16412807062618082,0.9043186925468417,-286.0491918906051,-0.10077891301084985,1,14
13,-1.0501890795933382,-0.7986449700463385,0.8019693246713325,-393.09003669857907,-0.10992118730593725,1,15
14,-1.4177552574510064,1.1488387035914298,0.7918071500313677,-64.5561586152352,-0.11082891531561234,1,16
15,-1.4177552574510064,-2.869942782801571,-0.721325192813547,-742.5109393236122,-0.24598823491084953,1,17
16,-0.8401512636746702,0.5936272919596556,1.2002525873888659,-158.2184371178287,-0.07434485781326294,1,18
17,-0.4725850858170025,0.006141848323054146,0.4558711713230598,-257.32523515065577,-0.14083612421870606,1,19
