,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
25,-0.10583269485511541,0.2516972601770534,-0.4664947389538353,-19.39377254054417,-0.22322571125011892,2,5
26,1.0439382001320667,0.048369504430346225,0.7077500940270574,-21.518384086174926,-0.11833724368519882,2,6
27,0.6718497663248651,1.3499930702767817,0.009893637070900104,-7.917464497471912,-0.1806727058431209,2,7
28,-0.7106968313284338,0.6191054965655941,-0.5598860795498478,-15.554651914222255,-0.23156781702211737,2,8
29,0.5836771516786089,-0.5264608638075465,-1.8659798827701746,-27.524899195990102,-0.34823358694341244,2,9
30,-1.4813254833367135,0.29279625615268695,0.5291723657916453,-18.9643210815292,-0.13428855445936505,2,10
31,-0.10583269485511541,0.6722614380822116,0.5309766354950338,-14.999215069654085,-0.13412738953110914,2,11
32,0.6718497663248651,0.049972443377945534,0.617410262839547,-21.501634663143605,-0.12640677585361138,2,12
33,-0.9787415798530528,1.1763844007466369,-0.3652082042008913,-9.731535490144607,-0.21417837366190218,2,13
34,-1.2344421623271962,1.1182043289356502,0.6571284935975333,-10.33947045623568,-0.1228589770968398,2,14
35,-0.7106968313284338,-0.2268707413183963,0.7107201818234188,-24.394423325345524,-0.11807194300109636,2,15
36,-0.10583269485511541,0.5437018436163329,1.1199699651996227,-16.342559453212193,-0.08151603794283324,2,16
37,-0.10583269485511541,-1.5512444736649107,0.000579436723236901,-38.233063859885874,-0.18150468923671947,2,17
38,-0.9787415798530528,-0.0596153597235327,0.7404106999807025,-22.6467390827279,-0.11541986154137185,2,18
39,-1.3120340632159013,1.1646752134627516,0.40350188395752395,-9.853887081553927,-0.14551396834878738,2,19
40,-1.444292985185286,0.19121276914730626,0.22048566058377495,-20.02578683441896,-0.1618617441022141,2,20
41,-1.444292985185286,1.2531264277456793,0.7400360397860971,-8.92964301856101,-0.11545332775946027,2,21
42,-1.4883792925084136,0.2222921095851341,0.012389887975002411,-19.701032718669726,-0.18044973025520694,2,22
43,-0.10583269485511541,0.5806317281564072,0.4520464307800898,-15.956671856191768,-0.14117776606640076,2,23
44,-1.1427426430950895,0.7076461505807328,-1.3552247476525057,-14.629473277948893,-0.3026107986468616,2,24
45,-1.100419788064886,-0.48005607158053476,-0.4830240302979059,-27.040006432697492,-0.22470217679658633,3,4
46,0.06345872526569667,1.231585405713578,-0.9174928144417057,-9.154729377017166,-0.26351074864948776,3,5
47,-1.6647245218009263,-0.7513010056822919,0.21386435351649646,-29.87429787790654,-0.16245318698708555,3,6
48,-0.7142237359142836,0.7663757918999013,0.19351400247235645,-14.015795752422576,-0.1642709655929402,3,7
49,0.6683228617390148,1.4427298088082467,-0.3708460174031916,-6.948440152199846,-0.21468196675475437,3,8
50,-2.1249855702543843,-1.953473589079028,-1.9821280578256002,-42.43603467151605,-0.35860842850102814,3,9
51,1.2273372385962797,1.1636796289550477,0.5554938841424067,-9.86429013908019,-0.13193740617559124,3,10
52,0.06345872526569667,-0.7561699354288773,0.8046658716619228,-29.9251742785065,-0.10968032043250864,3,11
53,-0.7142237359142836,1.1757556940455574,0.2588872552899994,-9.738104969609047,-0.15843155279316656,3,12
54,0.9363676102636341,-0.12163779442070337,-0.9930280498767693,-23.29482365122082,-0.2702578723066784,3,13
55,1.1920681927377772,-0.1945680556179374,-0.09024850550278173,-24.056886235330268,-0.18961782152786,3,14
56,0.6683228617390148,-1.2417487791993989,0.5316915348168003,-34.99908272745465,-0.1340635317288713,3,15
57,0.06345872526569667,1.104711327340139,0.30923214941361954,-10.480461472783118,-0.15393453594793205,3,16
58,0.06345872526569667,-2.9976573827925903,-1.2146512199460875,-53.346915656441716,-0.2900541822690904,3,17
59,0.9363676102636341,-0.037909371610702874,0.5386565125929554,-22.419928961382286,-0.13344139073659622,3,18
60,1.2696600936264828,0.03756944967795413,0.39091743657934963,-21.63123597369077,-0.14663806390669354,3,19
61,1.2643697367477074,-0.4236917339327505,0.21003649302401875,-26.4510444285258,-0.1627951075217402,3,20
62,1.2643697367477074,0.8303024175553622,0.2985373457510442,-13.347813919632358,-0.15488984061316746,3,21
63,1.2202834294245792,0.16686113536990882,-0.3532656098052892,-20.280241825516594,-0.21311161110121524,3,22
64,0.06345872526569667,-0.507265976784483,-0.5815121711545828,-27.324328061781145,-0.23349955011910783,3,23
65,1.1003686735056708,0.2611674661152589,-1.532224937291905,-19.294816503765418,-0.3184211970650924,3,24
66,0.16926586284120423,-0.710074734517907,0.12336729728130483,-29.4435164955149,-0.17053676315539568,4,5
67,0.7688396424357471,0.06758003413293225,0.5519157919768751,-21.317649498543705,-0.13225701635696707,4,6
68,0.9469483240211848,0.6466115682849122,-0.1408142924755892,-15.267235583209331,-0.19413456944773633,4,7
69,-0.43559827363211384,-0.45085530982708966,0.27908345901626136,-26.73488195357882,-0.15662754327149042,4,8
70,0.3085785939822891,0.5097668336344777,-2.058302511813988,-16.697153019367324,-0.3654126498371816,4,9
71,-1.2062269256403937,-0.6999017527780376,0.2803953459574191,-29.337217016731774,-0.15651036003422025,4,10
72,0.16926586284120423,1.659356398608096,0.166647860245329,-4.684866484703492,-0.16667076196285102,4,11
73,0.9469483240211848,-0.8770463127903282,0.5399612804989399,-31.18823522162773,-0.1333248434013704,4,12
74,-0.7036430221567334,1.5692402691692935,-0.9908838457872898,-5.626507572267288,-0.2700663430150221,4,13
75,-0.959343604630876,1.2836684794927393,0.08419235576855955,-8.610503137580414,-0.17403603304086435,4,14
76,-0.43559827363211384,0.30068825703784546,0.22720328662652126,-18.88185601847296,-0.1612616976029596,4,15
77,0.16926586284120423,-0.35882580547797716,0.12933199227831485,-25.773247636804207,-0.17000397161128444,4,16
78,0.16926586284120423,-0.5041018301899637,-0.8045349562056618,-27.291265274253217,-0.25342087955488224,4,17
79,-0.7036430221567334,-0.46973497730805497,0.32599597997940355,-26.9321592970503,-0.15243712037566215,4,18
80,-1.036935505519582,0.9495113531183106,0.23563338089801225,-12.10217640246572,-0.16050868626773418,4,19
81,-1.169194427488966,0.11750664246176382,0.3549987612390128,-20.795956588984613,-0.1498464704566682,4,20
82,-1.169194427488966,0.5166303145271254,-0.11525860538248743,-16.625435163169172,-0.19185182842007564,4,21
83,-1.2132807348120946,-0.24887699183358855,0.4855499255141001,-24.62437094734586,-0.1381850935657274,4,22
84,0.16926586284120423,0.8100868791324024,0.47288827230072306,-13.55905004023395,-0.13931608547226038,4,23
85,-0.8676440853987701,0.34170321917053986,-0.8130157040886876,-18.45328264554258,-0.25417841548288533,4,24
86,-0.39503887089483614,-0.6953704548060488,0.40258735714336713,-29.289868596676552,-0.14559565771491423,5,6
87,0.5554619149918067,0.7181213385913845,0.32958370167135104,-14.520015986649184,-0.15211665004464736,5,7
88,0.7282802396984691,1.4363294622633624,0.4673381370964218,-7.015318626884037,-0.13981184679903536,5,8
89,-0.8552999193482937,-2.22457293253827,-1.8814838252152069,-45.268804811584594,-0.3496184640308815,5,9
90,-0.04234841230981088,1.883113632967916,0.5561899751882393,-2.3467833155197395,-0.13187522840735044,5,10
91,1.3331443761717874,-1.0236031667404157,0.4148266264609068,-32.71963649466184,-0.14450239490738526,5,11
92,0.5554619149918067,1.7866300783396885,0.9407657752392937,-3.35495887607622,-0.09752330690260869,5,12
93,0.46023549117385,-0.36158193651414766,-0.19672495445902946,-25.80204698984489,-0.19912874399402425,5,13
94,0.20453490869970684,-0.3234173894960426,-0.29984898429518025,-25.403258162758025,-0.20834021434060823,5,14
95,0.7282802396984691,-1.1491851269946414,0.15576475928606015,-34.03186699511279,-0.16764288613143197,5,15
96,1.3331443761717874,1.5836200190646357,0.16822835237027065,-5.476250749047413,-0.16652958578533894,5,16
97,1.3331443761717874,-3.2520639775728752,-1.143089370310211,-56.00525999595303,-0.28366197807657645,5,17
98,0.46023549117385,0.14966573817223222,0.5360087495351183,-20.459919898899756,-0.1336779000247883,5,18
99,0.12694300781100107,-0.3342863872991653,-0.6733893987492992,-25.51683044971484,-0.24170640897499007,5,19
100,-0.005315914158383238,-0.18184460628709095,0.5773040379957624,-23.923936421128612,-0.12998923186749034,5,20
101,-0.005315914158383238,0.8338457179856168,-0.4402786874024343,-13.31078927940992,-0.2208839837026798,5,21
102,-0.049402221481511285,0.5376402529127783,0.23912848259325808,-16.405898201758177,-0.16019648914282347,5,22
103,1.3331443761717874,-0.6516552495568079,0.8050421166139011,-28.833079854524414,-0.1096467126572529,5,23
104,0.2962344279318133,0.46909550959888335,-1.6396237954398902,-17.122135650512668,-0.32801451298436946,5,24
105,0.3826435902851444,-0.04303428575707288,0.8705528368881836,-22.473480193115293,-0.10379502068838098,6,7
106,-0.9999030073681543,-0.46442036882453697,0.491004773726637,-26.87662591203298,-0.13769784367222793,6,8
107,0.8728833277183294,-0.5567067769799176,-2.6334791097929937,-27.84094466699907,-0.4167898330674217,6,9
108,-1.7705316593764344,-0.6360597822117141,1.2229077944348687,-28.670119761549355,-0.07232119981394358,6,10
109,-0.39503887089483614,0.05524023071258911,1.042971148201303,-21.44659052148174,-0.0883938948364108,6,11
110,0.3826435902851444,-0.8535004284903277,1.0802545423463845,-30.942199664641667,-0.08506358588579,6,12
111,-1.2679477558927732,-0.10542009522761457,-0.4892562897890486,-23.12536173578943,-0.22525886832218023,6,13
112,-1.5236483383669166,-0.15153255911373345,0.7421774875204659,-23.60719990298966,-0.1152620446769892,6,14
