,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
0,1.031927503973425,-0.07641334139663425,1.1627506689144906,-0.10775357446451428,-0.3497304770153057,1,2
1,-1.8431462231853413,1.0425822209450588,0.022278556343784454,-0.02939019677909538,-0.47946130775147255,1,3
2,0.8522353960260022,0.7514378824536104,-1.7490399156447316,-0.04977906562360834,-0.6809520889257832,1,4
3,-0.04622514371111234,-2.504065550859518,-0.9889726532763679,-0.2777623156796031,-0.5944930196723044,1,5
4,1.211619611920848,-0.08806997197994354,-1.1093694273413124,-0.108569889538211,-0.6081883773625447,1,6
5,0.5826972341048678,0.17804412052135854,-2.051441157685799,-0.08993389147003972,-0.715350794438369,1,7
6,-0.6751475215270925,-0.5671325869808922,-0.3115179042367566,-0.14211869517933684,-0.5174312779511788,1,8
7,1.4811577738419823,-0.6266015379835191,0.1328893739378035,-0.1462833121133149,-0.46687912086876693,1,9
8,-2.38222254702761,-1.178503608462498,0.5929045255947271,-0.18493307253220614,-0.4145515390560406,1,10
9,-0.04622514371111234,0.13820238518333042,-0.6474926858329245,-0.09272401241332817,-0.5556490362307973,1,11
10,0.5826972341048678,-0.6819710528125416,0.32930985416018,-0.15016084509809735,-0.4445359247555293,1,12
11,-1.0345317374219383,-0.08491476147508836,0.6633127957308231,-0.10834892981255173,-0.4065424669579397,1,13
12,-1.4837620072904956,-0.37803023595419055,0.6675175367645815,-0.1288758375189406,-0.4060641698200024,1,14
13,-0.6751475215270925,-2.2929563268300965,-0.6516279435727207,-0.26297831437322283,-0.5561194295144022,1,15
14,-0.04622514371111234,-2.1819712495186567,0.693651785605049,-0.2552060176604446,-0.4030913502522382,1,16
15,-0.04622514371111234,0.11003544394209344,0.3909519536724163,-0.09469654629014801,-0.4375240209221086,1,17
16,-1.0345317374219383,-1.5378868759613844,-0.0373626132136577,-0.21010072079874642,-0.4862456020691329,1,18
17,-1.6634541152379183,0.29267943219075626,0.6636792529330678,-0.08190596845876719,-0.4065007817674362,1,19
18,-2.112684385106476,-1.9569427784788598,0.32163092230903445,-0.23944725001246414,-0.44540941758120656,1,20
19,-2.112684385106476,0.34081009652862065,0.4106222680351165,-0.07853537294017077,-0.43528648596181696,1,21
20,-2.5619146549750327,-3.846333393017902,0.8845558289234744,-0.3717614747557414,-0.3813756591295786,1,22
21,-0.04622514371111234,-0.14367365686865344,-0.5518386056265786,-0.11246382147706213,-0.5447682061327235,1,23
22,-1.3040698993430726,-0.6658935728046741,-1.4184823937711164,-0.14903493747121654,-0.6433505540473106,1,24
23,-1.393915953316784,-0.854726393374332,0.2421959620141575,-0.16225891988517405,-0.45444529252717103,2,3
24,1.3014656658945594,0.8219781587953813,-1.631731830845881,-0.04483912260414169,-0.6676080754025414,2,4
25,0.4030051261574449,0.3958708252339281,-1.4246014431328515,-0.07467946428031957,-0.6440466073293362,2,5
26,1.3014656658945594,0.006617284457739371,1.0142180479959895,-0.10193893094647666,-0.36662633978194803,2,6
27,1.031927503973425,0.9624290149764385,-0.5371240301663892,-0.03500333427793578,-0.5430943957191768,2,7
28,-0.22591725165853524,1.3808390604440128,-1.0170789091329482,-0.005702034501791742,-0.5976901587175885,2,8
29,1.031927503973425,1.2023016248865166,-0.1864857497698644,-0.018205030013498713,-0.5032086370913682,2,9
30,-1.9329922771590526,-1.2292014553817028,0.5962850298118567,-0.18848344811873063,-0.41416700039388354,2,10
31,0.4030051261574449,0.9820860056559311,0.4824621742927008,-0.033626753139801235,-0.42711456258370195,2,11
32,1.031927503973425,1.1208429922596588,0.7234853830225573,-0.023909586679405348,-0.39969772288146654,2,12
33,-0.585301467553381,-0.3086200074231504,0.3187786431730615,-0.12401503186728402,-0.4457338696548019,2,13
34,-1.0345317374219383,-0.16931834007561464,1.0206930534143688,-0.11425972135674045,-0.36588979583432435,2,14
35,-0.22591725165853524,-0.060535829328193756,1.0051480139196303,-0.10664167061359975,-0.3676580730813087,2,15
36,0.4030051261574449,-0.22146657972051428,2.189976561557471,-0.11791166809938103,-0.23288161509452598,2,16
37,0.4030051261574449,1.2286537677407396,1.4155894552251902,-0.016359586659832392,-0.3209695933173471,2,17
38,-0.585301467553381,-1.0677793222316223,1.6136390664569502,-0.17717903904640664,-0.2984410805121046,2,18
39,-1.2142238453693612,0.5704431629323675,0.9428874266346576,-0.06245414499141966,-0.3747403310528734,2,19
40,-1.6634541152379183,-1.0267414944499242,-0.5892020284533921,-0.17430515562267201,-0.5490183651932052,2,20
41,-1.6634541152379183,1.3032079437767,1.1027333512734068,-0.011138549819878274,-0.35655755887931007,2,21
42,-2.112684385106476,-1.7559704011808062,-0.3927761535798938,-0.22537313315574792,-0.526674555428337,2,22
43,0.4030051261574449,1.2111765737801101,0.7007532134840069,-0.017583516402996047,-0.4022835495809236,2,23
44,-0.8548396294745154,0.438845620249626,-0.9922762233917265,-0.07166993483614448,-0.5948688069368387,2,24
45,-1.2142238453693612,0.6640873457709555,-1.1608129475529487,-0.055896232954247616,-0.6140401737716696,3,4
46,-0.3157633056322467,-2.4790620863064103,-2.596673743045855,-0.2760113204101322,-0.7773720183363824,3,5
47,-1.573608061264207,-0.8868990678108084,-0.4949008034263176,-0.1645119756816954,-0.5382914248959763,3,6
48,-0.9446856834482268,0.13466572280867198,-0.2089156061376519,-0.0929716852538095,-0.5057600751035849,3,7
49,0.31315907218373346,-1.3732329522813598,-0.7120632614008552,-0.19856998909349954,-0.5629940596796024,3,8
50,-1.8431462231853413,-0.9572437244548058,-0.34936153075353643,-0.16943821943301907,-0.5217360610773745,3,9
51,0.9420814499997135,-0.29807139872471783,0.4234975188334902,-0.12327631168347819,-0.4338219021604257,3,10
52,-0.3157633056322467,-0.1724856056377565,1.1314942645810337,-0.11448152529933764,-0.3532859513274875,3,11
53,-0.9446856834482268,-0.8710381722717769,-0.5229705561953948,-0.16340123548809438,-0.5414844116469482,3,12
54,0.6725432880785792,0.35536166528906965,-0.82838835519051,-0.07751632503947659,-0.5762262561414504,3,13
55,1.1217735579471364,0.19108955095123065,-0.9168068090239779,-0.08902031859607262,-0.5862840202391342,3,14
56,0.31315907218373346,-1.9172515205163536,0.3398263952710397,-0.23666766701571273,-0.44333964858205266,3,15
57,-0.3157633056322467,-1.6517891718785076,0.2493065359373969,-0.2180773106392916,-0.4536364514762544,3,16
58,-0.3157633056322467,-0.25461907150476715,-0.620356072410663,-0.12023334060848867,-0.5525621958216085,3,17
59,0.6725432880785792,-0.861425956786097,0.4264804381921984,-0.16272809102010233,-0.4334825895177413,3,18
60,1.3014656658945594,0.4020776000294559,0.8679534353858802,-0.074244803184352,-0.38326421237178454,3,19
61,1.211619611920848,-1.0650494858317576,-1.0260816464776206,-0.1769878683143491,-0.5987142368881553,3,20
62,1.211619611920848,-0.10553198951990661,-0.4787681622761391,-0.10979275647502884,-0.5364563068643187,3,21
63,0.7623893420522907,-3.4289239026179574,-1.365588881629547,-0.34253024395690024,-0.637333818350712,3,22
64,-0.3157633056322467,-1.055557559461618,-1.7526064042330978,-0.1763231477058519,-0.6813577836571842,3,23
65,0.9420814499997135,-0.5186839213671188,-1.3329744852830796,-0.13872582999772554,-0.633623869913263,3,24
66,0.5826972341048678,-0.24673345407237748,-0.04042039180608429,-0.11968110998494275,-0.48659343008932765,4,5
