,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
0,-1.2534253951602665,0.8532476211778136,0.7655945595889994,-18.587205589846526,-0.11317033370229357,1,2
1,-1.2534253951602665,2.0893232771173995,0.4374074799551363,-3.3057374515739273,-0.14248537847878817,1,3
2,-1.2534253951602665,-0.9498774901401443,-0.2475805232361898,-40.879044123774705,-0.20367137643860367,1,4
3,-1.2534253951602665,0.9114970029989765,0.2593004790382648,-17.867074853433348,-0.15839464191691688,1,5
4,-1.2534253951602665,-1.3318536174842128,0.6217800280687692,-45.6013732073874,-0.12601645011775264,1,6
5,-1.2534253951602665,0.6040710069170446,0.0903710442954816,-21.667748818192972,-0.17348412669821123,1,7
6,-1.2534253951602665,1.749566290755934,0.11312866198342206,-7.506115912948635,-0.17145132095134086,1,8
7,-1.2534253951602665,-1.8984633501712678,-1.963267134590842,-52.60630735950501,-0.35692369182653805,1,9
8,-1.2534253951602665,0.9643529171051163,1.2967879170631285,-17.213622968469014,-0.06572191776616587,1,10
9,-1.2534253951602665,-0.9118290941070578,0.8192632344834644,-40.40865596517124,-0.1083764228348042,1,11
10,-1.2534253951602665,0.5216192329662682,1.0871200381209496,-22.68709108136139,-0.08445033104264155,1,12
11,-1.2534253951602665,-0.6242420132576703,-0.20396681453748583,-36.853248339544855,-0.19977561727344129,1,13
12,-1.2534253951602665,-0.1759202581694106,0.9043186925468417,-31.31069551670167,-0.10077891301084985,1,14
13,-1.2534253951602665,-1.5204284830990205,0.8019693246713325,-47.93270364555644,-0.10992118730593725,1,15
14,-1.2534253951602665,0.7897658477898798,0.7918071500313677,-19.372023810905453,-0.11082891531561234,1,16
15,-1.2534253951602665,-2.406451207408432,-0.721325192813547,-58.88650567721907,-0.24598823491084953,1,17
16,-1.2534253951602665,-0.2740428277319668,1.2002525873888659,-32.52377411202102,-0.07434485781326294,1,18
17,-1.2534253951602665,0.7263344321732494,0.4558711713230598,-20.15621946434565,-0.14083612421870606,1,19
18,-1.2534253951602665,-1.2200291432536843,1.26665014967685,-44.21889946330742,-0.06841394940061651,1,20
