,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
445,1.1949614719529538,0.634750900715562,-0.7901335700474393,-320.3765720834393,-2.577180898428166,23,9
446,-0.06833021823205736,0.8951489253931025,-0.1811258770447278,-286.08117089532556,-2.0310166904277622,24,9
447,-1.151151666962067,-2.141971626369264,0.6731434847333228,-686.0813932792689,-1.2648993576661842,11,10
448,-1.151151666962067,-1.9434248517683024,0.5859946659275852,-659.9320348193571,-1.3430552925551618,12,10
449,-1.151151666962067,-0.9638598388362741,-2.5537107182049397,-530.9196310196546,-4.158774575220625,13,10
450,-1.151151666962067,-2.7683513118901075,-0.6974581536164666,-768.5779584418644,-2.494068655351945,14,10
451,-1.151151666962067,-0.27522077272996676,0.48853275221525294,-440.2232708027532,-1.430460114406341,15,10
452,-1.151151666962067,-4.775075963212688,-1.0475325870174277,-1032.8711575796438,-2.8080189187992324,16,10
453,-1.151151666962067,-1.0706780044746862,-2.6171524836147593,-544.9879859900282,-4.215669786820271,17,10
454,-1.151151666962067,-1.8487786867286324,1.3332872004199963,-647.4667781993369,-0.6728758515807687,18,10
455,-1.151151666962067,-3.0159765886714864,-2.1499145536434194,-801.1911405965736,-3.796646124389444,19,10
456,-1.151151666962067,-1.7136294472008518,1.3144768122704622,-629.6671140290215,-0.6897451963590204,20,10
457,-1.151151666962067,-3.2983812123482013,0.46621376693028044,-838.384893807124,-1.4504760042901579,21,10
458,-1.3316219084170684,0.308375848486845,-1.123973529762629,-363.36139644159755,-2.87657192302713,22,10
459,-1.151151666962067,-0.3588711199697673,-0.5477620309409905,-451.2403367796036,-2.3598196709447503,23,10
460,-1.151151666962067,-1.2886348265335272,-2.2085363807531175,-573.6937208490031,-3.8492187669730615,24,10
461,1.1949614719529538,0.08927906082904731,1.2671075926516484,-392.2172690660385,-0.732226387670657,12,11
462,0.202375143950445,0.6683035497288409,-1.4796464279845827,-315.95756176160864,-3.195542945883711,13,11
463,-0.2488004596870588,0.5800948653001142,0.2071399076098981,-327.57497792482667,-1.6828160400812897,14,11
464,0.5633156268604483,0.5997700096223364,1.3057454033398155,-324.9836872696835,-0.6975756114722055,15,11
465,1.1949614719529538,-1.3164751845340028,0.032954685116076,-577.3604009170618,-1.839027094854105,16,11
466,1.1949614719529538,0.7654869621972531,-1.5782617986111356,-303.15814009333207,-3.2839821994658127,17,11
467,0.202375143950445,-0.2789449618517481,1.1958299170703421,-440.71376054510074,-0.7961489221135847,18,11
468,-0.42927070114206023,0.08277452591025722,-1.069120572721505,-393.07394082788556,-2.8273792409262946,19,11
469,-0.8804463047795645,0.6140230473263472,0.285793073125091,-323.1065084899532,-1.6122790922826045,20,11
470,-0.8804463047795645,-0.22038309373566817,0.9022130454256889,-433.0009418174877,-1.0594674778557767,21,11
471,-1.3316219084170684,-0.9377506123841113,-0.16137712348563707,-527.4809475004648,-2.013305810137539,22,11
472,1.1949614719529538,-0.9634031294116249,0.38300486474050494,-530.8594806672695,-1.5250985824368997,23,11
473,-0.06833021823205736,0.7860898840284126,-1.1531812550948393,-300.4446576438321,-2.902765704085802,24,11
474,0.202375143950445,0.2353483431873443,-1.3133632229822134,-372.97939410158324,-3.0464184996618413,13,12
475,-0.2488004596870588,-0.011837478603747066,0.49240837321161834,-405.534698377938,-1.4269844186207046,14,12
476,0.5633156268604483,0.34809946399241243,1.2805181285826273,-358.1296465767787,-0.720199684527563,15,12
477,1.1949614719529538,-0.7513628942877373,0.22656013763621863,-502.9329826049249,-1.6653997829906526,16,12
478,1.1949614719529538,-0.12632314082471863,-1.3484560614145724,-420.6128915440237,-3.077890109181904,17,12
479,0.202375143950445,1.431108086989414,1.1070990300968229,-215.49332949310173,-0.8757236716050493,18,12
480,-0.42927070114206023,0.14604234677625377,-0.8958988244939892,-384.7413303882173,-2.672032239540049,19,12
481,-0.8804463047795645,0.5396086066896238,0.30521972155078353,-332.90717076066676,-1.594857079107028,20,12
482,-0.8804463047795645,-0.05393344545860486,0.8504158045285307,-411.0788958559207,-1.1059197630670188,21,12
483,-1.3316219084170684,-0.9028540385081185,0.1506517658224421,-522.8849372094887,-1.733475172265065,22,12
484,1.1949614719529538,-0.4064804078594625,0.7114015044923047,-457.51065941542015,-1.2305891817826833,23,12
485,-0.06833021823205736,0.30684676063490074,-0.886678840481872,-363.56278307423133,-2.663763665392937,24,12
486,-0.2488004596870588,0.6119448640884776,-0.29014294155458814,-323.38021305423865,-2.128784287423112,14,13
487,0.202375143950445,1.6331371653998785,-1.2982485492608238,-188.88533849804034,-3.0328635086542146,15,13
488,0.202375143950445,-1.4988279874422197,0.32000530190450066,-601.3769522763077,-1.5815972223326435,16,13
489,0.202375143950445,1.5427975663705311,1.093611037633607,-200.78340414474195,-0.8878198385432146,17,13
490,0.202375143950445,0.08441714422432106,-1.9692202024231962,-392.8576018055388,-3.634597617682156,18,13
491,-0.42927070114206023,-0.1382379736324359,1.1861277947189515,-422.1821199271344,-0.8048498827596544,19,13
492,-0.8804463047795645,0.7641778985541454,-2.9431343782535433,-303.33054870847707,-4.508013619834988,20,13
493,-0.8804463047795645,-0.11731580170784855,-1.417327158233626,-419.42659103720155,-3.1396543996506123,21,13
494,-1.3316219084170684,-0.2996508801881752,0.3964635591506771,-443.4408080224979,-1.5130286902865908,22,13
495,0.202375143950445,0.21013169953577063,-0.13397695970063067,-376.30052110214075,-1.988733068405929,23,13
496,-0.06833021823205736,1.5208151686800184,0.12480379318543429,-203.67856876362248,-1.756655893405224,24,13
497,-0.2488004596870588,0.020243278842852735,0.48825220185333024,-401.30954172242133,-1.4307117147850952,15,14
498,-0.2488004596870588,0.11213792355727782,1.249134948893372,-389.20667069863737,-0.7483444348754706,16,14
499,-0.2488004596870588,0.6591476051885384,-0.0977758618448644,-317.1634341627324,-1.9562675607180784,17,14
500,-0.2488004596870588,-0.03696321598594266,-0.031077561029588616,-408.84385268022834,-1.8964518555007297,18,14
501,-0.42927070114206023,0.49058923771239665,0.3014699800013037,-339.36320638975417,-1.598219884942009,19,14
502,-0.8804463047795645,0.7466821953455368,-0.9219323818594103,-305.6347987554981,-2.695379394926237,20,14
503,-0.8804463047795645,1.2056940772030527,0.547559660355337,-245.18120407900844,-1.3775241910913327,21,14
