,SS,RH_MMS,RH_rsFC,Subject_left,Subject_right
278,-0.4054370954367684,0.16485000897280297,0.06062598315190771,4,1
279,-1.087654063785784,-0.4556832805276409,0.27218239908692055,5,1
280,-3.6969020350362216,0.7578326815247197,-0.0810978139424116,6,1
281,-1.5753516560110083,0.9223900343733087,-0.19599278707544285,7,1
282,-1.7216564464028676,0.6440318046399562,0.016563502696693728,8,1
283,-1.8255215657730752,0.4404369491568869,0.18426209629267593,9,1
284,-1.8157886504991096,-0.1974881390541727,0.3459211975369511,10,1
285,-0.2692608545713925,0.4975696608239355,0.42294319748935727,11,1
286,-1.5753516560110097,-0.07542475852416529,0.553445761300099,12,1
287,-2.882387593984805,1.154810624218942,-2.0494221900907834,13,1
288,-2.3824873527699175,-0.16459321132397245,0.662160101616702,14,1
289,-1.4484874430804318,0.16296625608234744,0.11773983887727044,15,1
290,-4.090788291095845,0.5462456773679265,0.35463059768055205,16,1
291,-0.9869023841315818,-0.3474415950117077,0.3800188907914914,17,1
292,-2.089096687044307,0.1755060817946025,-0.15996255547223642,18,1
293,-2.224251454462223,0.12934377461359495,-0.8092524475878142,19,1
294,-1.4685492649722125,-0.21687179092195238,0.3768179406337908,20,1
295,-1.4685492649722125,0.1213407894976756,-0.05844025050194351,21,1
296,-1.4484874430804318,0.7080130460256945,0.16959813985603764,22,1
297,-2.0886988062224696,-0.04370378476040041,0.3934905431414424,23,1
298,-2.7952075214591194,1.0274857935355348,-1.3832174499721466,24,1
299,0.42374035407133775,-0.7955966055471851,0.7738406977605886,3,2
300,0.4573510574468159,0.7822947254352699,0.36171279387227817,4,2
301,-0.9069437849682492,-0.878652720703713,0.6055804944831553,5,2
302,-1.0544142456370735,-0.0433014806836655,0.8646936880017208,6,2
303,0.3199044504132727,1.038720686189616,0.6502670496234748,7,2
304,0.7679713914626948,1.1688773819699498,0.10725531292102715,8,2
305,-0.3044768983154103,0.9812280320886627,0.46902552252126345,9,2
306,0.41353951937619293,0.6331523326248317,0.5891966679021338,10,2
307,-0.12311628415256871,1.048586219851683,0.9271443883544269,11,2
308,-0.19997571946042272,0.8667004431908633,0.8605454371882282,12,2
309,-0.3231661597042175,0.7775423766581648,-1.7604538257719111,13,2
310,0.7633314441338296,0.6273177775006544,0.8287301922606715,14,2
311,0.649148540524892,0.709609490338897,0.8864550749219872,15,2
312,0.015973865695185368,0.22140819942154297,0.434104165931998,16,2
313,0.23205061006786912,0.47918420218652336,0.6610180679854382,17,2
314,0.7332688424441562,0.8388976566139784,0.6200729385564173,18,2
315,0.06313389520669353,0.668655698418514,-0.772745286551479,19,2
316,0.5122664305853285,0.3009374208535531,0.6581307557339559,20,2
317,0.8489284168738004,0.5048755907459346,0.5223775564706661,21,2
318,0.6491485405248946,0.15679034371607495,-0.053807659325759184,22,2
319,-0.44548495963653195,-0.8950215293195427,0.9686340297724467,23,2
320,0.5922027181238974,0.9488239072101992,-1.2587871358545917,24,2
321,0.6141664101915324,-1.1192223119842515,0.6109144563157798,4,3
322,-0.4574779870450824,-3.7866730118528333,0.8720978868911909,5,3
323,-0.7398113013700509,-3.411344787683441,0.7323888630783447,6,3
324,0.826273258526847,-0.963291361516698,0.9974838106101377,7,3
325,0.16074145690970162,-0.6890407501241823,0.06653873629835838,8,3
326,-0.6555686775956865,0.05680180910068119,0.3855899032070919,9,3
327,0.3507664887107286,-0.4882930151773133,1.1840582301698783,10,3
328,-0.1354901370638014,-0.07880689918517456,1.108377236322754,11,3
329,-0.052484616508627895,-0.3203315081108764,1.1104501701635505,12,3
330,-1.2461565354749755,-2.4533475865688796,-2.5593901022644348,13,3
331,0.2843723677794823,0.03754583530150847,0.9024758280330026,14,3
332,0.4918439031193049,0.21138375527847234,1.012575841325318,15,3
333,-0.4574779870450824,-2.814920799461581,0.6245026117227427,16,3
334,0.21925718595969834,0.5659147860829872,0.5972248189387387,17,3
335,0.45201437831642816,0.1384974950047055,0.761206843045065,18,3
336,-0.03419302513702272,-0.43125844298985827,-1.2116891570485802,19,3
337,0.7836732877479758,-0.37940897006094126,1.1814941128451268,20,3
338,0.7836732877479758,-0.962425774224623,0.7924348155638391,21,3
339,0.4918439031193062,-3.123200687594287,0.11177591252661385,22,3
340,-0.4574779870450824,-4.031507356783792,1.1746787938918035,23,3
341,0.21052571436090176,-1.3926328980155813,-1.4608627181602076,24,3
342,-0.700389928118983,-0.5122908751969207,0.5223810420295463,5,4
343,-2.1929234957481776,-0.9980934404126992,0.42122470462509404,6,4
344,0.5526083197339463,0.513719505844235,0.41374640903830484,7,4
345,0.42478860033917437,0.9706545187603545,-0.2134504312625798,8,4
346,-0.999211806363146,0.5289946156959706,-0.06922960670675828,9,4
347,0.5763349913354135,0.9457845148046643,0.6248181186917431,10,4
348,0.5018378777286827,0.7394536092955103,0.6367308094203452,11,4
349,0.06781756161793526,1.0301529149529711,0.6375166902546556,12,4
350,0.08885338496744659,0.09687497231952907,-2.3879807772115083,13,4
351,0.34966139805603097,0.5396614291962963,0.6763882474821125,14,4
352,0.7640174687448849,0.1391844427742703,0.2951072924671785,15,4
353,-0.2700773546922281,0.19160321674634223,0.17766378508981617,16,4
354,0.4191646560385281,0.002419651555894117,0.19114709846119307,17,4
355,0.3748784021476097,0.3658784351793926,0.5676554269741745,18,4
356,0.02918469119805031,0.5569142675127395,-0.9705424742156599,19,4
357,0.7042220378322018,0.16807170709733854,0.6578461628334836,20,4
358,0.7042220378322005,0.4699103059880634,0.6881821930087378,21,4
359,0.7640174687448862,-0.2142590435182188,0.043139597444356255,22,4
360,-0.700389928118983,-1.2114935581924362,0.7040275043382344,23,4
361,0.2096078675730139,0.5540030353497809,-0.9763839436513797,24,4
362,-1.517270057055799,-0.5170890474819346,0.40537966612295845,6,5
363,-0.07469887016751763,-1.1374679423088483,0.3687607432129111,7,5
364,0.02010376778752445,-0.7330890907998092,0.0032954968311329183,8,5
365,0.2774362386005073,-1.4752659045389447,0.08348502586239921,9,5
366,0.2436621181661263,-1.3989986848151688,0.9240013969181354,10,5
367,0.5220003230380096,-1.2417451544580511,0.6809882084206699,11,5
368,0.7347534565068494,-1.2827030891539337,0.894465397973124,12,5
369,-1.9836810440755894,-0.5874176752354148,-2.6819983605437936,13,5
370,-0.5738613235619284,-1.8806961768425963,0.3753956303858003,14,5
