,OS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
66,-1.4224524163959578,0.47197535140533303,-1.6743505915676562,-0.023875838621493783,-3.9056049133281996,4,5
67,-0.26341711414739954,0.47228232562720734,-1.89332573689103,-0.023847772463590267,-4.165110487908822,4,6
68,-1.8439197990317973,0.464094518293536,-0.33824917291830764,-0.024596370479760155,-2.322202532968762,4,7
69,-0.26341711414739954,0.35275623308892323,-1.0404690969122423,-0.03477585028813002,-3.154397367633203,4,8
70,0.2107336913179198,0.3350326345197446,-1.4644005740276613,-0.03639629031408376,-3.656794940605179,4,9
71,-2.054653490349717,-0.20103555044744123,-3.6746786823289703,-0.08540813969504468,-6.2761766500255005,4,10
72,-0.6848844967832386,0.5194472460418027,-2.5030025904336752,-0.019535559875248243,-4.887633320139143,4,11
73,-0.26341711414739954,0.22789287419767823,-1.6784064204428157,-0.04619190576538834,-3.9104114414896247,4,12
74,0.3687839598063596,0.5586084037100587,-0.07886023266366357,-0.015955118403352064,-2.014802915166316,4,13
75,-1.6858695305433575,0.32974758170266705,-2.0863247868049157,-0.03687949416744596,-4.393832013666709,4,14
76,-1.0536684565895984,0.4887899605666386,-2.2884286523320925,-0.022338506030744942,-4.633343578648859,4,15
77,-1.4224524163959578,0.6001236859323615,-0.8218479097060255,-0.012159443121088964,-2.8953112657942683,4,16
78,-0.26341711414739954,0.5197078490611967,-0.32424762844506455,-0.01951173336158274,-2.3056094221927452,4,17
79,-1.0536684565895984,0.16093192911016596,-3.122293145687206,-0.052314036955167564,-5.621549268161878,4,18
80,-1.0536684565895984,-3.0894126093309833,-1.6492360310911405,-0.34948779473759983,-3.8758418621966504,4,19
81,-0.6848844967832386,0.4000686060082338,-4.309317267510944,-0.03045015635514825,-7.028281417237645,4,20
82,0.2107336913179198,0.4416879914313689,-1.7688020926810708,-0.026644963085169504,-4.017538580641184,4,21
83,-1.0536684565895984,0.17576885700586126,-0.09020040370659514,-0.05095752057219194,-2.0282420550193465,4,22
84,0.05268342282948002,0.4857251362695153,-0.7522180513908163,-0.02261871797213988,-2.8127935153739108,4,23
85,-0.6848844967832386,0.4593058578035374,-0.7935624857643394,-0.025034189983424104,-2.8617904514506862,4,24
86,2.807536753984859e-16,0.34596733068505314,1.2747204120017428,-0.03539654868324349,-0.4106860533353709,5,6
87,-1.5805026848843975,0.4431031748909476,0.03973036174853665,-0.02651557514439562,-1.8742622145432002,5,7
88,2.807536753984859e-16,0.25949988632685367,0.8449662806412662,-0.04330212763398855,-0.9199840041251883,5,8
89,0.4741508054653196,0.44110113834766534,1.018884572446081,-0.026698618115917117,-0.713874921844464,5,9
90,-1.7912363762023176,-0.4090463745962665,-0.45140668676674617,-0.10442623378957827,-2.456304536216613,5,10
91,-0.4214673826358393,0.26148323633974285,0.6557761399282688,-0.04312079314179629,-1.1441916241188288,5,11
92,2.807536753984859e-16,0.12584554475305623,0.9652862621478701,-0.05552192847653892,-0.7773938216262057,5,12
93,0.6322010739537594,0.21891526688586999,-0.09290738300351344,-0.04701271391947548,-2.0314500730653546,5,13
94,-1.4224524163959578,0.14815917823737745,1.0249086880902025,-0.05348182896281295,-0.7067357938431594,5,14
95,-0.7902513424421992,0.385486232423769,0.8445327309957514,-0.03178339924808815,-0.9204978001073871,5,15
96,-1.159035302248558,0.35720026211245903,0.667666311182806,-0.03436953988349467,-1.1301006837122634,5,16
97,2.807536753984859e-16,0.35143701981510767,0.23018279851196644,-0.03489646382963607,-1.6485586582807445,5,17
98,-0.7902513424421992,0.0019324301488760384,0.09716732873112567,-0.0668511046515391,-1.8061941555085843,5,18
99,-0.7902513424421992,-3.063825534085353,1.0890980562586212,-0.3471484097242644,-0.6306655218316328,5,19
100,-0.4214673826358393,0.30389409913770155,-1.0819530517795524,-0.03924323637222715,-3.2035596482556,5,20
101,0.4741508054653196,0.2616255051304943,0.9422359726178433,-0.043107785735762016,-0.8047105228888344,5,21
102,-0.7902513424421992,0.284549308003179,-0.09589486453736878,-0.04101189941916661,-2.034990511916747,5,22
103,0.31610053697687984,0.21827601274695155,0.5916732404944351,-0.047071159894169434,-1.220159422771479,5,23
104,-0.4214673826358393,0.48428251380142306,0.6032768792303101,-0.022750614617198295,-1.2064080496056688,5,24
105,-0.4214673826358393,0.16863714421009604,-0.15429444531299694,-0.051609561568424,-2.104199356336357,6,7
106,1.1590353022485584,-0.08373874011880217,0.6643752002558588,-0.07468388154671546,-1.1340009511642828,6,8
