,OS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
391,1.7306139776446179,-0.4232193665953726,0.019247668830192046,-1.620918367011518,-1.8985360789897059,17,6
392,0.37775486370037314,-1.0967322339292123,0.3229397220130496,-2.025226403233796,-1.538633220423711,18,6
393,0.37775486370037314,0.30754083957419615,1.099162612742228,-1.1822449010161624,-0.6187381018985599,19,6
394,1.009089116874354,-1.7331397129052575,-0.8433686806601622,-2.4072601705774535,-2.9208153476553576,20,6
395,1.7306139776446179,0.11148980994132665,0.9957184123295981,-1.2999338281839516,-0.7413289403495171,21,6
396,0.37775486370037314,0.8050933772952064,-0.3035650419735752,-0.8835653965848365,-2.2810986656035848,22,6
397,1.7306139776446179,-0.49782250221667007,0.3971465713306102,-1.665702436807352,-1.4506913170559423,23,6
398,1.009089116874354,0.9838101001935912,0.4001051386581652,-0.7762822090175948,-1.4471851441834969,24,6
399,-0.9751042502438715,1.0094373696047299,0.578772042339136,-0.7608982253227132,-1.2354485225235319,8,7
400,-0.9751042502438715,0.06308655341496486,0.09250080186355185,-1.3289901781693727,-1.8117244166451956,9,7
401,-1.3358666806290036,-1.2178127582284832,-1.9388238723943454,-2.0979107295154753,-4.219029939720117,10,7
402,-0.9751042502438715,1.14240330603435,-0.6878034076712523,-0.681079116810167,-2.736456271230672,11,7
403,-0.9751042502438715,1.0728645500615401,0.11387590419742952,-0.7228230525719334,-1.7863929654219026,12,7
404,-0.9751042502438715,1.190922995168671,0.7844843771666882,-0.6519528726306488,-0.9916605913913905,13,7
405,-0.9751042502438715,-0.06514534362299684,-0.3111646976920428,-1.4059674550515642,-2.290104952691206,14,7
406,-0.9751042502438715,1.5351637184700715,-0.5605865074969387,-0.44530605476556573,-2.5856926093212445,15,7
407,-0.9751042502438715,1.4317999775416166,0.7532159489776924,-0.5073550417089102,-1.0287165385923176,16,7
408,-0.9751042502438715,0.30548720141237273,0.9008549072689246,-1.183477694705175,-0.8537508700217068,17,7
409,-0.9751042502438715,-0.887163616569828,-1.368218465308502,-1.8994229030366834,-3.5428103449987614,18,7
410,-0.9751042502438715,0.1488485690861106,0.06065527279378552,-1.2775074614757387,-1.8494642811712336,19,7
411,-0.9751042502438715,-1.1072787531786261,-2.540088542836533,-2.031557451523327,-4.931583565601754,20,7
412,-0.9751042502438715,0.7027124368922238,0.06911650811057546,-0.9450244109089124,-1.8394369434599018,21,7
413,-0.9751042502438715,1.208809268604063,0.701284280381516,-0.6412157888439279,-1.0902603155268167,22,7
