,OS,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
300,-0.25705760933918276,0.2070168802490881,-2.917868410864416,-0.10201531865287916,-0.44128569641911075,4,2
301,-0.25705760933918276,0.06242442614768347,0.31337079101301923,-0.14565062289315056,-0.11081789406170106,5,2
302,-0.25705760933918276,-0.14142701112324466,0.2365231542946433,-0.2071691823533509,-0.11867731518036251,6,2
303,-0.25705760933918276,0.1347481319585814,-0.5873214545059199,-0.12382467819600085,-0.20293419012670977,7,2
304,-0.25705760933918276,0.30806739070791705,0.11621897873142042,-0.07152016041721232,-0.13098115715210468,8,2
305,-1.0799069670692483,0.1772040651279123,-0.37211052056531735,-0.11101226988492019,-0.1809239705362462,9,2
306,-0.25705760933918276,0.21256330990270106,0.0965071985071096,-0.10034150969177713,-0.13299713563104099,10,2
307,-0.25705760933918276,0.0670002500590916,0.3399180648978205,-0.14426972463144616,-0.1081028306723385,11,2
308,-0.25705760933918276,0.16974819257436727,0.2060960546376029,-0.11326231307889256,-0.12178917912096143,12,2
309,-1.3541900863126035,0.22687115594646592,-0.05425349967992538,-0.09602366877108293,-0.14841585071186525,13,2
310,-0.25705760933918276,0.22764140387961657,0.39481061584199934,-0.09579122231934833,-0.10248881711810365,14,2
311,-0.25705760933918276,0.3783543662667532,0.20637645987878123,-0.05030886290034875,-0.12176050129860527,15,2
312,-0.25705760933918276,0.23035210615825408,0.37063703741830223,-0.09497318295921553,-0.10496111608382308,16,2
313,-0.25705760933918276,0.30478146762917846,0.03824838715366088,-0.07251179067995295,-0.13895542598130128,17,2
314,-0.25705760933918276,-0.12215742489289501,0.4879884297067297,-0.20135398084113532,-0.09295926345384564,18,2
315,-0.25705760933918276,-3.522667634833516,0.13495242767181762,-1.2275645013351417,-0.12906523532919822,19,2
316,-0.25705760933918276,0.3079786645410741,0.33109722001723585,-0.07154693631854359,-0.10900496296292495,20,2
317,-1.0799069670692483,0.21526779207304386,0.19448076642084078,-0.09952534744424701,-0.12297710688827468,21,2
318,-0.25705760933918276,0.15342037584774815,-0.36156560864144816,-0.11818974345465583,-0.17984551312352703,22,2
