,SS,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
404,0.03797971196291828,-1.7936189978397767,-0.8515193887328797,-0.010953625918447608,-0.5971080987519571,13,7
405,-0.4310504684460489,0.6017765691260764,1.2424081745011022,-0.0015199337118764538,-0.33898505534114376,14,7
406,,-0.11841083847814582,-0.025521294411398977,-0.004356219471139314,-0.4952855019719137,15,7
407,0.6067379147000892,-0.4574648746388057,1.522683294321594,-0.005691502654695822,-0.30443492658279203,16,7
408,-0.742956583871984,0.681634543319394,-1.289305340536387,-0.0012054321910548618,-0.6510749332433534,17,7
409,0.4456895468960037,-0.4490822696182486,0.9695688530146845,-0.005658489770834907,-0.37261855692963486,18,7
410,-0.14863351848799014,0.18233967985140304,1.438102756931763,-0.0031717855262767347,-0.3148613549405459,19,7
411,0.7592099596387906,-0.16997364972587675,0.6224493883705193,-0.004559287263918423,-0.4154087346866445,20,7
412,0.75920995963879,0.5891436818807713,1.615107455336191,-0.0015696853151590303,-0.29304159753709524,21,7
413,,-0.2822802088700295,-1.48495778752121,-0.005001579771408949,-0.6751934395151256,22,7
414,0.6067379147000892,-0.1776223459684156,1.0503343585529619,-0.004589409823686314,-0.36266241591587645,23,7
415,0.44568954689600404,0.34814897467205996,1.4530097506402453,-0.0025187852978810596,-0.31302373713002507,24,7
416,0.9871571868948642,0.717955082308992,-0.6735377359771413,-0.0010623924399883451,-0.5751679100428293,9,8
417,-0.14863351848799014,0.6519599635434802,-0.17927690920376274,-0.0013222984221800621,-0.5142392938454059,10,8
418,0.9871571868948642,0.873918136495955,-0.3033766115982898,-0.000448169274058289,-0.5295373363521763,11,8
419,-1.7210645479236184,0.8706922701663081,-1.574269363383291,-0.00046087357662655986,-0.6862030733621203,12,8
420,-0.7950807114990559,-1.5198477671039006,0.1589426606369817,-0.00987544344145163,-0.4725462256412917,13,8
421,1.808008506495988,0.8840991907794528,0.43669827516630877,-0.000408073628156027,-0.4383066818263086,14,8
422,,0.5633155632516873,-0.41189486897038413,-0.0016714031795409085,-0.5429146199556554,15,8
423,-1.0208613190665723,0.43762168740917834,1.2060811168580345,-0.0021664184301749185,-0.3434631714143218,16,8
424,-0.14863351848799014,0.8586873929003506,-0.21349985384999062,-0.0005081519128923974,-0.5184580312944325,17,8
425,-0.14863351848799014,0.31566831113981814,-0.0014007459018702676,-0.0026467026183662474,-0.4923121090526277,18,8
426,-0.14863351848799014,0.7603607720763312,-0.1689204757151756,-0.0008953877788003224,-0.5129626335741083,19,8
427,-0.14863351848799014,0.6474812147047945,-0.3663493485193952,-0.0013399369026871532,-0.5373001237529398,20,8
428,1.4237975109476382,0.7788307620469239,1.230264368959677,-0.000822648143291299,-0.34048204888570577,21,8
429,,-1.3829130316024056,-0.4156818022210179,-0.009336158755062399,-0.5433814435234857,22,8
430,-0.14863351848799014,-0.7949683622096532,-0.05328553727027075,-0.007020679373687836,-0.4987080610854966,23,8
431,0.8807642268671672,0.8818495281188135,0.12778432913991747,-0.0004169333861858747,-0.47638718150568826,24,8
432,0.06601074921641441,0.3534147723895036,-0.15200185327158208,-0.002498047213710957,-0.5108770378772285,10,9
433,0.9170957819217085,0.7511732215537354,-1.3851268905207583,-0.0009315707478922603,-0.6628870658789767,11,9
434,0.1792410162599428,0.8216991201336816,-1.0397117592295833,-0.0006538213736468205,-0.6203069850325693,12,9
435,-1.2943787586791058,-0.9744775828486707,-0.6854833616436142,-0.007727633481436714,-0.5766404735195305,13,9
436,0.3613515632107381,0.70426400248903,-0.9708585845579724,-0.0011163114814937598,-0.6118193031725132,14,9
437,,0.8218682101958353,-1.7861085955771618,-0.0006531554529013934,-0.7123169601497034,15,9
438,-0.7851857591547596,0.6833991973803352,-0.570388932450299,-0.0011984825233291754,-0.5624525307918817,16,9
439,1.78316489085165,0.5168656052445543,-0.8961608571268606,-0.0018543352233713524,-0.6026111504747136,17,9
440,1.3538763554428415,0.6668068122809223,-0.8907821020588907,-0.00126382766137626,-0.6019480995400569,18,9
441,0.41926183420343716,0.8246128538681013,-0.20785251208329386,-0.0006423463306094674,-0.5177618710883223,19,9
442,0.1792410162599428,0.7344605805699604,0.3069934145536385,-0.0009973894849618808,-0.4542956844806362,20,9
443,0.1792410162599428,0.6836156268898133,-0.5430291633077915,-0.0011976301674991024,-0.5590798320404626,21,9
444,,-2.1966002810695744,-0.16982512754936238,-0.012540671266374969,-0.5130741519899158,22,9
445,-0.05769748410702308,-1.3074878744790301,-0.4933667281302876,-0.009039114823468475,-0.5529578347296239,23,9
446,-0.36327778619239504,0.787302954087958,-0.4323078190847088,-0.0007892824423889987,-0.545430969088748,24,9
447,-0.3632777861923944,0.5313448145932236,-1.3851864702413708,-0.0017973123223217066,-0.6628944104018151,11,10
448,-0.742956583871984,0.6075956541943505,-2.064458094900175,-0.0014970166378804103,-0.7466297134457942,12,10
449,-1.0038027727095156,-1.2970909766205398,0.31464741888764247,-0.008998169129298893,-0.4533521585785647,13,10
450,0.4060223603925925,0.6275148028100769,0.3184166652556588,-0.001418569837840728,-0.4528875153115479,14,10
451,,0.026091434313274736,-0.46766130052653593,-0.003787131850095188,-0.5497890702882174,15,10
452,1.0052154049758935,-0.29916066043695794,0.5307890130328858,-0.005068059390302142,-0.42670791019670185,16,10
453,-0.5377092948280388,0.7070876308714197,-0.8835939867351923,-0.0011051912968225728,-0.6010620047981379,17,10
454,0.24044225785205842,-0.23645852839486908,0.7000702138043366,-0.004821122048287231,-0.40584024528670937,18,10
455,0.8807642268671674,0.2346091130451931,-2.0219995614917705,-0.0029659348720623537,-0.7413957569066241,19,10
456,1.6343356776639915,-0.02987833607652987,-0.9428410936831375,-0.004007555396841028,-0.608365525620544,20,10
457,-0.742956583871984,0.7176489615649546,-1.1107088358429635,-0.0010635980232820271,-0.629058950387289,21,10
458,,-0.5101505789822797,0.8159104955250973,-0.005898992693216807,-0.3915603596820957,22,10
459,-1.6321535629415551,0.1148782887060402,-0.7988564919774286,-0.0034374660713478652,-0.5906162279613784,23,10
460,0.2404422578520587,0.508746084011581,-1.9623285876967538,-0.00188631201469255,-0.7340399850882962,24,10
461,-0.4765080532359228,0.8203667773416214,1.9981725303099211,-0.0006590684868949511,-0.2458203255538859,12,11
