,SS,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
0,-1.2534253951602665,0.46237808994542917,0.37838520450919916,-0.009471465320295483,-0.44549506194648614,1,2
1,-1.2534253951602665,0.3569840270643829,0.5482439189682742,-0.012049357286604601,-0.4245562056575375,1,3
2,-1.2534253951602665,-0.2583325660800353,-1.1766524862436225,-0.02709972785628262,-0.6371879688088946,1,4
3,-1.2534253951602665,0.40096208540169737,0.12704538646019856,-0.010973673512940868,-0.4764782725905683,1,5
4,-1.2534253951602665,0.20083163046255362,-1.0183370662342428,-0.01586877555093421,-0.6176720797451066,1,6
5,-1.2534253951602665,0.49035389024086573,-0.1282408864680586,-0.008787189670783124,-0.507947971383526,1,7
6,-1.2534253951602665,0.7439307452307652,-0.39489538027312737,-0.002584812426268032,-0.5408190556983195,1,8
7,-1.2534253951602665,-0.1657653951105401,1.216243427118326,-0.02483557596894572,-0.3422104411391541,1,9
8,-1.2534253951602665,0.0676417253545458,0.019208006964053125,-0.019126541472330852,-0.48977162288488385,1,10
9,-1.2534253951602665,0.6072649998324977,0.08005669332748853,-0.005927595857337364,-0.4822706718551252,1,11
10,-1.2534253951602665,0.20199276584843462,-0.3392658984434445,-0.01584037469512473,-0.5339614874589163,1,12
11,-1.2534253951602665,-3.3638546890101964,-0.6880493138919251,-0.10305941963638406,-0.5769567840811805,1,13
12,-1.2534253951602665,0.3558742076139084,0.28712757657335164,-0.012076502977426493,-0.4567445899009641,1,14
13,-1.2534253951602665,0.1850006201533441,-1.1535176063116472,-0.016255995031605804,-0.634336081417068,1,15
14,-1.2534253951602665,0.451018523904181,0.5040966784870595,-0.00974931526020664,-0.42999833282147837,1,16
15,-1.2534253951602665,0.5677599937907676,-1.8959083583133405,-0.006893870758599228,-0.7258522177301876,1,17
16,-1.2534253951602665,-0.2357448848857841,-0.2819904492055864,-0.026547243206801633,-0.5269010172069444,1,18
17,-1.2534253951602665,0.3732564624711968,-0.15233102353817524,-0.011651340744108701,-0.5109176154179731,1,19
18,-1.2534253951602665,0.6706476472145674,0.6062711956827069,-0.004377284454369092,-0.41740305598351646,1,20
19,-1.2534253951602665,0.4386299741224571,-0.39933477043531324,-0.010052333685377059,-0.5413663090606954,1,21
20,-1.2534253951602665,0.49665016325258415,-0.6537980186619798,-0.008633185629465188,-0.5727345517935166,1,22
21,-1.2534253951602665,0.42215953208849444,-0.9136806035972175,-0.010455193382026518,-0.6047708480488407,1,23
22,-1.2534253951602665,0.4904405075667105,-0.5907554566631207,-0.00878507104946486,-0.5649631569022684,1,24
23,-0.7978744219389954,0.6616236540924662,0.759098880496055,-0.004598007318044529,-0.3985636520738016,2,3
24,-0.7978744219389954,0.11340213190884023,0.803372684415335,-0.01800726225292646,-0.393105923157254,2,4
25,-0.7978744219389954,0.02098243291944191,0.20882437008076843,-0.02026780704113125,-0.46639719791070566,2,5
26,-0.9800948112275037,-0.16750170837357187,0.728746878561375,-0.024878045420159662,-0.4023052099244898,2,6
27,-0.7978744219389954,0.12846789973747594,1.0450995346042942,-0.01763876026344008,-0.3633077241457672,2,7
28,-0.7978744219389954,0.49752309422421015,-0.31474421813161274,-0.008611834125619692,-0.5309386461425427,2,8
29,-1.2534253951602665,0.21226959030309428,-0.697326840939279,-0.015589008133511698,-0.5781004451890607,2,9
30,-0.7978744219389954,0.4396806068981624,-0.6976777910115217,-0.010026635674331706,-0.5781437075742182,2,10
31,-0.7978744219389954,0.6952130484905429,2.255533009947258,-0.0037764256501120496,-0.21409493475046348,2,11
32,-0.7978744219389954,0.5762610935698518,1.9194470338544685,-0.006685937633846007,-0.255524990173575,2,12
33,-0.7978744219389954,-2.988531033577539,-0.14796692132199113,-0.0938791697280221,-0.5103796429658327,2,13
34,-0.7978744219389954,0.7346386343552943,1.1154030591687345,-0.0028120933311038734,-0.3546412544733144,2,14
35,-0.7978744219389954,0.56448763754728,1.2965928551600436,-0.006973911138867224,-0.3323055909109952,2,15
36,-0.7978744219389954,0.7329971484033623,2.154851491006836,-0.002852243348406753,-0.2265061664188539,2,16
37,-0.7978744219389954,0.20616178526914125,-1.754285381413701,-0.015738402331803313,-0.7083940427407076,2,17
38,-0.7978744219389954,0.1400736623579703,1.1815473693422778,-0.017354888464551077,-0.34648750028139064,2,18
