,SO,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
0,1.1223428994153495,1.1133351640498224,0.27569242722849496,-0.056842524533470495,-0.11467136491246943,1,2
1,0.3108850053221407,1.288619815629184,0.5767393092038295,-0.027025146571199365,-0.08388246465552307,1,3
2,0.2830468295265667,-0.6470921521422135,-3.4394254518784835,-0.356305861391796,-0.494626782726744,1,4
3,0.6861642347389677,0.6271102652331475,0.6161022052532633,-0.13955342621284417,-0.0798567120141459,1,5
4,-0.19311393785139971,-1.1899748993047468,0.6061022722716922,-0.44865473458456606,-0.08087943291769928,1,6
5,0.4663307518235148,1.0698357691057803,-0.7146052311321338,-0.0642421336178367,-0.21595185527294114,1,7
6,-0.595119200012887,1.4322417143940782,0.6972993226933244,-0.0025938663618594315,-0.07155245742891347,1,8
7,-1.3643996088451682,0.8026404337115605,0.62988922873926,-0.10969428378283907,-0.07844667485260737,1,9
8,-1.6565691518492884,0.39323994272002893,0.9620891103613619,-0.1793367143541601,-0.04447167084818027,1,10
9,0.6861642347389675,0.3163706886330078,0.46706101220587554,-0.19241281418457123,-0.09509956853138524,1,11
10,0.9779289367690722,0.23430435250564136,0.20310580164493452,-0.20637298092045098,-0.1220950005947804,1,12
11,0.6861642347389675,0.5076246504144789,-0.2118883145360126,-0.15987892365943335,-0.16453760078541002,1,13
12,0.41030062530932837,-1.3792655605927386,0.8356830486706801,-0.4808546513570672,-0.05739956965161874,1,14
13,1.597037748819364,0.5626231749692979,0.731924348069189,-0.15052321693187765,-0.06801125997256818,1,15
14,-0.43967345351151293,0.7280877777547201,0.2060562046935716,-0.12237631099244795,-0.12179325468535185,1,16
15,-0.595119200012887,0.7612687939637887,0.37664239158842283,-0.1167319440010226,-0.10434693184335442,1,17
16,0.172953200607321,-1.3268255900459154,0.9989050848067685,-0.47193417595870035,-0.04070639894891914,1,18
17,0.6861642347389675,0.739966277630675,0.6984054930381175,-0.12035567931001123,-0.07143932631727545,1,19
18,0.172953200607321,0.9249723050932881,1.0216965221413086,-0.08888461440816808,-0.03837545538889553,1,20
19,-1.902879470366871,0.8775299264247116,0.36942246898463593,-0.0969549578378075,-0.10508533336889847,1,21
20,0.172953200607321,1.0300581453836373,0.0718032386073836,-0.07100863844457073,-0.13552367818253164,1,22
21,-1.4803110754185362,0.8860663560338797,0.5135874765246653,-0.09550284012064592,-0.09034117787867302,1,23
22,,-0.9365209504160688,0.3587553495287006,-0.4055401086207393,-0.10617628928514222,1,24
23,0.6275864838067243,1.249688838259606,-0.12978575088848493,-0.033647629807524004,-0.15614074370322828,2,3
24,-0.06439422409468612,0.42555360631359346,-2.917868410864416,-0.1738398912607887,-0.44128569641911075,2,4
25,-0.7563749319960966,1.1363293676383315,0.31337079101301923,-0.05293101914402365,-0.11081789406170106,2,5
26,-1.0137839229027146,-1.1092102225011813,0.2365231542946433,-0.43491599093214617,-0.11867731518036251,2,6
27,0.9142142779200234,0.8057687992202429,-0.5873214545059199,-0.1091621227753804,-0.20293419012670977,2,7
28,0.9142142779200234,1.1055442257988726,0.11621897873142042,-0.0581678279665786,-0.13098115715210468,2,8
29,-1.862212840008768,0.4591809688522121,-0.37211052056531735,-0.16811959704418789,-0.1809239705362462,2,9
30,-0.06439422409468612,1.0129080466847113,0.0965071985071096,-0.07392601295733348,-0.13299713563104099,2,10
31,1.3195671917081346,1.0468966815101752,0.3399180648978205,-0.06814426331821222,-0.1081028306723385,2,11
32,-0.06439422409468612,1.0578209189519743,0.2060960546376029,-0.06628595961725048,-0.12178917912096143,2,12
33,-0.23738940107003875,1.191784078511696,-0.05425349967992538,-0.04349771132727542,-0.14841585071186525,2,13
34,-0.5020412508675122,-0.05904679561328069,0.39481061584199934,-0.25627445250005376,-0.10248881711810365,2,14
35,1.6861938829966185,0.40061523727844833,0.20637645987878123,-0.17808211537216134,-0.12176050129860527,2,15
36,0.2815961298560191,0.3592564675563529,0.37063703741830223,-0.18511758629187225,-0.10496111608382308,2,16
37,-0.06439422409468612,0.38280511390795047,0.03824838715366088,-0.18111176557432052,-0.13895542598130128,2,17
38,-0.9396882776403382,-0.06565095125711311,0.4879884297067297,-0.2573978743352203,-0.09295926345384564,2,18
39,-0.7563749319960966,0.24856831217667488,0.13495242767181762,-0.20394656267494227,-0.12906523532919822,2,19
40,-0.9396882776403382,0.6493998837478584,0.33109722001723585,-0.13576177660804656,-0.10900496296292495,2,20
41,-0.9118940471988597,0.497804305632646,0.19448076642084078,-0.16154944603227872,-0.12297710688827468,2,21
42,-0.9396882776403382,1.1419876724749094,-0.36156560864144816,-0.0519684944025941,-0.17984551312352703,2,22
43,-0.5390890734987004,0.8916144789618834,0.14569187090883384,-0.09455905823880484,-0.12796688265910905,2,23
44,,-0.3796311587614807,0.32854703240219557,-0.3108085205924672,-0.10926577772905299,2,24
45,-1.077350259074632,-0.024546780838769728,-3.236487290668087,-0.2504057128758672,-0.4738717336698103,3,4
46,1.0297233428373793,0.9316664037040188,0.5021449811001182,-0.08774589252582177,-0.09151143364749315,3,5
47,-1.9407903711788201,-0.930846895224196,0.6308287062210893,-0.40457490461279877,-0.07835059188276594,3,6
48,1.4829216778912933,0.9094936142292132,-0.41825983813060613,-0.09151766853867371,-0.1856437893436047,3,7
49,1.4829216778912933,1.312256127476286,0.3487507619202143,-0.023004413223305153,-0.10719948623031039,3,8
50,-0.06439422409468612,0.5938001132371042,0.3085057885826349,-0.14521976027630912,-0.11131545136439114,3,9
51,-0.06439422409468612,0.7755293674129906,0.6945689869669093,-0.11430610178002776,-0.0718316964424418,3,10
52,-0.6114530075607187,0.6117186741322715,0.7825575924409583,-0.14217166394878056,-0.06283285752435508,3,11
