,SO,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
61,-1.0540529120757476,0.5804360190678227,0.6591358730756263,-0.006997398033737789,-0.07545553935432792,3,20
62,-1.8567733298972369,0.020146476725051123,0.31115724871977635,-0.012001880363768843,-0.11104427917631843,3,21
63,-0.826261647191438,0.004802998022526127,-0.5745708174413034,-0.012138927662076292,-0.2016301470812576,3,22
64,-1.1353424706022637,-2.266832970562355,0.14720140606755058,-0.03242908338675895,-0.12781249830830255,3,23
65,-0.5068354714887332,-0.06762835255371277,0.03655325644795518,-0.012785881400644046,-0.13912879170386916,3,24
66,-0.3470953799916558,0.7576043570353396,-3.568586980369197,-0.005414937984435307,-0.5078364907683677,4,5
67,0.12647286850604708,0.16233303990925083,-3.3356996629844837,-0.010731876036991939,-0.48401845837747504,4,6
68,0.11803743527155551,0.7263615745751538,-2.7047092280827125,-0.005693997186770642,-0.41948531511486,4,7
69,-1.1816215345776224,0.7267627350297811,-2.697660550673916,-0.005690414038674936,-0.41876442731074515,4,8
70,-0.8939251714620118,0.4771819300001584,-2.7820923352528406,-0.007919659159801166,-0.4273995002829657,4,9
71,0.2895888307766028,0.23789251446474263,-3.2513310368717185,-0.010056982028265188,-0.47538984479690205,4,10
72,0.4653335098151717,0.9915860290928872,-3.0648709042801943,-0.003325023654664086,-0.4563200494660612,4,11
73,0.06068524916072901,0.8328795630430856,-2.605966722613558,-0.004742583050270305,-0.40938664499390565,4,12
74,-1.467468831339354,0.9567846204969193,-2.4383792125719794,-0.003635868354085877,-0.3922470051573339,4,13
75,1.0875397382772187,0.7954926945530968,-2.949185636129442,-0.005076520967353326,-0.44448859597642354,4,14
76,-0.19227688915978214,0.653854442585715,-2.816012130985747,-0.006341627801693642,-0.43086857194616934,4,15
77,-0.9877293922598872,0.899512741227436,-2.9189150900706804,-0.004147418340568502,-0.4413927432068776,4,16
78,0.11803743527155666,0.7690779880910823,-1.712557318002771,-0.005312456000495952,-0.31801518528407524,4,17
79,0.3569292648722762,0.5180827940258539,-3.203983633521144,-0.00755433438425079,-0.4705474944306701,4,18
80,-0.9877293922598838,-0.8246792367418153,-2.865861006056129,-0.019547827656167662,-0.4359667547686997,4,19
81,0.3569292648722762,0.3780952614339821,-3.775696045393753,-0.008804697063431548,-0.5290181097358511,4,20
82,-0.09511868646243929,0.19857848800545988,-3.4814030262199367,-0.0104081332382542,-0.49891994577479526,4,21
83,0.36846008885222326,0.8493858954640626,-2.434476175123795,-0.0045951491920744264,-0.3918478306835683,4,22
84,-4.2233105406075895,-1.9150822182578922,-1.9645728600242416,-0.02928726064789033,-0.34378951430414817,4,23
85,0.26766033025819647,0.8237789624071313,-3.018046460126367,-0.004823869227565116,-0.45153118358849575,4,24
86,-0.39431075672030197,-0.7886596924751313,0.924104620166446,-0.01922610262081422,-0.04835645009667633,5,6
87,0.6699001898352149,0.7241067418499281,-0.4600163021723653,-0.0057141372566412735,-0.1899143388275546,5,7
88,0.6699001898352149,0.3832614654387617,0.36893731947927927,-0.00875855274928435,-0.10513495095547543,5,8
89,0.7736672433954894,0.3138985666245795,0.42757677114999776,-0.009378099207395723,-0.09913773146339744,5,9
90,0.709373382226848,-0.28933410741161375,0.88085925295481,-0.014766147760807133,-0.05277927384066439,5,10
91,0.26766033025819647,0.8210047852969148,0.8240777064123049,-0.004848648059364125,-0.05858648021816004,5,11
92,1.0259665913036362,0.703464547017127,0.2970190271052495,-0.005898512461757296,-0.11249023434530747,5,12
93,0.5058915444301624,0.7753595807759889,-0.2826265007122188,-0.005256349082161154,-0.1717721914386856,5,13
94,0.5117917776649279,0.40707045855040636,0.6792403267330683,-0.008545891836812486,-0.07339940107341358,5,14
95,1.1174569367490352,0.4582541305366784,0.7210587688867217,-0.008088721458492808,-0.0691225129159232,5,15
96,0.7813956460321329,0.8055787590920702,0.47105082823435657,-0.004986432668446677,-0.09469151897133521,5,16
97,0.2104013544300757,0.23339426332304483,0.25066438752826403,-0.010097160215886788,-0.11723105200472916,5,17
98,1.1174569367490352,0.2618367328994012,0.8723663989067575,-0.009843113288967276,-0.0536478615983802,5,18
99,1.295130961806076,-1.176919918676534,0.39438822276597496,-0.022694026425628115,-0.10253201643045529,5,19
100,1.1174569367490352,0.1897581725148663,0.7486890104594849,-0.010486915920567714,-0.06629669141504202,5,20
101,0.44381398114091425,-0.01506455090851911,0.2280694886706815,-0.012316383762989231,-0.11954189502916845,5,21
102,1.1897465727604746,0.44779042941999225,-0.4132369097689111,-0.008182182791228421,-0.1851300805175532,5,22
103,-0.907926307823163,-3.2316647455531764,0.2959800354287209,-0.041046919709750884,-0.11259649490806944,5,23
104,1.1918649608527006,0.7749051160914456,0.22879336340080456,-0.005260408341368295,-0.11946786235120799,5,24
105,-1.708978898208334,-0.8074345754322184,-0.39747418333281614,-0.019393799075783324,-0.18351798273120834,6,7
106,-1.708978898208334,-0.6546330422568449,0.4416791156693156,-0.018028982289126274,-0.09769544554452203,6,8
107,-0.11035583958892269,-0.43559912045668386,0.3113057408954179,-0.016072580628044206,-0.11102909246933523,6,9
108,-0.46251394911772103,-0.3219802787764806,0.9096650699638478,-0.015057741973070141,-0.04983322297678672,6,10
109,0.05239570820916085,-0.267379107580711,0.7985092601689948,-0.014570046637359125,-0.061201436187625524,6,11
110,0.304418260698272,-0.7078680275347301,0.3826824909157605,-0.018504474910403246,-0.10372919411921255,6,12
111,-0.3078568346567465,-0.1779985742077494,-0.40014661923417333,-0.013771703519899888,-0.18379130016891132,6,13
112,0.40672430933002346,-0.22741070387711684,0.8717723906135405,-0.0142130505576932,-0.05370861247535874,6,14
113,-0.786541315339658,-0.4877628255956753,0.8586601564725326,-0.016538504620745336,-0.0550496370575243,6,15
114,-0.8508013979790289,-0.40335190437814933,0.48934632539215533,-0.01578454986740761,-0.09282038769288914,6,16
115,-0.09329079699402884,-0.201462618463319,0.37850865676732526,-0.013981283363880319,-0.10415606372318253,6,17
116,0.5789643577158502,-0.22113083309942214,0.9264263680866458,-0.014156959019360284,-0.048118998492236,6,18
117,-0.8508013979790254,-0.8283545216446839,0.5662537845993227,-0.019580655144393354,-0.08495484836224543,6,19
118,0.5789643577158502,-0.9718498765939554,0.9350059735779988,-0.02086234954347574,-0.04724153842361167,6,20
