,OS,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
0,0.310057075534785,0.7122488335091115,0.37838520450919916,-0.019696257936437145,-0.44549506194648614,1,2
1,-1.23184838117874,0.049595211741842574,0.5482439189682742,-0.12130939931843843,-0.4245562056575375,1,3
2,0.310057075534785,0.44130573842242876,-1.1766524862436225,-0.06124342243256575,-0.6371879688088946,1,4
3,0.6955334397131662,0.5481242932005654,0.12704538646019856,-0.0448635694409768,-0.4764782725905683,1,5
4,1.0810098038915472,0.1073406230113417,-1.0183370662342428,-0.11245455804579807,-0.6176720797451066,1,6
5,-0.07541928864359615,0.18504116481032384,-0.1282408864680586,-0.10053974179802538,-0.507947971383526,1,7
6,-0.46089565282197725,0.5554279221582351,-0.39489538027312737,-0.04374361075140065,-0.5408190556983195,1,8
7,-0.8463720170003591,0.43413139309933146,1.216243427118326,-0.062343556411604384,-0.3422104411391541,1,9
8,0.310057075534785,0.1603003871139008,0.019208006964053125,-0.10433356116214898,-0.48977162288488385,1,10
9,1.4664861680699284,0.48635242646127635,0.08005669332748853,-0.05433583854541402,-0.4822706718551252,1,11
10,1.0810098038915472,0.694238552895689,-0.3392658984434445,-0.022458004239762963,-0.5339614874589163,1,12
11,-2.0028011095355027,-3.1868234896856977,-0.6880493138919251,-0.6175908052850231,-0.5769567840811805,1,13
12,1.0810098038915472,0.4626782919204591,0.28712757657335164,-0.05796609589430912,-0.4567445899009641,1,14
13,1.0810098038915472,0.6253869618697523,-1.1535176063116472,-0.03301589787148507,-0.634336081417068,1,15
14,0.6955334397131662,0.5598349119568597,0.5040966784870595,-0.043067830731844725,-0.42999833282147837,1,16
15,0.310057075534785,0.5792441992444556,-1.8959083583133405,-0.04009155687097232,-0.7258522177301876,1,17
16,0.310057075534785,0.5720874163159493,-0.2819904492055864,-0.04118899778379059,-0.5269010172069444,1,18
17,0.310057075534785,0.6267608805269305,-0.15233102353817524,-0.032805217379938245,-0.5109176154179731,1,19
18,0.6955334397131662,0.6144429502867421,0.6062711956827069,-0.0346940829137774,-0.41740305598351646,1,20
19,-0.0754192886435964,0.3271479625082289,-0.39933477043531324,-0.07874869191692757,-0.5413663090606954,1,21
20,0.310057075534785,-0.714945692956262,-0.6537980186619798,-0.23854621881128701,-0.5727345517935166,1,22
21,-0.0754192886435964,0.3431165558962193,-0.9136806035972175,-0.07630002358658916,-0.6047708480488407,1,23
22,1.4664861680699284,0.6205328364369869,-0.5907554566631207,-0.033760242907387994,-0.5649631569022684,1,24
23,-0.8463720170003587,0.007681556500686094,0.759098880496055,-0.12773655528039873,-0.3985636520738016,2,3
24,-0.8463720170003587,0.44325921034299276,0.803372684415335,-0.06094387163871262,-0.393105923157254,2,4
25,0.310057075534785,0.4354966593894816,0.20882437008076843,-0.06213420269797776,-0.46639719791070566,2,5
26,0.6955334397131662,-0.006091222531812802,0.728746878561375,-0.12984851135681763,-0.4023052099244898,2,6
27,0.310057075534785,0.09862691079573048,1.0450995346042942,-0.11379074280694912,-0.3633077241457672,2,7
28,1.4664861680699284,0.5474062956091528,-0.31474421813161274,-0.04497366917992274,-0.5309386461425427,2,8
29,0.31005707553478473,0.5823744485348512,-0.697326840939279,-0.039611555776497664,-0.5781004451890607,2,9
30,-0.8463720170003587,0.3098835707186868,-0.6976777910115217,-0.08139606156248447,-0.5781437075742182,2,10
31,0.310057075534785,0.5203477288266001,2.255533009947258,-0.04912290474093428,-0.21409493475046348,2,11
32,1.4664861680699284,0.7176934504051655,1.9194470338544685,-0.018861365304364774,-0.255524990173575,2,12
33,-0.8463720170003591,-3.0755937704426306,-0.14796692132199113,-0.6005345321189864,-0.5103796429658327,2,13
34,-0.0754192886435964,0.4392633399063088,1.1154030591687345,-0.06155660947683694,-0.3546412544733144,2,14
35,0.6955334397131662,0.6134236924601291,1.2965928551600436,-0.0348503787314387,-0.3323055909109952,2,15
36,1.0810098038915472,0.667672237440214,2.154851491006836,-0.026531756619138203,-0.2265061664188539,2,16
37,1.4664861680699284,0.5086100397105684,-1.754285381413701,-0.05092279449399173,-0.7083940427407076,2,17
38,0.6955334397131662,0.6296190137702308,1.1815473693422778,-0.03236694331366885,-0.34648750028139064,2,18
39,0.6955334397131662,0.503061682759418,0.8556492304020603,-0.05177359491338951,-0.3866616786733339,2,19
40,0.310057075534785,0.6419553234031479,1.0142571532176285,-0.030475259432852453,-0.36710973214706955,2,20
41,1.0810098038915472,0.2750883665523926,0.8789352945476322,-0.08673165452421283,-0.38379115447189915,2,21
42,-0.8463720170003587,-0.7604387740275386,0.05630322086720449,-0.24552225384218285,-0.4851988145046989,2,22
43,0.31005707553478473,0.34209003114178627,1.850737106812911,-0.07645743373508596,-0.26399501358408395,2,23
44,0.310057075534785,0.6754164090137432,0.9763069054654446,-0.025344243904895647,-0.37178794242520297,2,24
45,-0.8463720170003587,-0.11469450878082632,0.1714289821836437,-0.14650204001442868,-0.4710070093975107,3,4
46,-0.46089565282197725,-0.051840346042700144,-0.7398944402121889,-0.13686380864443604,-0.5833478465165667,3,5
47,-1.617324745357121,-0.27090959513213325,0.7269514468651712,-0.1704564939463078,-0.40252653672766947,3,6
48,1.0810098038915472,-0.3853362652613018,0.350916875762699,-0.1880029964142147,-0.4488811430783973,3,7
49,-0.8463720170003587,0.07920432061940802,0.02829825892860651,-0.11676905656961722,-0.488651047587218,3,8
50,-2.0028011095355023,0.11193826057950955,-0.17955596417938405,-0.11174954356931865,-0.5142736935643126,3,9
51,0.6955334397131662,-0.32186614757046833,-0.6801274935892938,-0.17827031280607164,-0.5759802439172453,3,10
52,-2.0028011095355023,-0.023081178039590387,0.21176863335797927,-0.13245379818295988,-0.46603425211875926,3,11
53,-1.6173247453571213,0.21306111096292013,0.7852888305906904,-0.09624308566215989,-0.3953351594822223,3,12
54,-3.930182930427409,-2.4401452725889503,-0.6567562391142171,-0.5030930997743157,-0.5730992181170413,3,13
55,-0.07541928864359615,0.15777851739657875,1.1691766410734366,-0.104720271648164,-0.3480124670882795,3,14
56,-0.8463720170003587,0.14500984878699114,1.0501833131973726,-0.1066782546517514,-0.36268103560815346,3,15
57,0.310057075534785,0.041770624730713565,1.2032435401416814,-0.12250924315856893,-0.3438129657199116,3,16
58,-0.8463720170003587,0.0831021960338483,0.38176106210383043,-0.11617134555957154,-0.4450789125763991,3,17
59,-0.8463720170003587,0.06085409812456741,0.5624136566058654,-0.11958293050240665,-0.42280947101992716,3,18
60,-0.8463720170003591,0.06632373501401263,0.33424365899419267,-0.1187442012352623,-0.45093648707945155,3,19
61,-1.2318483811787395,0.17970868507135407,-0.5406674333078709,-0.10135743900790029,-0.5587886964033002,3,20
62,-2.0028011095355023,0.02257412442299069,0.32709335986727905,-0.12545288767469798,-0.4518179201358492,3,21
63,-1.617324745357121,-1.3809086928530054,-0.5221688261133297,-0.3406668293999908,-0.5565083325207304,3,22
64,-2.0028011095355023,0.10341441947836097,-0.054106320574307386,-0.11305661296798697,-0.4988092408436404,3,23
