,OS,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
0,-0.25705760933918276,0.5178021011173687,0.8373077786398689,-0.0018735706573609345,-0.07215796746280201,1,2
1,1.754351931778755,0.1991931581104267,1.3723870524723099,-0.0290375535688997,-0.03843771647153016,1,3
2,1.754351931778755,0.4625458123565342,-3.096073133324324,-0.006584615079053946,-0.32003636246347367,1,4
3,1.754351931778755,0.17534879674495055,0.6454929610429607,-0.031070477750360093,-0.08424597779982401,1,5
4,-0.25705760933918276,0.28650682390820437,0.5592861416207429,-0.021593359117575206,-0.08967865989056545,1,6
5,1.754351931778755,0.4743487351721392,-0.9221201474050484,-0.005578320683663041,-0.18303565263710397,1,7
6,-0.25705760933918276,0.3545248807990261,-0.13134175845410226,-0.01579427100152664,-0.13320145599010458,1,8
7,-1.0799069670692483,0.2363165408136672,1.3261623681804062,-0.025872485683949065,-0.041350757646067215,1,9
8,1.754351931778755,0.3688161679313444,1.2148383725274383,-0.014575823472143479,-0.048366303301354274,1,10
9,0.47436404197643084,0.4636909261108068,0.7096953571495728,-0.006486984892784653,-0.08019999617274653,1,11
10,-0.25705760933918276,0.3884127345118879,0.29944345664537325,-0.01290505806708353,-0.10605372987385775,1,12
11,-1.3541900863126035,-2.9395353998785114,-0.3820533558286981,-0.29663948623440095,-0.14900109242405368,1,13
12,1.754351931778755,0.46621453444357774,0.79134979482432,-0.006271826922076618,-0.07505420139504437,1,14
13,1.114357986877593,0.4704570418003967,0.885960298673334,-0.005910118941581555,-0.06909192609824699,1,15
14,1.754351931778755,0.35742478253083554,0.4603020473211073,-0.015547030982635213,-0.09591655522151532,1,16
15,-0.25705760933918276,0.4120997193965517,-0.4534246705990813,-0.010885551500317558,-0.15349885334534108,1,17
16,1.114357986877593,0.43957826971300423,1.2432265605826813,-0.008542783390341091,-0.0465773032910306,1,18
17,1.114357986877593,0.3687488312993553,0.5858162021909517,-0.014581564463288954,-0.08800675752956832,1,19
18,0.47436404197643084,0.4162195282984525,1.4096480444335144,-0.01053430455302895,-0.03608955973558259,1,20
19,-1.0799069670692483,0.4167800772804721,-0.23761204793295906,-0.010486513229832073,-0.13989852128376856,1,21
