,SO,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
461,-1.0677844316683718,0.868576003949232,1.9981725303099211,-0.8968832526477108,-0.2458203255538859,12,11
462,0.8323932060196483,-2.639074458230384,-0.9601214897167518,-7.4481271839027485,-0.6104957179413575,13,11
463,-0.7058458340135106,0.38190111557466483,1.5132103771327987,-1.8058466580198969,-0.3056026738619644,14,11
464,0.4704546083647872,0.6757273206733749,0.815255588011778,-1.2570670222632332,-0.3916410915676961,15,11
465,2.0086936483979465,0.9273347317553327,1.8094433247701134,-0.7871394902350829,-0.26908538866772225,16,11
466,1.2848164530882247,0.7831716355192984,-1.3897296525802785,-1.0563931172741883,-0.6634544584534668,17,11
467,0.4704546083647872,1.0144494478168116,1.0395953313743058,-0.6244352068196435,-0.3639862393505061,18,11
468,2.0086936483979465,0.7803604676841764,0.37790343565086326,-1.0616435395777089,-0.44555445065033517,19,11
469,0.4704546083647872,1.1816542848787,1.0288988319148231,-0.31214648652408905,-0.3653048202999156,20,11
470,-0.16293793753121918,0.6028666310387963,1.0409636464824685,-1.3931490395401152,-0.36381756414594535,21,11
471,-1.3392383799095176,-0.4453395412851471,-1.2634415108227364,-3.3508852504834925,-0.6478866422264303,22,11
472,2.0086936483979465,0.10783229752450069,1.0088408499411525,-2.317725392904353,-0.3677774117317447,23,11
473,-0.16293793753121918,0.9914825444519275,1.2046686032744323,-0.6673305260400831,-0.3436372950618922,24,11
474,-1.0677844316683718,-2.5917769556636316,-1.1066190097919304,-7.359789568739859,-0.6285547885596071,13,12
475,-1.0677844316683718,0.6151873955652338,1.7678400570468602,-1.3701375294986928,-0.274213914729997,14,12
476,-1.0677844316683718,0.9421082929370945,0.8621777433803574,-0.7595468882701479,-0.3858568945592634,15,12
477,-1.0677844316683718,0.7550817309699646,1.0882905813786896,-1.1088566733475622,-0.3579834690773219,16,12
478,-1.0677844316683718,0.4459873790774668,-1.272835407737998,-1.6861526493447407,-0.649044648503166,17,12
479,-1.0677844316683718,0.860745908128551,0.4434231981473335,-0.9115075341374081,-0.43747768582040836,18,12
480,-1.0677844316683718,0.439809185715575,0.08485991925115405,-1.6976916701806604,-0.48167856766041683,19,12
481,-1.0677844316683718,0.9237823884257313,0.0663334406570163,-0.7937742071006066,-0.4839623673115463,20,12
482,-1.0677844316683718,0.335689852355546,0.09297325056378998,-1.8921555023543353,-0.48067841951423007,21,12
483,-1.3392383799095176,-0.8130675759373444,-1.7414464676633996,-4.037691442076077,-0.7068113616826301,22,12
484,-1.0677844316683718,-0.07767375375482184,0.9136261363146765,-2.6641953179320526,-0.379514738318533,23,12
485,-1.0677844316683718,0.6806863335095634,1.3661371003810074,-1.2478050666897271,-0.32373271926856906,24,12
486,-0.7058458340135106,-2.6617496170762385,0.21688910981090673,-7.490477611455567,-0.46540303975547115,14,13
487,0.4704546083647872,-2.61012925405259,0.19016828876859893,-7.394066183454353,-0.46869697397314947,15,13
488,0.8323932060196483,-2.651328407985567,0.5242618758317519,-7.4710139038975525,-0.4275125247157039,16,13
