,SO,RA_MMS,RA_rsFC,RA_MMS_o,RA_rsFC_o,Subject_left,Subject_right
8,-2.11391605644593,0.3321639144220592,0.6337276561417098,-0.007899714607551567,-1.3245373890296894,1,10
9,0.9313692173779271,0.48661882414135826,0.3575627736776738,-0.0007896272356583411,-1.6487950713539166,1,11
10,-2.11391605644593,0.4526776019534954,-0.5202897985494193,-0.002352057693214671,-2.6795214908500213,1,12
11,-0.23300456379001816,-2.740271157397331,-1.2131774506683588,-0.14933440156444888,-3.4930722297511605,1,13
12,-1.7556472007019466,0.4560681753801972,-0.3302147733145148,-0.0021959780104873206,-2.4563458046422886,1,14
13,-0.5912734195340014,0.46792009682498537,0.5458678225680068,-0.0016503935603043862,-1.427697594446869,1,15
14,0.9313692173779271,0.432341406360806,-1.106487853377273,-0.0032882022789627596,-3.367803146886442,1,16
15,0.2148315058899608,0.405073797669779,-0.8944881274775492,-0.004543423498981847,-3.1188846777448487,1,17
16,-0.5912734195340014,0.4876025388506526,1.287394866694997,-0.0007443434855670672,-0.5570371449211577,1,18
17,0.9313692173779271,0.43245488837581053,-0.4972062760503877,-0.0032829783139668445,-2.6524180827749926,1,19
18,-0.5912734195340014,0.4446778866164949,1.3387698791058387,-0.0027203119306469237,-0.49671541862097424,1,20
19,-1.2182439170859718,0.4870627417784544,-0.5217104673672155,-0.0007691921896542109,-2.6811895623806907,1,21
20,-2.382617698253917,-0.11930778732811141,0.9846432399200691,-0.02868250002508721,-0.9125115265370458,1,22
21,1.2000708591859146,0.20354663133059164,-1.0238083687187107,-0.013820407721016226,-3.270725423491838,1,23
22,-1.2182439170859718,0.49853354740913175,-1.8926598229395402,-0.00024115180292683114,-4.290883223122171,1,24
23,-0.6808406334699971,0.39880538070247246,0.0005561551513463506,-0.004831980155432625,-2.0679726933052947,2,3
24,0.7522347895059356,0.4532771839299271,-0.7762240284485651,-0.0023244568856599646,-2.980025448754011,2,4
25,-1.2182439170859718,0.31610146055678867,0.38527377097872567,-0.008639124255303332,-1.6162583357647993,2,5
26,0.9313692173779271,-0.1165090652444358,1.1505314812851721,-0.02855366528243808,-0.7177346374918021,2,6
27,0.7522347895059356,0.47385001479714883,0.28778946751535145,-0.0013774191694814197,-1.7307190666947785,2,7
28,0.7522347895059356,0.43694597021027554,0.6937008101815902,-0.003076238468044168,-1.254120195659066,2,8
29,-0.6808406334699971,0.4072192398807774,0.8170544498264631,-0.004444661461573851,-1.1092851067780123,2,9
30,-1.576512772829955,0.28319920986912434,-1.3320201619566083,-0.010153727303833016,-3.6326108335722798,2,10
31,1.4687725009939019,0.4946851325413397,0.8180876683768389,-0.00041830749194327055,-1.1080719581347453,2,11
32,-1.576512772829955,0.466709319589843,1.3185024989808474,-0.0017061297744875858,-0.5205122665310978,2,12
33,0.3043987198259566,-3.0145278567868634,0.6571708818088248,-0.1619593747590885,-1.2970116371918812,2,13
34,-1.2182439170859718,0.4346125930994333,1.3349998389449094,-0.003183651791193398,-0.5011419933322301,2,14
35,-0.05387013591802658,0.46783451685427635,0.6660075472741069,-0.0016543330988411098,-1.2866361084943825,2,15
36,1.4687725009939019,0.4727023246748098,0.9255688579948733,-0.001430251268250693,-0.9818734309069641,2,16
37,0.7522347895059356,0.458275714164636,0.7573013266043652,-0.0020943574555776223,-1.1794439520111843,2,17
38,-0.05387013591802658,0.49226441623155714,-0.34494632014464577,-0.0005297413369171888,-2.473642780237334,2,18
39,1.4687725009939019,0.47027733326096677,1.2925682855216305,-0.0015418819108754533,-0.5509627998290184,2,19
40,-0.05387013591802658,0.4817444355667431,-0.40927726893235167,-0.0010140120008500508,-2.5491766575699693,2,20
41,-0.6808406334699971,0.4720561538117893,1.0382048099261134,-0.001459996721481005,-0.8496224640434881,2,21
42,-1.8452144146379423,-0.11708985819471215,0.16307779803740705,-0.028580401166903968,-1.8771486798407204,2,22
43,0.6626675755699397,0.14977039365420847,1.016097160686289,-0.016295911731252333,-0.8755800551759376,2,23
44,-0.6808406334699971,0.4958290313416008,0.1589294522011388,-0.0003656499206867725,-1.88201944036011,2,24
45,0.03569707801796922,0.39053259486299113,-2.4702352158096925,-0.005212804761361767,-4.969040621660959,3,4
46,0.9313692173779271,0.20524925440586203,0.7636181796643016,-0.013742030161840058,-1.172027049056246,3,5
47,-1.2182439170859718,-0.046033980057922766,-0.34969305054507294,-0.02530945624998726,-2.479216131144689,3,6
48,0.03569707801796922,0.3921780177186337,-1.3842141562757184,-0.005137060323787135,-3.6938941635820703,3,7
49,0.03569707801796922,0.3493769503317529,-0.8208876852264515,-0.007107339735973328,-3.0324670687808015,3,8
50,1.4687725009939019,0.434896580063068,0.6362744026023502,-0.0031705789006806206,-1.3215471387942987,3,9
51,0.573100361633944,0.32958086145411797,0.2937858347887738,-0.00801862136371534,-1.7236784606007072,3,10
52,-0.6808406334699971,0.4406276609074637,0.6711434961257904,-0.002906757662410553,-1.2806057585949904,3,11
53,0.573100361633944,0.4241257614838638,-0.13653561525146374,-0.0036663964910966795,-2.2289383430284424,3,12
54,0.4835331476979482,-2.9201313811733667,-0.8694116599869075,-0.157613982369617,-3.0894412627934447,3,13
55,0.9313692173779271,0.34134090700718395,0.05449530104990465,-0.007477266274830807,-2.0046403018746335,3,14
56,0.8418020034419313,0.3887877942847281,0.9794513000348553,-0.005293123895149909,-0.9186076180419656,3,15
57,-0.6808406334699971,0.36035202572112146,-0.7441721577015327,-0.006602119506500914,-2.9423918972689056,3,16
58,0.03569707801796922,0.3337841713676443,-0.48802341733259663,-0.007825128642825918,-2.6416360729177852,3,17
59,0.8418020034419313,0.3972755627806584,1.180323010717468,-0.004902402902802416,-0.6827550550031839,3,18
60,-0.6808406334699971,0.3483079764960764,-0.1486607117943374,-0.007156548255040418,-2.2431749674242387,3,19
61,0.8418020034419313,0.37614145744629035,1.0703715743745719,-0.005875278000960438,-0.8118540106656957,3,20
62,1.4687725009939019,0.34355693240930085,-0.18081765846497586,-0.007375255051904839,-2.280931893304932,3,21
63,0.3043987198259566,0.009574737998870065,1.1700800218061702,-0.022749596905008662,-0.6947818116813533,3,22
64,-1.4869455588939593,0.3264715129928136,-0.6616594505237662,-0.008161755300148399,-2.8455099948595923,3,23
65,1.4687725009939019,0.388829554547064,-1.528674766092271,-0.005291201527551359,-3.8635119010304946,3,24
